Date,Content,Created by,Labels,Impressions,Likes,Reposts,Quote posts,Replies,Engagement,Engagement rate per impression (%),Video views,Url
01/25/2024 06:39 PM EST -0500,"Whey is a by-product of dairy, so it is an animal product and, therefore, associated with all the cruelty inherent in dairy.  Luckily, many vegan protein powders do exactly the same job as whey and are tasty, effective, more ethical, and nutritious.  #whey https://t.co/2jJgq4UDPd",Simon Plazolles-Hayes,,101,1,1,0,0,9,8.9,,https://twitter.com/GenV_Eng/status/1750664738076311666
01/26/2024 07:14 AM EST -0500,Curious about the impact of your diet on heart health? 🤔💚 Can switching to a #VeganLifestyle make a difference? #HeartHealth #PlantBased - https://t.co/PLwRD0InIj,Jamie Logan,AI Article,109,2,1,0,0,8,7.3,,https://twitter.com/GenV_Eng/status/1750854740403966227
01/26/2024 00:12 PM EST -0500,"A former “meat & potatoes guy,” had 2 heart attacks, 6 stents placed in his chest, and a 5-way bypass operation before making the decision to go plant-based. Today, he is heart-healthy and diabetes-free thanks to a plant based diet.  Get started today: https://t.co/m8uOA6BVbv. https://t.co/EqTlwMQqOW",,,134,2,0,0,0,3,2.2,21.0,https://twitter.com/GenV_Eng/status/1750929668864147543
01/26/2024 02:44 PM EST -0500,"All animals who are farmed for dairy are subjected to repeated impregnation and the loss of their young. After all, the industry only makes its profits if it stops the calves from drinking the milk that their mothers produced for them.  https://t.co/ojFXeikkJP",Jamie Logan,,100,2,1,0,0,4,4.0,,https://twitter.com/GenV_Eng/status/1750967989090844974
01/26/2024 04:00 PM EST -0500,"🌈🐋💙 When animals live free, the ocean is magical!  But this is the reality for the 650,000 marine animals, including dolphins, whales, seals, and turtles, killed in fishing nets each year.  Protect our oceans! Keep fish in the sea and off our plates 🌱🐟  🎥: @timmboslice_ https://t.co/abUV2KeUpK",Simon Plazolles-Hayes,,147,3,0,0,0,9,6.1,29.0,https://twitter.com/GenV_Eng/status/1750987043226673398
01/26/2024 05:59 PM EST -0500,"Activist Angela Davis is a vegan advocating for the liberation of women and the Black community. “I believe there is a connection between how we treat animals and the people who are at the bottom of the hierarchy.""🌱  Thank you for inspiring us to build a compassionate world.✊🏾💚 https://t.co/UQBA3Khfc7",Simon Plazolles-Hayes,,199,3,2,0,0,7,3.5,,https://twitter.com/GenV_Eng/status/1751017100028645669
01/26/2024 06:14 PM EST -0500,Did you know your vibrant red lipstick could come from crushed beetles? 😱 Choose compassion with #vegan beauty! 🌱💄 #CrueltyFree #SustainableBeauty - https://t.co/95MWRFyIb6,Jamie Logan,AI Article,94,1,1,0,0,2,2.1,,https://twitter.com/GenV_Eng/status/1751020836784419116
01/27/2024 07:15 AM EST -0500,"""Who's spicing up their menu with Brakes' new Sysco Simply Plant Based range this #Veganuary? 🌱🍴💚 Jump on the #plantbased train and enjoy a kinder, tastier future! 🚂 #EcoFriendly #VeganLiving #FoodService"" https://t.co/Szbu1hJWgx",Jamie Logan,AI Article,88,0,0,0,0,1,1.1,,https://twitter.com/GenV_Eng/status/1751217267113615622
01/27/2024 10:00 AM EST -0500,"As we learn about the complexity of plant life, we might consider our own behavior, and whether it is ethical to eat plants.  Until that day, what should we do?  https://t.co/BsBuPsACzY",Jamie Logan,,83,3,0,0,0,12,14.5,,https://twitter.com/GenV_Eng/status/1751258806409953312
01/27/2024 11:41 AM EST -0500,"“Anyone who chooses a vegan diet can improve their long-term health in two months, with the most change seen in the first month,” says Professor Gardner of Stanford Prevention Research Center.  Check out our free 7-day Vegan for Health challenge at https://t.co/EisWea4nvd! https://t.co/fJYdAcH1U7",,,133,2,0,0,0,2,1.5,,https://twitter.com/GenV_Eng/status/1751284204501893258
01/27/2024 00:08 PM EST -0500,"It’s up to us to challenge the norms and break free from those practices that still allow animals to be used, confined, and harmed.💚  By making better choices, we can make a real difference and help shape the next generation.🤝🌱  #GoVegan #SustainableLiving https://t.co/HSzHTJrsEP",Simon Plazolles-Hayes,,315,5,2,0,0,7,2.2,,https://twitter.com/GenV_Eng/status/1751291126118486381
01/27/2024 06:15 PM EST -0500,Craving something plant-based that's bursting with flavor? 🌱🌯 How do you spruce up your meals during #Veganuary? Try the new savoury wraps & sweet treats from @CostaCoffee & BOSH! Indulge kindly. 😋 #PlantBased #EcoFriendly https://t.co/uaOG4jyPI4,Jamie Logan,AI Article,122,2,0,0,0,2,1.6,,https://twitter.com/GenV_Eng/status/1751383364756554125
01/28/2024 07:14 AM EST -0500,"""Blood On Your Hands"" leaves audiences thinking deeply 🤔 Have you considered the effects of your dietary choices? #PlantBased #KindnessToAnimals #ThoughtProvokingTheatre - https://t.co/KFi3kbEQY2",Jamie Logan,AI Article,143,4,2,0,0,8,5.6,,https://twitter.com/GenV_Eng/status/1751579619449241742
01/28/2024 11:15 AM EST -0500,"💪🏽⚡️Genuine masculinity demonstrates creating positive and judgment-free environments for those who embody it and others.  🤳🏽If you wish to explore more about masculinity, compassion, and the protection of vulnerable beings, we invite you to visit https://t.co/shq6ZU7KtU https://t.co/bWrMlEXTv0",,,179,1,1,0,0,3,1.7,,https://twitter.com/GenV_Eng/status/1751640048242397431
01/28/2024 06:15 PM EST -0500,"Did you know that your dinner choices can impact the planet? 🌎 Choose kindness, choose vegan! 🌱 #PlantBased #EcoFriendly #AnimalLovers - https://t.co/0a6UyvvVuT",Jamie Logan,AI Article,131,4,1,0,0,5,3.8,,https://twitter.com/GenV_Eng/status/1751745746209034653
01/28/2024 11:00 PM EST -0500,"We have been taught that the harm we do to animals is ok, while the same act would be entirely unacceptable if done to a human.  If we take a step back, we can see that we are all the same in our ability to suffer - to experience pain, deprivation, fear, and violence.  #ethics https://t.co/A209r5YVjX",Simon Plazolles-Hayes,,143,4,2,0,0,6,4.2,,https://twitter.com/GenV_Eng/status/1751817492677152798
01/29/2024 07:15 AM EST -0500,Who's tried the new #VeganMacAndCheese? 🌱 Show some love for your favorite brands and let us know your go-to for that #ComfortFood fix! 💚 #PlantBased #ChooseKindness #DairyFree - https://t.co/IYrwbhUTic,Jamie Logan,AI Article,57,1,0,0,0,2,3.5,,https://twitter.com/GenV_Eng/status/1751942031008567761
01/29/2024 04:00 PM EST -0500,"Plant-based foods are a great source of healthy protein, which is critical for building muscle mass, and are effective at reducing inflammation and speeding up recovery time. 🏃‍♀️  It is no wonder that so many people are turning to a vegan diet to find their competitive edge! 💪 https://t.co/HqV0bkb52D",Simon Plazolles-Hayes,,228,1,1,0,0,4,1.8,37.0,https://twitter.com/GenV_Eng/status/1752074265069768947
01/29/2024 04:20 PM EST -0500,"No animals other than humans drink the milk of another species, and none drink milk at all after weaning. It’s just plain weird! Milk production is also cruel to the cow who is forcefully impregnated and cruel to the calf who is stolen from her.  ⚡ @viralvegans https://t.co/KN6ELPd9H7",,,189,3,0,0,1,9,4.8,39.0,https://twitter.com/GenV_Eng/status/1752079253942722858
01/29/2024 06:14 PM EST -0500,Could a plant-rich 🥦 diet be the key to shielding us from viruses? 🤔 Let’s nourish our bodies and show love for all creatures! 🌱💚 #PlantBased #VeganForHealth #KindToAllBeings - https://t.co/DTXT9W0dPl,Jamie Logan,AI Article,83,2,0,0,0,2,2.4,,https://twitter.com/GenV_Eng/status/1752108105725305134
01/30/2024 07:14 AM EST -0500,"Are you ready to join the NFL stars in boosting health and performance 🏈? Go green, go clean, go vegan! 🌱 #PlantBasedAthlete #VeganStrength #EcoFriendlyLiving - https://t.co/YFv1tLKObC",Jamie Logan,AI Article,95,0,0,0,0,0,0.0,,https://twitter.com/GenV_Eng/status/1752304292059341245
01/30/2024 11:10 AM EST -0500,Championing the majestic ocean dwellers while turning a blind eye to the plight of other animals illustrates our moral inconsistencies as a society.   It’s time to align our actions with our values. 💚🌱  📹 Menkay  #AnimalRights #vegan https://t.co/GcmjANdeY0,,,343,5,4,0,1,22,6.4,59.0,https://twitter.com/GenV_Eng/status/1752363601757618671
01/30/2024 02:00 PM EST -0500,A quick recipe to show you how you can make your own yogurt at home. Setting it in an earthen pot gives this yogurt a delicious depth of flavor.💗  Have you tried making yogurt at home with plant-based milks?🌱  #soy #DairyFree https://t.co/qILE74IWSA,Simon Plazolles-Hayes,,255,3,2,0,0,10,3.9,37.0,https://twitter.com/GenV_Eng/status/1752406489325621535
01/30/2024 03:59 PM EST -0500,Here are some tips to help you have a more enjoyable time with your loved ones! 💚  1. Bring along some vegan meat 2. Don't forget sides and extras 3. Get plenty of plump fruits and grill them 4. Be approachable when you educate and don't forget to enjoy yourself https://t.co/E0z0fIyZCs,Jamie Logan,,88,0,0,0,0,1,1.1,,https://twitter.com/GenV_Eng/status/1752436449197105506
01/30/2024 06:15 PM EST -0500,What's your favorite plant-based dish that benefits both your health and the planet? 🌱🍽️ Let's celebrate our farmers while embracing sustainable choices! #PlantBased #SustainableEating #EcoFriendly https://t.co/JrcVgdBtIA,Jamie Logan,AI Article,76,2,0,0,0,2,2.6,,https://twitter.com/GenV_Eng/status/1752470527409602685
01/31/2024 07:14 AM EST -0500,Did you know a plant-based meal could be your immune system's best friend? 🌱✨ #PlantPower #VeganLife #HealthyLiving - https://t.co/ASu9dErFyZ,Jamie Logan,AI Article,98,2,1,0,0,3,3.1,,https://twitter.com/GenV_Eng/status/1752666785780789583
01/31/2024 09:59 AM EST -0500,"Who wouldn't want to cool off in this scorching heat, right? ☀️💦🐷  The little pigs from The Farm Sanctuary love playing in the water on hot days. 🐷🛁  🎥: @farmsanctuary https://t.co/lN7GOYXImT",Simon Plazolles-Hayes,,91,2,0,0,0,3,3.3,12.0,https://twitter.com/GenV_Eng/status/1752708299760316466
01/31/2024 01:14 PM EST -0500,"Formula One driver @lewishamilton is an inspiration in both sports and veganism. 🌱  With 103 wins @lewishamilton is the best F1 driver of all time. As an outspoken vegan and human rights activist, he consistently shows the world that compassion only makes us stronger! 🏁 https://t.co/Lsscs2WlRw",Simon Plazolles-Hayes,,263,5,3,0,0,11,4.2,,https://twitter.com/GenV_Eng/status/1752757290728370215
01/31/2024 03:06 PM EST -0500,"After back-to-back chemotherapy treatments for throat and breast cancer, Mary-Beth of Murfreesboro, Tennessee, was diagnosed with three tumors in her left lung. Her decision to try a plant-based diet changed everything. 🌱  Go to https://t.co/312W9dZI5k for the full film. https://t.co/hndRXFe0C4",,,129,0,0,0,0,3,2.3,30.0,https://twitter.com/GenV_Eng/status/1752785386772816129
01/31/2024 06:14 PM EST -0500,How about creating magic on your plate with cruelty-free choices? Try the vibrant vegan dishes chefs adore! 🌱👩‍🍳✨ Which plant-based dish tempts you? #Veganuary #PlantPower #FoodieFriday https://t.co/FgYfLWY6WE,Jamie Logan,AI Article,85,0,0,0,0,1,1.2,,https://twitter.com/GenV_Eng/status/1752832773054771350
02/02/2024 06:15 PM EST -0500,What are your thoughts on Israel leading the charge with lab-grown beef? 🌱🔬 A step toward compassionate eating! 🐮 #CulturedMeat #SustainableFuture #ChooseKindness - https://t.co/lH8gPsQ85G,,AI Article,89,2,1,0,1,5,5.6,,https://twitter.com/GenV_Eng/status/1753557660442530292
02/05/2024 02:02 PM EST -0500,"These baby cows were separated from their mothers at birth, placed in these huts, and - if they don’t drown first - will have their lives taken from them by the veal industry.  Is this how we should treat the world’s most vulnerable?  🎥 Rob Banks  #dairy #cow https://t.co/rMncecqGIM",,,239,3,2,0,0,11,4.6,35.0,https://twitter.com/GenV_Eng/status/1754581311468048724
02/06/2024 11:00 AM EST -0500,"[COLLAB GENVWORLD] Meet Pippa, the speedy lamb 💚  When we choose not to eat meat, it's animals like Pippa who we are saving 🌱 Thanks @farmsanctuary for giving her a second chance and the best life!  🎥: @farmsanctuary https://t.co/3M21Xazz6z",,,127,2,1,0,0,5,3.9,36.0,https://twitter.com/GenV_Eng/status/1754897838251573745
02/06/2024 06:14 PM EST -0500,"Is your sweet tooth ready for a delightful revolution? 🍫  Dive into the future with #VeganChocolate, a treat that's kinder to all beings! 🌿💕  #EthicalEating #PlantBased https://t.co/2a6G7MIdU5",Simon Plazolles-Hayes,AI Article,104,0,0,0,0,0,0.0,,https://twitter.com/GenV_Eng/status/1755007102924243236
02/07/2024 07:14 AM EST -0500,Is your coffee kindness priced fairly? 🌱  ☕️ Say no to upcharges for plant-based milks!  #DairyFree #FairPricing #VeganChoice https://t.co/ytpWjxSt9h,Simon Plazolles-Hayes,AI Article,70,4,0,0,0,4,5.7,,https://twitter.com/GenV_Eng/status/1755203397580427647
02/07/2024 09:59 AM EST -0500,Thanks to YOU and all your votes we got 65 plant based organizations in the running to win 1 million pounds from the 2024 Earthshot Awards.  👀The finalists will be announced in September 2024 and we will ensure that they are well represented until the end. ⚡️ https://t.co/BQombvZ2il,Jamie Logan,,55,0,0,0,0,0,0.0,,https://twitter.com/GenV_Eng/status/1755245013607371196
02/07/2024 02:00 PM EST -0500,Thanks to YOU and all your votes we got 65 plant based organizations in the running to win 1 million pounds from the 2024 Earthshot Awards.  👀The finalists will be announced in September 2024 and we will ensure that they are well represented until the end. ⚡️ https://t.co/IcBKfL1UA3,Jamie Logan,,76,1,0,0,0,9,11.8,,https://twitter.com/GenV_Eng/status/1755305483085255025
02/07/2024 06:14 PM EST -0500,Why should plant-based meals in EU institutions cost more than meat options? 🌱  It's time for fair pricing and tasty vegan options!  #PlantBasedFuture #SustainableEating #EUFoodPolicy https://t.co/CdUi73rpFS,Simon Plazolles-Hayes,AI Article,86,1,1,0,0,4,4.7,,https://twitter.com/GenV_Eng/status/1755369595269943523
02/08/2024 07:14 AM EST -0500,Who's ready to dive into a future where no sea creatures are harmed? 🌊🍤🌿  #PlantBasedInnovation #NoAnimalHarmed #SustainableEating https://t.co/nsrD2y5Ru6,Simon Plazolles-Hayes,AI Article,57,0,0,0,0,0,0.0,,https://twitter.com/GenV_Eng/status/1755565782455493019
02/08/2024 11:22 AM EST -0500,Over 75k civilians and countless animals of various species have become victims of this conflict.  #SulalaAnimalRescue #Gaza #AnimalAid #Palestine #Israel  You can help: https://t.co/05ENmpTr4X https://t.co/moxfM435BC,Jamie Logan,,762,21,10,0,1,48,6.3,,https://twitter.com/GenV_Eng/status/1755628209830293951
02/08/2024 01:48 PM EST -0500,"There is much that connects different social justice movements, from the systems of oppression that give rise to injustices to the campaign tools used to combat them.  https://t.co/E7vHC7fWfh",Jamie Logan,,64,0,0,0,0,0,0.0,,https://twitter.com/GenV_Eng/status/1755664935437107627
02/08/2024 02:00 PM EST -0500,"The look of terror on this piglet's face is unquestionable. We know that farmed animals like her can feel pain, fear, grief, and distress, just as we do.  So, why would we knowingly inflict that on them?  📷 @Tras_los_Muros  #meat https://t.co/bvFjhybKUZ",Simon Plazolles-Hayes,,0,4,3,0,0,7,0.0,,https://twitter.com/GenV_Eng/status/1755667924562375080
02/08/2024 03:54 PM EST -0500,"On Friday, February 16th 2024 there will be a PRIVATE TEST SCREENING of the highly-anticipated film, @Christspiracy, at the Isla Vista Theater at UCSB - in Santa Barbara, California.  RESERVE SEATS NOW: https://t.co/CEHLDAEXXe  #Christspiracy #Seaspiracy #Cowspiracy #Documentary https://t.co/WCjVV3dBvl",Jamie Logan,,167,0,2,0,0,3,1.8,,https://twitter.com/GenV_Eng/status/1755696658426269926
02/08/2024 06:15 PM EST -0500,"Ever wondered how your diet can influence your golden years? 🌱  ✨ A shift to plant-based proteins could mean a healthier, vibrant future!  #HealthyAging #PlantBased #EatKind https://t.co/2BmfsTZ04g",Simon Plazolles-Hayes,AI Article,66,0,0,0,0,3,4.5,,https://twitter.com/GenV_Eng/status/1755732015163322387
