Date,Content,Created by,Labels,Organic Reach,Paid Reach,Total reach,Organic impressions,Paid impressions,Total impressions,Engaged users,Engagement rate per reach (%),Engagement rate per impression (%),Clicks,Link clicks,Photo views,Video play,Other clicks,Organic video views,Paid video views,Total video views,Average time watched,Average percentage of time watched,Url
01/08/2024 03:35 PM EST -0500,"Farmed animals embody qualities of love, kindness, and forgiveness, even in the face of adversity, which is nothing short of inspiring.  They teach us valuable lessons about empathy, compassion, and the power of second chances. We can honor them by raising our voices in support of their rights. They deserve nothing less.  Video by: Menkay",,,19052,0,19052,19351,0,19351,,,,0,0,0,0,463,23178.0,0.0,23178.0,15.0,29.3,https://www.facebook.com/424813279869835
01/08/2024 03:54 PM EST -0500,"""What if you could capture the essence of pork—that meaty, umami sweetness—and put it inside of a plant?""  How do you feel about this concept? 🐷",,,1086,0,1086,1096,0,1096,64.0,5.9,5.8,8,8,0,0,41,,,,,,https://www.facebook.com/424819159869247
01/08/2024 04:00 PM EST -0500,"Strength and muscle gains can be achieved through a plant-based diet, just ask Nick Squires, a powerhouse in the powerlifting community.  His state record-breaking lifts challenge the notion that animal-based protein sources are necessary. 🌱💪  What are some of your favorite plant-based protein sources for fueling your workouts?  https://www.onegreenplanet.org/natural-health/plant-powered-powerlifting-nick-squires-journey-to-record-breaking-strength/",Jamie Logan,,737,0,737,753,0,753,23.0,3.1,3.1,8,8,0,0,2,,,,,,https://www.facebook.com/424861469865016
01/08/2024 09:00 PM EST -0500,"An all-female team of vegan filmmakers has created a groundbreaking, award-winning, 15-minute film titled “The Next Girl” that is now streaming on UnchainedTV.  The film’s star, Jamie Logan, said, 'I wanted to tell their story because, if people could connect to the pain and suffering that I was experiencing, then they should be able to connect to the pain and suffering that other individuals, every single day, face.' Have you watched this powerful film yet? What impact did it have on you? 🌱🎬  ",Jamie Logan,,1444,0,1444,1485,0,1485,87.0,6.0,5.9,26,26,0,0,29,,,,,,https://www.facebook.com/424960353188461
01/09/2024 02:50 PM EST -0500,"""A Harvard study published online Oct. 19, 2023, by The American Journal of Clinical Nutrition suggests that eating red meat each week — even just a little — is tied to increased diabetes risks.""  Should meat come with health warnings?",,,1341,0,1341,1350,0,1350,63.0,4.7,4.7,20,20,0,0,13,,,,,,https://www.facebook.com/425410243143472
01/09/2024 02:53 PM EST -0500,"""Emirates will introduce an array of fresh vegan dishes onboard and in lounges later this year, adding even more delicious meals to its ‘vegan vault’ of more than 300 curated plant-based recipes.""  Will your next flight be this vegan?  ",Simon Plazolles-Hayes,,1661,0,1661,1726,0,1726,67.0,4.0,3.9,9,9,0,0,11,,,,,,https://www.facebook.com/425411756476654
01/09/2024 03:00 PM EST -0500,"Embracing a vegan lifestyle in 2024 is not just about food, it's a way to make a positive impact on your health and the environment. 🌱💚  Have you considered transitioning to a plant-based diet for the New Year?  What's inspiring you to make the change? Share your thoughts!  ",Jamie Logan,,611,0,611,628,0,628,34.0,5.6,5.4,6,6,0,0,7,,,,,,https://www.facebook.com/425413949809768
01/09/2024 05:05 PM EST -0500,Ahmed Bharoocha says we’ve taken it too far with cows.   What do you think?,,,48204,0,48204,49680,0,49680,,,,0,0,0,0,906,61178.0,0.0,61178.0,20.0,28.7,https://www.facebook.com/425454669805696
01/10/2024 04:00 PM EST -0500,"90 to 95 percent of people living in Blue Zones are eating a whole food, plant-based diet. 🌱  Did you know that what we eat plays a significant role in our longevity? What changes can you make to adopt a more plant-based diet and increase your overall well-being?  ",Jamie Logan,,807,0,807,862,0,862,38.0,4.7,4.4,19,19,0,0,0,,,,,,https://www.facebook.com/426017209749442
01/10/2024 05:18 PM EST -0500,"According to leading cardiologist, Dr. Kim Williams: “There are two kinds of cardiologists: vegans and those who haven't read the data.”   For sources, to learn more and for access to our FREE 31-Day Support Program, follow this link: https://bit.ly/33LJcE4",,,6571,0,6571,6876,0,6876,252.0,3.8,3.7,52,10,42,0,71,,,,,,https://www.facebook.com/photo.php?fbid=426043923080104&set=a.296116792739485&type=3
01/10/2024 05:39 PM EST -0500,"🦜✨ A gentle reminder from a feathered friend about the life behind what's on our plates. 🍽️💔   Alene Anello describes how her pet bird Conrad, reconnected her to the individuals she was eating. 🌱   If we listened to the animals we know, would we be willing to change, too? 🐖 🐄 🐏  🎬 Legal Impact for Chickens  Watch the full interview on our YouTube channel: https://youtu.be/i9yGiOgWoAY",,,3103,0,3103,3145,0,3145,,,,0,0,0,0,57,2869.0,0.0,2869.0,10.0,26.5,https://www.facebook.com/426051189746044
01/11/2024 02:50 PM EST -0500,"🍼💔 Separated from their mothers shortly after birth and isolated in crates, these young calves desperately seek comfort from one another.  This is the real cost of dairy.",,,3028,0,3028,3033,0,3033,,,,0,0,0,0,141,3386.0,0.0,3386.0,9.0,58.3,https://www.facebook.com/426928112991685
01/11/2024 05:00 PM EST -0500,"January is a time for a health reset, new goals and… vegan food.  Here are some great tips on how to include more plant based foods in your life!  ",Jamie Logan,,1102,0,1102,1129,0,1129,30.0,2.7,2.7,11,11,0,0,9,,,,,,https://www.facebook.com/426970116320818
01/12/2024 11:38 AM EST -0500,"All animals who are farmed for dairy are subjected to repeated impregnation and the loss of their young. After all, the industry only makes its profits if it stops the calves from drinking the milk that their mothers produced for them.",Simon Plazolles-Hayes,,1049,0,1049,1098,0,1098,50.0,4.8,4.6,12,12,0,0,13,,,,,,https://www.facebook.com/427423436275486
01/12/2024 11:59 AM EST -0500,"Southern cuisine is known for its hearty, comforting dishes, and this holds true for its breakfasts, too.  Grits, biscuits, gravy, and pancakes are staples on a southern breakfast menu. Here is a list of OPG recipes that take those famous breakfasts and veganize them without cutting any flavor corners at all.  What's your favorite vegan breakfast dish? Let's share some plant-based breakfast inspiration! 🌱🥞  https://www.onegreenplanet.org/vegan-food/15-plant-based-southern-style-breakfast-recipes/",Jamie Logan,,596,0,596,636,0,636,11.0,1.8,1.7,3,3,0,0,2,,,,,,https://www.facebook.com/427432839607879
01/12/2024 02:40 PM EST -0500,"Cows and cats both have inherent rights, yet one is celebrated, and the other is farmed and killed. In the ways that matter, these animals are no different.  If we care about animals, we must change our perception of them and see them all as worthy of protection.  When did you make the connection?",Simon Plazolles-Hayes,,4275,0,4275,4507,0,4507,0.0,0.0,0.0,0,0,0,0,134,0.0,0.0,0.0,7.0,60.3,https://www.facebook.com/1852795781821589
01/12/2024 03:19 PM EST -0500,"🦜✨ A gentle reminder from a feathered friend about the life behind what's on our plates. 🍽️💔   Alene Anello describes how her pet bird Conrad reconnected her to the individuals she was eating. 🌱   If we listened to the animals we know, would we be willing to change, too? 🐖 🐄 🐏  Watch the full interview here: https://youtu.be/i9yGiOgWoAY   Legal Impact for Chickens",,,1702,0,1702,1744,0,1744,,,,0,0,0,0,28,1794.0,0.0,1794.0,8.0,20.8,https://www.facebook.com/427635119587651
01/13/2024 02:41 PM EST -0500,"🐦✨ One bird, one life-changing story.   Meet Conrad, the feathery friend who transformed Alene Anello's world. From that moment, ‘chicken’ took on a whole new meaning. 🌱 His influence sparked Legal Impact for Chickens, Alene's mission to hold companies accountable for animal welfare.   Let's be the voice they need, enforcing the laws and standing against abuse. 💪🐔",,,1770,0,1770,1850,0,1850,62.0,3.5,3.4,0,0,0,0,21,512.0,0.0,512.0,10.0,3.6,https://www.facebook.com/428201862864310
01/13/2024 03:09 PM EST -0500,"""Researchers said cutting out meat and dairy could lead to 2.1million fewer cases of disease, such as cancer, cardiovascular disease and diabetes.""  Should governments encourage veganism for national health?",Simon Plazolles-Hayes,,377,0,377,395,0,395,18.0,4.8,4.6,1,1,0,0,3,,,,,,https://www.facebook.com/428211872863309
01/14/2024 11:35 AM EST -0500,We have a great recipe for home-made rice milk 🥛  Try this simple milk recipe and let us know how it turns out.  What’s your favorite plant-based milk? Let us know in the comments 👇🏽,,,1489,0,1489,1511,0,1511,,,,0,0,0,0,16,1325.0,0.0,1325.0,7.0,23.4,https://www.facebook.com/428714249479738
01/15/2024 03:17 PM EST -0500,The double-edged sword for animals in agriculture 🌱🤖   Constance Li weighs the good and bad of modern ag-tech for farmed animal welfare.   AI and automation could mean improved care - or ominous new ways to exploit animals for efficiency and profits. Is big data friend or foe? 🚫🐄🤯  Watch the full interview here: https://youtu.be/8uOutP3ielM,,,1450,0,1456,1487,0,1490,,,,0,0,0,0,16,1342.0,0.0,1342.0,10.0,30.1,https://www.facebook.com/429351689415994
01/16/2024 03:19 PM EST -0500,"The beginning of the year is perfect for starting a new habit. But more than becoming vegan, we want to help you to STAY vegan.  Ready to start a life of compassion? 💛⚡  Go vegan today! Try our 30-day vegan challenge here: genv.org/go-vegan  #NewYear #GoVegan",,,1143,0,1147,1202,0,1208,,,,0,0,0,0,3,1056.0,0.0,1056.0,4.0,15.0,https://www.facebook.com/429919752692521
01/16/2024 05:04 PM EST -0500,"[collab genvworld]  As you read this, millions of animals are experiencing the warmth of the sunshine, perhaps for the first time in their lives, as they are trucked to the slaughterhouse. They find no mercy, no help, no compassion.  You don’t have to love animals to know that killing them is wrong.",Simon Plazolles-Hayes,,943,0,948,988,0,991,0.0,0.0,0.0,0,0,0,0,24,0.0,0.0,0.0,6.0,66.1,https://www.facebook.com/1436885647246501
01/17/2024 05:42 PM EST -0500,"Technically, yes you can.  By definition, an environmentalist is a person who is concerned with or advocates for the protection of the environment, and there are a wide range of ways in which a person can do this. Nevertheless, avoiding meat and dairy products is understood to be the single biggest way to reduce our environmental impact on the planet. So while flying less, avoiding single-use plastics, cycling to work, buying food locally, taking shorter showers, and protesting fossil fuels are all effective forms of environmental activism, our ability to protect the planet will only ever be a fraction of what it could be if we continue to consume meat and dairy.  Animal agriculture spans all the multitude of environmental problems, from GHG emissions and biodiversity loss, to deforestation and ocean acidification, so if you're an environmentalist who eats meat, then going vegan is something you should strongly consider. 🌎",,,2063,0,2063,2159,0,2159,116.0,5.6,5.4,36,0,36,0,35,,,,,,https://www.facebook.com/photo.php?fbid=430526252631871&set=a.296116792739485&type=3
01/18/2024 11:47 AM EST -0500,"The use of AI in animal agriculture could worsen the industry’s already unethical practices and its poor environmental track record, but here's the twist – we can also harness the power of AI for positive change! 🔄💡   We can use AI to increase our productivity when advocating for animals, create more transparency, and accelerate the production of plant-based proteins.   Now is the time to use technology to create a compassionate and eco-friendly future. 🌱🤖  🎥 Constance Li from Impactful Animal Advocacy  #TechforGood #SustainableAgriculture #AIRevolution",,,829,0,829,847,0,847,25.0,3.0,3.0,0,0,0,0,4,237.0,0.0,237.0,9.0,3.3,https://www.facebook.com/430984779252685
01/18/2024 05:08 PM EST -0500,"This is the reality for millions of pigs worldwide. Mothers are trapped in farrowing crates so small they barely fit. Their babies, born into a world of filthy concrete, are taken away when just a few weeks old and put into overcrowded, barren pens where they are fattened for slaughter. The next litter is born, and the cycle continues.  Animals deserve better. By choosing vegan, we play our role in ending these cruel practices.",Simon Plazolles-Hayes,,1117,0,1117,1160,0,1160,0.0,0.0,0.0,0,0,0,0,23,0.0,0.0,0.0,13.0,66.4,https://www.facebook.com/1418899089006801
01/19/2024 02:58 PM EST -0500,"The dairy industry spends millions of dollars advertising their products every year.  They use terms like “Organic”, “Natural” and “Grass-Fed” to trick people into thinking milk is naturally and humanely produced. One artist, Praxis put up posters and billboards across the United States to reveal the truth behind the advertising facade.  Suddenly oatmilk doesn’t sound so bad, eh?",,,1364,0,1364,1391,0,1391,,,,0,0,0,0,52,1863.0,0.0,1863.0,10.0,41.5,https://www.facebook.com/431657459185417
01/20/2024 02:43 PM EST -0500,"Vegans are not perfect, nor do we claim to be. But in a world of cruelty — both industrialized and normalized — vegans make an effort not to contribute to animal suffering.  Will you choose not to harm animals today?",,,753,0,753,783,0,783,,,,0,0,0,0,5,760.0,0.0,760.0,6.0,25.1,https://www.facebook.com/432591059092057
01/21/2024 11:14 AM EST -0500,"Chicken Run 2 is not just a movie, but a rallying cry for animal liberation! 🐔✊ Embark on an adventure with our brave feathered friends as they break free from cages and unite for a world where every creature deserves freedom.   🐔🎬Chicken Run 2 is a call to action for compassion, equality, and the liberation of all beings.",,,2637,0,2637,2675,0,2675,,,,0,0,0,0,18,2466.0,0.0,2466.0,7.0,12.4,https://www.facebook.com/433107459040417
01/22/2024 01:16 PM EST -0500,"Making the vegan switch has never been smoother! 🌱✨  Restaurants are stepping up with incredible plant-based choices, and the vegan cheeses and meats are seriously leveling up in taste and affordability. 🍔💚 Plus, the growing awareness of the health benefits of a whole food plant-based diet is a game-changer. 🥗💪   Shoutout to HappyCow Vegan Guide & Community for being our go-to guide in discovering awesome vegan spots worldwide. 🌍🐮",,,2017,0,2017,2132,0,2132,74.0,3.7,3.5,0,0,0,0,25,719.0,0.0,719.0,5.0,29.3,https://www.facebook.com/433790428972120
01/22/2024 02:02 PM EST -0500,"Row after row after row…  This is the disturbing reality of the dairy industry. Each pen contains a calf, separated from his mother at birth, and confined alone until he is slaughtered for veal at only 18 weeks old.  How can we ignore this senseless cruelty? 💔🐮  🎥@WeAnimals",Simon Plazolles-Hayes,,668,0,668,686,0,686,0.0,0.0,0.0,0,0,0,0,23,0.0,0.0,0.0,10.0,40.5,https://www.facebook.com/907827761347598
01/22/2024 08:59 PM EST -0500,Embark on a healthy January by choosing a vegan lifestyle and savor the variety of tasteful meal options available 🌱. 'Going vegan can be a healthy and satisfying choice.'  What's one dish you'd love to veganize this month? 🍲,Jamie Logan,AI Article,591,0,591,595,0,595,21.0,3.6,3.5,5,5,0,0,0,,,,,,https://www.facebook.com/433955008955662
01/23/2024 00:30 PM EST -0500,"A growing body of scientific evidence is linking dairy consumption to cancer disease and recurrence, especially when it comes to hormone-sensitive cancers such as breast and prostate.  Why take the risk?  Healthy - and tasty - plant-based alternatives are available. You can even make them at home: https://genv.org/making-plant-milks-at-home/",,,2912,0,2912,2993,0,2993,107.0,3.7,3.6,13,4,9,0,35,,,,,,https://www.facebook.com/photo.php?fbid=434414855576344&set=a.296116792739485&type=3
01/23/2024 01:34 PM EST -0500,"It is perfectly possible to get the protein you need from a plant-based diet. There is no doubt about that at all, but it is a good idea to know what we need and where to find it.",Simon Plazolles-Hayes,,571,0,571,589,0,589,32.0,5.6,5.4,15,15,0,0,6,,,,,,https://www.facebook.com/434441652240331
01/23/2024 05:53 PM EST -0500,"This man stepped in at the right time to save this fawn from drowning. He did the right thing to help someone in their time of need. We may not have the opportunity to perform a rescue, but every meal we have the option to help animals or harm them.  Going vegan isn’t about sacrifice; veganism is about choosing the option that doesn’t harm others.",Simon Plazolles-Hayes,,28960,0,28960,29568,0,29568,0.0,0.0,0.0,0,0,0,0,409,0.0,0.0,0.0,15.0,61.4,https://www.facebook.com/2817643331742296
01/23/2024 06:00 PM EST -0500,Who says vegans don’t get enough protein?  🤔  What are your favorite vegan protein sources? 💪  👑 The Vegan Queens,Simon Plazolles-Hayes,,4816,0,4816,4964,0,4964,0.0,0.0,0.0,0,0,0,0,146,0.0,0.0,0.0,11.0,45.1,https://www.facebook.com/345614165045784
01/24/2024 04:13 PM EST -0500,"Protein exists in different plant sources that don’t come with the same environmental toll, health risks or horrendous animal suffering that meat and dairy come with.  Here are the top 20 vegan protein sources to show how many amazing options there are!",Simon Plazolles-Hayes,,1159,0,1159,1240,0,1240,86.0,7.4,6.9,48,48,0,0,9,,,,,,https://www.facebook.com/435157962168700
01/24/2024 05:00 PM EST -0500,Unlocking the power of plant-based protein! 🌱💪 Check out this insightful article on Today's Health for valuable tips and delicious options for vegans and vegetarians.  ,Jamie Logan,,436,0,436,459,0,459,20.0,4.6,4.4,9,9,0,0,1,,,,,,https://www.facebook.com/435174145500415
01/24/2024 05:40 PM EST -0500,"We are raised to believe that milk and other animal products are necessary for us to lead a healthy lifestyle. But just how true is this?  Watch the teaser, and check out our full-length interview with Dr. Allan Kornberg here: https://www.youtube.com/watch?v=kq8HPKkvE1A",,,5591,0,5591,5591,0,5591,,,,0,0,0,0,26,5561.0,0.0,5561.0,7.0,17.5,https://www.facebook.com/435187598832403
01/25/2024 02:55 PM EST -0500,"Choosing the vegan option not only helps animals, but it is also the single biggest way to reduce our environmental impact.   According to a study conducted by Oxford University, cutting meat and dairy products could reduce an individual’s carbon footprint from food by up to 73%.  Will you try vegan for the planet?   😎 New Roots Institute",,,783,0,783,806,0,806,,,,0,0,0,0,7,663.0,0.0,663.0,4.0,17.3,https://www.facebook.com/435730055444824
01/25/2024 06:00 PM EST -0500,"Recent research reveals getting a bit more plant-based protein over animal sources can lead to healthier aging in women. 🌿💪 ""Getting just a little more protein from plant sources than from animal sources was linked to significantly higher odds of overall healthy aging among women."" How does this inspire your dietary choices? 🥗✨",Jamie Logan,AI Article,671,0,671,714,0,714,31.0,4.6,4.3,8,8,0,0,3,,,,,,https://www.facebook.com/435952815422548
01/25/2024 06:08 PM EST -0500,"Whey is a by-product of dairy, so it is an animal product and, therefore, associated with all the cruelty inherent in dairy.  Luckily, many vegan protein powders do exactly the same job as whey and are tasty, effective, more ethical, and nutritious.",Simon Plazolles-Hayes,,418,0,418,440,0,440,11.0,2.6,2.5,3,3,0,0,2,,,,,,https://www.facebook.com/435955672088929
01/26/2024 07:00 AM EST -0500,"""A vegan diet improves cardiovascular health,"" reveals a fascinating study comparing identical twins! 🍃👩‍🔬❤️  Have you considered what switching to a vegan diet could do for your heart's well-being?",Jamie Logan,AI Article,806,0,806,860,0,860,53.0,6.6,6.2,21,21,0,0,2,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/436274485390381
01/26/2024 01:01 PM EST -0500,"🌈🐋💙 When animals live free, the ocean fills with magic!  Unfortunately, this is not the reality for the 650,000 marine animals, including dolphins, whales, seals, and turtles, who are killed or injured in fishing nets each year.  Please take care of our oceans! Keep fish in the sea and off your plates 🌱 🐟 🎥: timmboslice_",Simon Plazolles-Hayes,,3178,0,3178,3230,0,3230,0.0,0.0,0.0,0,0,0,0,25,0.0,0.0,0.0,5.0,65.7,https://www.facebook.com/1547382239167730
01/26/2024 01:03 PM EST -0500,"Activist Angela Davis is a vegan advocating for the liberation of women and the Black community. “I believe there is a connection between how we treat animals and the people who are at the bottom of the hierarchy."" 🌱  Thank you, Angela Davis, for continuously inspiring us to build a more compassionate world.  ✊🏾💚",Simon Plazolles-Hayes,,5740,0,5740,5748,0,5748,292.0,5.1,5.1,23,0,23,0,35,,,,,,https://www.facebook.com/photo.php?fbid=436450235372806&set=a.296116792739485&type=3
01/26/2024 02:44 PM EST -0500,"All animals who are farmed for dairy are subjected to repeated impregnation and the loss of their young. After all, the industry only makes its profits if it stops the calves from drinking the milk that their mothers produced for them.  ",Jamie Logan,,906,0,906,923,0,923,47.0,5.2,5.1,6,6,0,0,16,,,,,,https://www.facebook.com/436492322035264
01/26/2024 03:05 PM EST -0500,"Type 2 diabetic Bryn Scola, a former “meat & potatoes guy,” had two heart attacks, six stents placed in his chest, and a five-way bypass operation before making the decision to go plant-based. Today, he is heart-healthy and diabetes-free.  A plant-based vegan diet is proven to reduce the risks of certain diseases like heart disease, strokes, type 2 diabetes, and certain types of cancer.  🌱 Take action for your health today, by trying a plant-based vegan challenge this New Year. Sign up and watch the full film at genv.org/why-vegan/for-your-health/.",,,5497,0,5497,5497,0,5497,418.0,7.6,7.6,3,3,0,0,109,2338.0,0.0,2338.0,27.0,13.0,https://www.facebook.com/436500132034483
01/26/2024 06:00 PM EST -0500,"""Up to 1,000 sun-dried and crushed female beetles go into just one traditional red lipstick,"" revealed in a recent article that's leaving a mark on the beauty industry. 🐞🚫💄  How does it make you feel knowing that Confession Red 0 achieves that vibrant red without harming a single insect?  Let's celebrate those making kinder choices for a better world. 🌱❤️ Choose compassion, choose vegan.",Jamie Logan,AI Article,1518,0,1518,1588,0,1588,54.0,3.6,3.4,13,13,0,0,15,,,,,,https://www.facebook.com/436561658694997
