Date,Content,Created by,Labels,Reach,Completion rate (%),Video replays,Watched fully,Engagement,Engagement rate per impression (%),Engagement rate per reach (%),Impressions,Url
02/10/2024 00:02 PM EST -0500,"We should never be too busy for compassion.  Whenever and wherever we can make the choice, choose vegan.   @The Vegan Queens  #time #MealPrep #choose",,,478,31.5,69,58,85,15.5,17.8,547,https://www.tiktok.com/@genv_eng/video/7334019781349117227?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/11/2024 09:06 AM EST -0500,"Rescued from the dairy and meat industry by Ahimsa Santuario Valedarainha these babies now have the opportunity to experience love, care, and safety.   Love in action! 💚🐄   Go vegan! 🌱   #cows #CuteAnimals",,,708,12.1,41,16,119,15.9,16.8,749,https://www.tiktok.com/@genv_eng/video/7334345392819096878?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/11/2024 03:51 PM EST -0500,Why not tuck into tasty plant-based wings which use the exact same spices you already love? Are you eating vegan chick’n for the Super Bowl? 🏈   #SuperBowl #chicken ,,,522,91.2,44,240,33,5.8,6.3,566,https://www.tiktok.com/@genv_eng/video/7334449732074589486?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/12/2024 04:27 PM EST -0500,This mother cow fought to defend her baby against a farmer who wanted to separate them. Dairy farmers steal calves from their mothers so they can sell their milk to consumers.    Do you think it is time for the dairy industry to end? #cows #milk ,,,79,53.0,29,21,9,8.3,11.4,108,https://www.tiktok.com/@genv_eng/video/7334830015269358890?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/13/2024 09:37 AM EST -0500,Eggs are not all they’re cracked up to be. Animals still suffer and die for a product no one needs.   What are your favorite vegan egg replacements? 🥚💭   📽️ @Toronto Chicken Save    #egg #eggs #chickens #saveanimals,,,232,44.8,37,45,36,13.4,15.5,269,https://www.tiktok.com/@genv_eng/video/7335095535713439019?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/15/2024 04:07 PM EST -0500,"Tiny calves are confined alone in pens and hutches. 🐄😢   Milk companies try to sell the lie of happy cows naturally grazing on wide-open pastures. Yet modern dairy production is mechanized, industrial, and cruel.   Does this look natural and ethical to you?🤔  #milk #cheese",,,371,35.5,40,43,24,5.8,6.5,411,https://www.tiktok.com/@genv_eng/video/7335938165909277994?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/16/2024 04:43 PM EST -0500,This is everything wrong with dairy 🥛 #dairy #milk ,,,973,17.8,98,68,141,13.2,14.5,1071,https://www.tiktok.com/@genv_eng/video/7336318551063629098?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/18/2024 11:19 AM EST -0500,"Every day, thousands of ships haul crabs and other marine species out of the ocean to suffer and die for food. These extreme practices not only harm animals but also damage the ocean. 🦀    Want to save aquatic life? Stop eating them. 🐟    #crabs #fishing",,,441,41.9,33,74,18,3.8,4.1,474,https://www.tiktok.com/@genv_eng/video/7336977230515506474?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/19/2024 00:40 PM EST -0500,"🦬Did you know that with one click you can support over 1,000 animals?   By subscribing to one of Gen V's 7-day vegan challenges, not only are you getting started on a path that will leave animals off your plate, but you'll also donate $1 USD that will go towards assisting buffaloes that have been rescued in Brazil. @LIZ SOLARI  #buffalo #brazil ",,,280,9.2,29,2,33,10.7,11.8,309,https://www.tiktok.com/@genv_eng/video/7337369156834151723?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/20/2024 02:19 PM EST -0500,"Milk is not harmless. 🥛   Here are some things you should know about the dairy industry: 🥛 Cows are forcibly impregnated repeatedly. 🥛 They are separated from their calves, causing both of them extreme distress. 🥛 When they can no longer produce as much milk, the cows are taken to the slaughterhouse. 🥛If their calves cannot be monetized — raised for veal or milk — they are killed at birth. 🐮 It's time to reconsider dairy consumption and explore plant-based alternatives. Choose veganism #ForTheAnimals.   Try vegan with us today! Comment READY below and we will send you our 7 and 30 day vegan challenge at genv.org   #Vegan #AnimalRights #Dairy #Cheese #Icecream #DairyIsScary",,,381,21.2,47,35,33,7.7,8.7,428,https://www.tiktok.com/@genv_eng/video/7337765947635240234?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/23/2024 11:16 AM EST -0500,"Delving into the concealed realms of a slaughterhouse, undercover investigations unveil the stark realities hidden behind closed doors.   🚪🔍 In a revealing sit-down interview, Scott David from @Animal Outlook takes us on a gripping journey, sharing his profound experiences as an investigator working within these facilities.   #UnderCoverInvestigation, unveiling the unfiltered #Truth through compelling #VideoFootage from within the depths of factory farms.   #AnimalOutlook #BehindClosedDoors #FactoryFarmsExposed",,,358,6.6,41,4,38,9.5,10.6,399,https://www.tiktok.com/@genv_eng/video/7338831899147816234?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/23/2024 01:03 PM EST -0500,"The cruel practice of live exports continues despite numerous countries banning or planning to ban them. Animals are forced onto tight, confining ships and undertake an arduous journey for the sole destination of being slaughtered.  Live exports must be banned. 🐄🚫🚢   #Cows #Farming    📹 We Animals",,,56,17.3,12,1,6,8.8,10.7,68,https://www.tiktok.com/@genv_eng/video/7338859397034052907?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/24/2024 02:03 PM EST -0500,"A mother cow runs after her baby, two more victims of the forced separation that is routine on dairy farms.   How can ice cream and cheese be worth such misery?   #dairy #milk",,,155,23.4,25,11,31,17.2,20.0,180,https://www.tiktok.com/@genv_eng/video/7339246184596311339?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/25/2024 01:31 PM EST -0500,"💭 Imagine if we hadn't been socially and culturally conditioned to consume animals. Imagine if, from childhood, we had been taught that the lives of all animals matter equally and that they are friends, not food. Imagine living in a world where no one placed a price on their lives.  🫶🏽🐥  That reality is possible. If we can imagine it, we can create it.   📹 @menkay ",,,134,17.1,28,5,17,10.5,12.7,162,https://www.tiktok.com/@genv_eng/video/7339608908710841643?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/26/2024 01:29 PM EST -0500,"Carol J. Adams, writer and feminist activist, reveals how language can be used to erase the animals exploited and killed by the farming industry.   Behind every piece of meat, every egg, and every glass of milk, was a sentient being who wanted to live 🐷🐔🐮",,,2686,60.4,405,530,513,16.6,19.1,3091,https://www.tiktok.com/@genv_eng/video/7339979431655607595?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/27/2024 10:09 AM EST -0500,"🍏🥑🥦 Thinking of trying out veganism? This is the post for you! ✨   Whether you are considering going vegan for environmental, health, ethical, or humanitarian reasons, we have dedicated challenges for each of them!   And if you would like to embark on a spiritual journey that aligns your beliefs with your actions and fosters a greater connection with people, animals, and the Earth, we have just launched a new challenge: 7-DAYS VEGAN FOR SPIRITUALITY! 😇   🥕🍌🍉 Subscribe today for free at GenV.org!",,,330,17.1,35,13,29,7.9,8.8,365,https://www.tiktok.com/@genv_eng/video/7340299102745283882?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/27/2024 03:21 PM EST -0500,"If you’re wondering how much protein you should eat per day, or where to find it, then we have good news. A vegan diet gives you all the protein you need— just ask bodybuilder Nimai Delgado!   What are your favorite vegan protein sources? 👇   💪 NimaiDelgado 🧒🏾 @Genesisbutler      #protein #VeganProtein",,,644,23.7,81,19,109,15.0,16.9,725,https://www.tiktok.com/@genv_eng/video/7340379542156119342?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/28/2024 05:29 PM EST -0500,"Chickens aren't just clucking around all day – they're highly intelligent birds with vibrant personalities. From their remarkable memory and math skills to their diverse vocalizations, chickens empathize with others in their brood and protect each other.   Shot at Ahimsa Farm Animal Sanctuary   #hen #chicken #AnimalSanctuary",,,272,36.3,20,27,25,8.6,9.2,292,https://www.tiktok.com/@genv_eng/video/7340783569792470315?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/29/2024 11:22 AM EST -0500,"Eyes reflecting the pain of the soul... 💔   The gaze of this gentle being only reinforces the urgency to act. Every time we ignore this reality, we allow injustice to persist.   Let's unite to build a more compassionate world. Together, we can create a future where suffering is not the norm. 🐷   🌱 For them, give veganism a chance.   #Pig #Truth #Vegan #FriendsNotFood",,,6890,59.1,0,124,82,17.1,1.2,480,https://www.tiktok.com/@genv_eng/video/7341059983359905070?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
02/29/2024 06:52 PM EST -0500,Beloved comedian and presenter Jon Stewart is returning to hosting @The Daily Show 🎉   Jon Stewart is a tremendous advocate for animals and living proof of the healthy power of broccoli 🥦 _______ #JonStewart #DailyShow #broccoli,,,441,35.2,38,66,35,7.3,7.9,479,https://www.tiktok.com/@genv_eng/video/7341175940602547499?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/01/2024 02:13 PM EST -0500,"Happy National Pig Day!   Pigs are friends not food!   Let’s honor these intelligent, curious, and social animals by choosing plant-based options! 🌟   #PlantBased #Vegan #FriendsNotFood #PigLove #NationalPigDay ",,,352,17.5,30,21,48,12.6,13.6,382,https://www.tiktok.com/@genv_eng/video/7341475076723739946?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/01/2024 02:15 PM EST -0500,"Paul, a military veteran, was an army paratrooper and a navy bomb disposal diver before an encounter with a 10-foot bullshark changed everything, including his views on conservation and the ethics of eating animals.   Join the movement towards a better planet with plant-based eating! 🌱🌍 #shark #sharkattack #animals ",,,436,6.7,67,2,29,5.8,6.7,503,https://www.tiktok.com/@genv_eng/video/7341475676765293870?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/02/2024 05:19 PM EST -0500,"Discover the fascinating world of octopuses! 5 curious facts that will surprise you 🐙💡   1️⃣ They have 3 hearts 💓💓💓 2️⃣ They are masters of camouflage, able to change color and texture! 3️⃣ Their brains are distributed throughout their body, even in their tentacles! 4️⃣ They are highly intelligent, capable of opening jars and even escaping from aquariums! 5️⃣ They can regenerate lost tentacles. Yes, they are incredible creatures! ✨   However, industrial fishing threatens the lives of these beings and all marine life. Join us in protecting them. Consider veganism. 🌱",,,72,49.4,15,21,14,16.1,19.4,87,https://www.tiktok.com/@genv_eng/video/7341894119377210667?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/05/2024 05:41 PM EST -0500,"Even amidst conflict, Tamara's group remains steadfast in their commitment to veganism.   Shifting gears from education to direct support, they're ensuring Ukrainian soldiers uphold their beliefs while defending sovereignty.   Their impactful work is a true testament to resilience and compassion in the face of adversity. 🌱💪   🎥 @Кожна Тварина    #VeganSupport #UkraineStrong",,,838,20.3,123,61,107,11.1,12.8,961,https://www.tiktok.com/@genv_eng/video/7343013044395511086?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/06/2024 02:49 PM EST -0500,"Chef Babette was preparing for her 72nd birthday when we first met her, and she openly credits eating plant-based vegan food for her health and vitality — a motivating testament that humans can thrive on a vegan diet at any age.   @ChefBabette is the co-owner of @stuffieat_inglewood in California. A fitness enthusiast, actress, health coach, and co-founder of Love Ur Age.   Regardless of age, a plant-based vegan diet is a healthy option.",,,0,0.0,386,0,53,13.7,0.0,386,https://www.tiktok.com/@genv_eng/video/7343339691896311083?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/09/2024 05:52 PM EST -0500,"Why keep cruelty on the plate? 🍽️  🐣 In the egg industry, male chicks are nothing more than an unwanted by-product.   On their first day of life, they are thrown onto an industrial conveyor belt heading towards the grinder—a horrifying machine that crushes them while still alive.   We can end this. 🌱   Choose veganism.🐣💛",,,471,72.5,60,144,31,5.8,6.6,531,https://www.tiktok.com/@genv_eng/video/7344500163563621674?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/11/2024 01:59 PM EDT -0400,"🌕🌖🌗🌘This is a message from the universe (and from us)!🌑🌒🌓🌔 If you’ve been thinking of going vegan for the animals, the environment, or your health, this is the perfect time to do so! 👉🏽 Go to GenV.org and subscribe to one of our vegan challenges. You can choose a 7-day or a 30-day challenge that best suits you. Let’s start today! ⭐️",Jamie Logan,,320,10.9,38,4,22,6.1,6.9,358,https://www.tiktok.com/@genv_eng/video/7345166991054916906?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/12/2024 09:06 AM EDT -0400,"Hypnotizing sweetlips 💋🐠   But this beauty is at risk due to human activities. Industrial fishing, commercial shipping, mining, and pollution (plastic, chemicals, and farmed animal waste) threaten the planet's oceans.   Each one of us can do our part to protect marine life. Choose veganism. 🌊🌱💙   📽️: rafafdezjr (IG)   #fish #ocean #sea",,,119,41.9,40,19,18,11.3,15.1,159,https://www.tiktok.com/@genv_eng/video/7345462462214622510?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/12/2024 05:46 PM EDT -0400,"This is Cross Farm in Devon, a typical British pig farm assured by Red Tractor where “animal welfare is the number one priority”. This same farm was exposed for appalling suffering to pigs SIX years ago by our friends at Animal Equality. Red Tractor promised to take action, but a recent visit by a documentary crew revealed appalling conditions and unimaginable suffering. It looks like nothing has changed.   Stressed, sick, and injured animals are living and dying in filth and fear. Don’t be fooled by the marketing claims. These are the “high welfare standards” of British pig farming.    Join us in calling for action by @RedTractor and report Cross Farm in Devon directly to them: enquiries@redtractor.org.uk    #PigFarming #AnimalWefare #NationalPigAssociation #RedTractor #TrustTheTractor",,,3620,10.1,407,102,280,7.0,7.7,4027,https://www.tiktok.com/@genv_eng/video/7345596388019064110?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/14/2024 08:03 AM EDT -0400,"Most vegans grew up eating meat, but one day realized that the meat on their plate used to be part of a living, feeling animal.   When we make that connection, we act on it because no animal should be exploited just for a meal.   What was your moment of vegan realization?   #TheSimpsons #meat #vegan #lamb #AnimalRights",,,1262,27.8,116,182,123,8.9,9.7,1378,https://www.tiktok.com/@genv_eng/video/7346188545578503470?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/14/2024 02:29 PM EDT -0400,"The majestic beauty of the blue macaw 💙🦜   Unfortunately, the blue macaw is threatened with extinction due to hunting, clandestine trade, and degradation of its natural habitat, especially through deforestation for creating pastures for beef and dairy cows.   Going vegan is one powerful way to protect not only species like the blue macaw, but also the entire ecosystem that sustains life on our planet. 🌍🌱   🎥: Rafael Prete",,,49,35.5,21,8,11,15.7,22.4,70,https://www.tiktok.com/@genv_eng/video/7346287980081958187?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/15/2024 02:14 PM EDT -0400,"This kid is only one day old, and she is fortunate because her mother was rescued from a slaughterhouse while she was pregnant.❣️   She will live a happy and fulfilling life with 120 other goats like her at Ahimsa Farm Animal Sanctuary  But not all goats are as lucky as her and we all have the chance to do something about it.   Studies have shown that by going vegan, you can save 100 animals in a year. Please. Do your bit. #vegan #goat ",,,683,31.6,88,84,107,13.9,15.7,771,https://www.tiktok.com/@genv_eng/video/7346654987797269802?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/15/2024 04:21 PM EDT -0400,"🔊Sound on📢 🐮 Meet Nitin, a curious cow who was rescued from a dairy farm. He would have been sold to a slaughterhouse but instead, he now lives at the Ahimsa Farm Animal Sanctuary where he is loved and cared for. 🌱💚 #asmr #cows",Simon Plazolles-Hayes,,497,38.8,44,69,84,15.5,16.9,541,https://www.tiktok.com/@genv_eng/video/7346687720397507886?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/19/2024 11:00 AM EDT -0400,"Chris grew up hunting and fishing in rural western Ohio, and often argued with his wife over her reluctance to eat meat. It wasn't until he met a rescued cow named Dudley that Chris finally made the connection with animals. Animals can transform us for the better if we let them - here's the proof! Learn more about veganism. __________ https://genv.org",Jamie Logan,,303,14.2,41,7,43,12.5,14.2,344,https://www.tiktok.com/@genv_eng/video/7348089510204509486?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/20/2024 10:43 AM EDT -0400,"Did you know that sea otters have the densest fur of all marine mammals? This helps them float and stay warm in cold waters. 🦦🌊  Although otter pups can float, they rely on their mothers for about six months to a year to learn how to swim and acquire essential survival skills, such as hunting and cracking shells.   📝 Do you know more facts about otters? Share with us in the comments below! 👇   🎥: earthlyeducation (IG) #otter #cute",,,230,26.2,50,18,55,19.6,23.9,280,https://www.tiktok.com/@genv_eng/video/7348456005300161835?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/20/2024 05:29 PM EDT -0400,"If we killed people at the same rate we kill animals, the human race would be extinct in 17 days 💔   There is only one way to stop this industrial-scale killing. We choose to.   Try our free vegan challenge at genv.org/go-vegan   #GoVegan #WW2 #BeKind #FriendsNotFood",,,380,17.7,59,15,46,10.5,12.1,439,https://www.tiktok.com/@genv_eng/video/7348560816163048747?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/21/2024 09:23 AM EDT -0400,"Have you ever been hugged by a cow? 🐮💛  🐄 Cows express a wide range of emotions. Joy while playing in pastures and receiving affection. Fear and distress in the face of exploitation by the meat and dairy industries.   How might our world look if we valued every living being as a unique individual, worthy of respect and compassion?   🎥: @Farm Sanctuary ",,,485,26.4,37,27,90,17.2,18.6,522,https://www.tiktok.com/@genv_eng/video/7348806718140337451?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/22/2024 01:10 PM EDT -0400,"Vegans care about the mice, snakes, and other living beings in crop fields, so we choose vegan to reduce their suffering as well.   Did you know that eating meat is the most destructive diet? 🥩💥 ________    @RealJoeyCarbstrong  #vegan #insects #farming #food",,,1048,35.8,144,136,101,8.5,9.6,1192,https://www.tiktok.com/@genv_eng/video/7349236364572904746?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/23/2024 05:33 PM EDT -0400,🐷💖Conscious food choices make scenes like this possible. Join us on this journey of compassion and respect for all species.  📽️: Charleye Anna  #pig #cute,,,39,35.7,12,5,12,23.5,30.8,51,https://www.tiktok.com/@genv_eng/video/7349675170241514795?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/25/2024 02:07 PM EDT -0400,"💔It is not uncommon for vegans to fall back to old ways of eating and existing. And after such an experience, it can be frustrating to see friends and family eat animals again. Not only frustrating, it can be painful and heartbreaking.  But here we come, bearing facts and updates, in an overt bid to tempt you back!  So we ask you, are you ready to try it again?   Visit https://pulse.ly/8mzo4mk7z3 to try one of our free 7-day or 30-day vegan challenges. We would love to support you in your effort to make the world a kinder, safer, happier, healthier place 💛🐷🥑.   #FreeChallenge #Health #Fit #Compassion #Vegan #Animals #PlantBased #Delicious #Support",,,298,19.7,57,19,37,10.4,12.4,355,https://www.tiktok.com/@genv_eng/video/7350364281726127406?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/26/2024 02:49 PM EDT -0400,"New vegan film goes VIRAL in Italy and now we need your help screening it in a theater near YOU.  Food for Profit is the first feature documentary that exposes the links between the meat industry, lobbying, and the corridors of power. It reveals how Europe is transferring hundreds of billions of euros of taxpayers’ money into the hands of intensive farms, which mistreat animals, pollute the environment, and pose a potential danger for future pandemics. @Food For Profit  #documentary #meat ",,,1204,16.4,557,76,198,11.2,16.4,1761,https://www.tiktok.com/@genv_eng/video/7350746090720955694?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/26/2024 04:42 PM EDT -0400,Keep them in the oceans… not locked up 🐋🌊   Veganism goes beyond what we put on our plates; it also involves boycotting places and practices that exploit animals for entertainment or any other purpose.   Animals deserve freedom. 💫💛  🎥: Mike Kauffmann⁣⁣ #orca #ocean #nature ,,,41,22.2,20,0,15,24.6,36.6,61,https://www.tiktok.com/@genv_eng/video/7350775273534819627?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/28/2024 10:25 AM EDT -0400,"Meet Spurlino and his best friend: the ball! 🐮🏐💖   He's here to prove that cows and bulls have a playful nature! 🤸‍♂️✨ Sadly, many of them never experience this joy. Shall we change that reality? Choose veganism! 🌱✊   📽️: @farmsanctuary   #cow #cows #animals #veganism",,,1118,40.1,85,114,182,15.1,16.3,1203,https://www.tiktok.com/@genv_eng/video/7351420179240258858?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/28/2024 03:53 PM EDT -0400,"Dive into the mysteries of marine life! 🌊 Our oceans are not just a source of wonder. They play a crucial role in our planet's health and the well-being of every inhabitant.   Ready to be an ocean hero? The best way to keep our oceans thriving is by saying NO to consuming marine animals. 🐠🚫 Put an end to overfishing and bycatch, and let's restore fish populations to vibrant, healthy levels.  Curious about the magic beneath the waves? ✨  Dive deeper with 5 fascinating facts about this essential ecosystem. 🌏💙",,,304,14.3,32,12,24,7.1,7.9,336,https://www.tiktok.com/@genv_eng/video/7351504648185974058?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
03/31/2024 02:36 PM EDT -0400,"Easter Reflections 💭✝️   As we celebrate Easter, let's also think about God's original design for our plates.  In Genesis (1:29-30), God specifically tells Adam and Eve the foods he had provided for them to eat. And guess what? They were all plant-based. 🌱🌿✨   After the Fall, sin entered the world, and then everything changed. But the question is: can Christians eat meat?   Eating animals wasn't part of God’s intention when He created the world. For Christians striving to return to the Garden of Eden, not eating meat is a powerful way to get closer to God.   This Easter, consider the connection between faith and food and let's move closer to embodying Jesus' compassion as we rejoice in new life and renewal.  Go vegan! 🌷🐰",,,21,100.0,0,10,3,14.3,14.3,21,https://www.tiktok.com/@genv_eng/video/7352598245991910699?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/03/2024 03:05 PM EDT -0400,"This is the reality for millions of pigs worldwide. Mothers are trapped in farrowing crates so small they barely fit. Their babies, born into a world of filthy concrete, are taken away when just a few weeks old and put into overcrowded, barren pens where they are fattened for slaughter. The next litter is born and the cycle continues.   Animals deserve better. By choosing vegan, we play our role in ending these cruel practices. #pig #bacon",,,35,43.4,35,11,9,12.9,25.7,70,https://www.tiktok.com/@genv_eng/video/7353718891639541038?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/04/2024 01:02 PM EDT -0400,"🌾🌽A significant proportion of plant crops are grown to feed farmed animals who are destined for consumption, not humans directly. Wheat, corn, and soy are among the most common crops grown for non-human animals.   Currently, enough food is grown to feed over 92 billion non-human land animals each year, while, according to the UN, approximately 828 million people were affected by hunger in 2021. We need a revolution in the food system and you can start it with your choices.   🍆🫘🍛Choose to eat plant-based, host meat-free gatherings, and cook animal-free dishes for your family and friends. Find recipe info on our website: https://pulse.ly/4g0r4+",,,1420,25.0,369,144,222,12.4,15.6,1789,https://www.tiktok.com/@genv_eng/video/7354058305372720427?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/04/2024 04:42 PM EDT -0400,This is when Dora took her first steps after being rescued from an animal testing lab. Over 50 million animals like Dora undergo experiments in US labs each year. Few survive. 💔    Animal testing is cruel and unscientific. 🐶   #Dogs #science,,,557,46.2,41,93,66,11.0,11.8,598,https://www.tiktok.com/@genv_eng/video/7354114994130193707?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/06/2024 02:29 PM EDT -0400,"💚Every life deserves freedom and compassion.  These rescued farmed animals remind us of the horrors they endured and the joy of liberation. 🐷🐮🐔   🌟Let's choose kindness and give all beings the chance to live their lives free from harm.   🫶🏽Join the movement, choose veganism today!   🔗Go to https://pulse.ly/7j74pkomnk and start your journey   🎥:@lancasterfarmsanctuary  #ChooseCompassion #GoVegan #AnimalLiberation",,,1221,42.5,160,262,303,21.9,24.8,1381,https://www.tiktok.com/@genv_eng/video/7354822794569387310?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/07/2024 02:42 PM EDT -0400,"Meat and dairy are associated with increased risks of type 2 diabetes, heart disease, strokes, and some kinds of cancer. No wonder vegans need fewer medications!   Ready to add more plants to your diet? Try our 7-Day Vegan For Your Health Challenge.   Link to source & learn more at our @GenV_ENG bio link. ____ REF: https://pulse.ly/4g0r4+",,,265,39.7,24,15,31,10.7,11.7,289,https://www.tiktok.com/@genv_eng/video/7355197399717154094?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/11/2024 04:56 PM EDT -0400,Pure happiness and joy 🐷💖   Adorable pigs teaching us profound lessons: find joy in life's simplest moments 💫   🎥: @santuarioamorquesalva,,,99,22.5,70,10,30,17.8,30.3,169,https://www.tiktok.com/@genv_eng/video/7356716266217950506?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/14/2024 05:14 PM EDT -0400,This mother cow fought to defend her baby against a farmer who wanted to separate them. Dairy farmers steal calves from their mothers so they can sell their milk to consumers. Do you think it is time for the dairy industry to end?    #cows #milk,,,16,69.2,10,13,6,23.1,37.5,26,https://www.tiktok.com/@genv_eng/video/7357834166316092715?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/15/2024 06:39 PM EDT -0400,"Remembering the incomparable Benjamin Zephaniah on what would have been his birthday. 🎂🕊️   His words continue to resonate, his spirit forever alive in his poetry and activism. Let's honor his legacy by spreading love, compassion, and the power of words. Rest in power, Benjamin. 🌟  ❤️ @officialbenjaminzephaniah  ______  #RIP #BenjaminZephaniah #InLovingMemory #ThankYou",,,37,25.9,21,5,13,22.4,35.1,58,https://www.tiktok.com/@genv_eng/video/7358227095182560558?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/16/2024 07:33 AM EDT -0400,Being kind to the other beings we share our planet with is not extreme!   Wise words @clif_grant   📷 @thatvocalvegan   #AnimalRights,,,23,22.3,3,2,4,15.4,17.4,26,https://www.tiktok.com/@genv_eng/video/7358426661680860447?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/16/2024 06:20 PM EDT -0400,Starting the week like… 🦭💤 Tag a friend who'd love this!⁣   🎥: Ocean Destinations  _____  #AmazingAnimals #seal #ocean,,,18,100.0,8,3,0,0.0,0.0,26,https://www.tiktok.com/@genv_eng/video/7358592791452077343?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/18/2024 04:45 PM EDT -0400,"🌈🐋💙 When animals live free, the ocean fills with magic!   Unfortunately, this is not the reality for the 650,000 marine animals, including dolphins, whales, seals, and turtles, who are killed or injured in fishing nets each year.   Please take care of our oceans! Keep fish in the sea and off your plates 🌱 🐟   🎥:  @timmboslice_   #fish #fishing #whales #ocean",,,44,82.2,22,28,20,30.3,45.5,66,https://www.tiktok.com/@genv_eng/video/7359310812739013930?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/19/2024 03:40 PM EDT -0400,"😱 Don’t give in to temptation, it’s normal to feel it when you’re starting your journey into veganism or have been practicing it for a short time, but keep watching this video because at the end you will learn some of our tips to overcome these issues.   🦋🐛 We want your journey to veganism to be more sustainable and we will help you stay true to your principles. On our website, we have a lot of information to help you transition to a plant-based diet or to stay on track. Go to genv.org 🙌🏻 ____ #veganism #vegetarianism #vegan #plantbased #cheese #beans #tofu #health #cheeselover",,,293,19.0,29,16,29,9.0,9.9,322,https://www.tiktok.com/@genv_eng/video/7359665306408586538?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
04/21/2024 10:56 AM EDT -0400,"The lives of farmed fishes are miserable from day 1. They are often sick and injured which makes them unfit for sale. They are thrown back into the dirty water or left out to die. Fisheries are also responsible for loss of mangroves, as they pollute groundwater and freshwater sources, and are a potential source of antibiotic-resistant pathogens. 🌱 Choose compassion over cruelty. Your choices have the power to make a difference. #GoVegan 🌱 📹 @weanimals #FarmedAnimals #aquaculture #fishing",,,388,38.5,54,39,42,9.5,10.8,442,https://www.tiktok.com/@genv_eng/video/7360334256868199726?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
