baslik,text,label
kopek,"insanoğlunun en çok bağ kurabildiği canlıdır, öyle bir bağdır ki,insanın en yakın akrabaları sempanzeyle kurulan bagdan bile güçlüdür, insan köpeğin köpek de insanın sadece gözlerinden ve yüz ifadesinden neler hissettigini çok rahat anlayabilir. rehberlik, arama kurtarma, arazi koruması, çiftlik hayvanlarını korumak, askeri operasyonlar vb. kullanim alanlarıyla insana en faydalı olan, hakiki dost bir hayvandır.(ciftlik hayvanlarınin faydalari da sınırsız tabii) hayvancağizın tek sahip oldugu şey de sahibidir, siz hevesinizi alıp sokaga barınaga veriyorsunuz ve hayatınıza devam ediyorsunuz ama hayvan bir anda tüm sahip oldugunu yitiriyor anlık hevesleriniz uğruna. insana kopek kadar baglanan baska hicbir hayvan bulamazsınız ve insan kopek sevgisini kesinlikle haketmiyor. sokak kopekleri veya dövüş için özel yetistirilen köpekler maalesef sorunlu hayatlara sahipler ve agresif oluyorlar,kopek sahipligi kesinlikle devlet tarafindan kontrol edilmeli, mesela almanya'da rottweiler tarzı güclü kopek alirken hep düzenli sınavlar ve teftişler var, kopek sahibini dinliyor mu, sokakta kedi veya baska kopek vs görünce agresiflesiyor mu diye vs. boylece sokaktaki başıboş kopek sayısı da azalir her isteyen kopek sahibi olamazsa.",2
basibos-kopek-sorunu,"derhal çözüme kavuşturulması gereken elzem bir iç güvenlik sorunudur. halk sağlını tehdit ediyor, halkın sokaklarda parklarda, kırsal alanlarda yaşadığı zulüm bunu gozler önüne sermektedir. insanlar erken saatlerde korkarak işe gidiyorlar, çocuklar okula ciddi tehdit altında gidip geliyor, özellikle kırsalda, gece kondu mahallelerinde, sanayii bölgelerinde yaşamak veya bir şekilde yaya olarak oralara gitmek zorunda kalanların hayatları risk altında. ayrıca bu mama lobisinden mamalanan, hayvan severlikle hiç ilgisi olmayan dolandırıcılık suçundan hüküm giymiş kriminal tipler, bu sorundan zarar görmüş insanları zorla sindiriyorlar, çeteler halinde plan kurup baskı ile, hukuksuz davalar ile, sosyal medya linçleri ile yıldırmaya çalışıyorlar. çocuğunu sokak köpekleri yüzünden kaybetmiş aileleri tehdit edip susturuyorlar, susturamadıklarını da kurdukları çete vasıtasıyla plan kurup darp ediyorlar üstüne de iftira atıp sosyal medyada kimlik bilgilerini deşifre ediyorlar... bu konu o kadar derin ki, anlat anlat bitmez. fetö vari bir tarikat gibi avukat, hakim, savcı... kendilerinden yana tavır alacak şekilde örgütlenmiş çok büyük bir organize çeteden bahsediyoruz.",2
basibos-kopek-sorunu,"türkiye'den ayrılmadan evvel çok yaşadığım bir sorundu. özellikle erken saatlerde ve sürü haldeyken gerçekten doğrudan ya da dolaylı olarak ölüm tehlikesi oluşturuyorlardı. hayvanları oldukça seven hatta zamanında yıllarca köpek bakan birisi olarak dahi üzerimde gerçekten silah taşıma gereği duymaya başlamıştım. şimdiye kadar onlarca defa kavga ettim, içerisinde insanların da olduğu kitlesel olayların içerisinde de kaldım ama bu zamanların hiçbirisinde kendimi silahla koruma isteğim olmamıştı çünkü bana saldıran rakibin ve benim şartlarımız eşitti. şimdi kimse kalkıp ama yemek versene demesin. her sabah saat 8'de işe giderken yanıma 15 köpeklik sürü için yemek mi almalıyım ? kaldı ki açlık çektikleri bir durum da yok. ya da ben her sabah o stresi çekip o gerillmi yaşamak zorunda mıyım ? işte bunları düşünürken de kendimi silah fiyatlarına bakarken bulmuştum. neyse ki sonra türkiye'den siktir olup gittim. buradan tavsiyem eğer tek başınıza ve yürüyerek işe gidip geliyorsanız yanınızda mutlaka köpek saldırısına karşı bir şey taşıyın. sakın biber gazı falan gibi bir salaklık yapmayın elinizdeki sik kadar tüp daha siz koşarken sıksanız havada biter. buradan da radikal hayvanseverlere bir mesajım var. ben evli barklı, hayatı, ailesi ve sorumlulukları olan bir insanım. orospu çocuğunun biri köpeğini sokağa attı sonra da o bilinçsiz üredi diye ölmemek benim de hakkım. ve elbette ki bu da bir doğa kuralı hayatta kalmak için çarpışmalar olasıdır. edit: imla",0
kopek,an itibariyle klavyedeki elimin altina burnunu sokup elimi havaya hoplatmak ve basina isabet ettirtmeye calismak suretiyle zorla kendini sevdirmeye kasan canli. o canina kurban olurum ben senin.,2
basibos-kopek-sorunu,"3haftadır yurt dışındaydım 11 ülke gezdim. sokaklarda sinek dışında hayvan yok. ipsala'da iner inmez karşılaştığım ilk şey gecenin 3'ünde havlayarak koşuşturan köpek çetesi oldu. türkiye'ye geldiğimi o an anladım. hiçbir gelişmiş ülkede başıboş köpek bulamazsınız. sokakların güvenliliği medeniyettir diyoruz ya hep o işte sadece sözlü veya fiziki tacizi kapsamıyor. başıboş sokak köpekleri de sokakların güvenliliğini yok ediyor. amk senesinde hala kuduzdan ölen var. o ölen insanlar sizin sevdikleriniz olabilirdi siz bile olabilirdiniz. medeniyet, güvenli sokaklardır.",2
kopek,"dünyanın en harika varlığı, bir insanın dostluğunu hatta daha fazlasını size yaşatabilecek yegane canlı. kendileriyle ilgili üzücü olan noktalar ise; -barınaklarda aylarca, yıllarca sahiplerini beklemeleri ve bulamamaları. -heves edilip alındıktan sonra çişiydi kakasıydı gezdirmesiydi diye uğraşamayıp sokağa atılmaları. -çocuklara hediye olarak alınması. -sokakta yaşıyanlarının insanlar tarafından bolca şiddet görmesi gibi gibi sıralayabiliriz. o yüzden, karakter yapısıyla ilgili ""şart"" olan durumlardan dolayı satın almayı tercih edenler haricinde tüm hayvansever dostlarımıza, satın alma sahiplen diyoruz. ps: satın almayı tercih eden arkadaşlar ise kesinlikle petshopları değil çiftlikleri tercih etsinler.",2
basibos-kopek-sorunu,sabah işe giderken iki köpek birinin kulağında küpe var sakin ama diğerinin taşması var hemde agızını açıp havlayıp milletin üstüne koşuyor kuduz olabilir tedbir alınması gerekiyor bu konuda bir hayvansever olarak kedi köpeksiz sokak olmaz onlar sokakların neşe kaynağı bir kap su yemek vermek zor değil lakin demek istediğim aşısız kuduz tehlikesi ve aşısız küpesiz saldırgan başıboş köpeklerin tehlikesi.vs sağlık gerçekten önemli,2
basibos-kopek-sorunu,"köpeklerin yaşam hakkı koyunlardan, ineklerden fazla değildir. aşırı çoğalan ve insanlara zarar veren köpekler zararlı hayvan olarak görülür. zararlı köpeklerin yaşam hakkı zararlı farelerden zararlı böceklerden fazla değildir.",2
kopek,"düşündüm ve kafamda kurduğum ideal dünyada köpeğe yer bulamadım. doğaya elleşmeyeceksin işte arkadaşım. gittin kurdu tilkiyle mi kırdın artık kiminle nasıl çiftleştirdiysen bu ürettiğin hayvanlar av yapamayan etçiller oldu. ben de endüstriyel ete karşıyım, ne olacak şimdi? herkes avladığını çiğ çiğ yesin mantığındayım. gerçek etçillik budur çünkü, anlayana.... köpek ne olacak ama :( kendi adıma zaten bir daha köpek almamaya karar verdim. bir köpek bakacağım diye 800 tavuk, 5 dana, 16 koyun berbat bir hayatın ardından öldürülüyor. köpek ölsün. töbe töbee, öyle de demem. köpek doğmasın. heh bu olur. bu dünya hiç olmamış bence. resmen yapamamışlar. bana vermesinler ben de yapamam. dünya olmasın evet. gerek yoktu. böyle yazdım diye köpeklerimin ömrü kısalırsa döverim. onlar ayrı. gerçi köpek mamaları hep artıklardan yapılıyor, obur insanlar var neyse ki de hayvanların ölmesinde yancı suçlu olmuş oluyorum. ideal dünyada insanlar da et yemiyordu pardon. ok, köpekleri iptal ediyoruz. benimkiler hariç :/ hayvanların ölmesinde sorun yok. yaşadıkları hayatta sorun var. yoksa ölsünler banane. ben bile ölüyorum düşünün yani, ben bile! gerçi nasıl yaşıyorum o da belli değil. neyse konuyu kapattık. köpekleri kaldırıyoruz ve böylece artık işkence gören köpekler için ağlamama da gerek kalmıyor. bir taşla iki kuş^^",0
basibos-kopek-sorunu,"kendini gerçek hayvan sever olarak tanımlayanlara ısrarla soruyoruz ama bugüne kadar hiçbirinden bir cevap alamadık. sokaktaki bu başıboş hayvanları besleyerek, bir anlamda onlara pozitif ayrımcılık yaparak bunların sayılarını çoğaltıyoruz ve bunun neticesinde bu hayvanlar hem alan koruması için, hem avlanma içgüdüsü ile her yıl milyarlarca hayvanı öldürüyor. hatta bu hayvanlardan bazılarının da türleri, bu başıboş köpek ve kedilerden dolayı yok olma tehlikesi ile karşı karşıya. sorum şu; lokantaya gidip löp löp yediğin etler tarladan yetişmiyor. onları yemek için her yıl milyarlarca büyük baş ve küçük baş hayvan öldürüyoruz. sinek istilası olduğu zaman belediyeler ilaçla milyarlarca sineği öldürüyor. zararlı her türlü hayvanı, gözünün yaşına bakmadan öldürüp arkana bakmıyorsun. yukarıda da söylediğim gibi bu başıboş hayvanlar diğer hayvanları da öldürüyor, yok ediyor. peki sen neden ısrarla köpeğin ve kedinin bir canı olduğunu, onların da yaşamaya hakkı olduğunu savunurken, bunların yok ettiği diğer hayvanları savunmuyorsun? insanların et yemek için kestiği milyarlarca hayvan için bir tek kelime etmiyorsun?",0
basibos-kopek-sorunu,"devlet kavramı bu yüzden var. soğuk havalarda köpekler çeteleşir ve saldırganlaşır. yiyecek içecek bulmaları zor ve doyma eşikleri yüksektir. standart, insani ülkelerde barınak bir problem değil. bizde bir olay bu. sınırlı kontenjan.! 1.'si onlar bir canlı. onların yaşam alanına biz binaları dikip hayatlarını çaldık.. sokak hayvanlarına pislik gözüyle bakan insanilere selam olsun. 2.'si de devlet onlara alan sağlamak zorunda.. bizimkiler akıllarına eserde kısırlaştırır, fazlasını da toplar ormana götürür. ormanda kalıyorlar çünkü! allah akıl fikir versin.. tozu halı altına süpürmek gibi bişey bu. .. umarım ki bu yapıdaki belediyelere de elveda diyeceğiz. bu da yakındır..",2
kopektapar,"sokak hayvanı diye bir kavramı hayata sokan, sokakların hayvanlara ait olduğunu iddia eden avam sürüsü. ""ekseriyeti"" hiç evlenememiş, sosyal boşlukta olan yahut +50 yaş zümrelerden oluşan bu güruh, ittaparlığı bir ritüel haline dönüştürdüğü ve çoğulculukla (sürü) hareket ettiği için mantıklı düşünceden yoksundur. istisnaları tenzih ederek ""ekseriyet"" göz onune alınarak bir toparlama yapalım ve aptala anlatır gibi anlatalım; - doğada ""doğal secilim"" denilen bir faktör ve avcı&amp;av döngüsü bulunmaktadır. sizler bunu ""mama vermek"" adı altında ve gördüğünüz her köşeye plastik kaplar içinde bir yığın halinde, yenilip yenilmemesine aldırmadan tonla mama boşaltarak bozuyorsunuz. - fare, böcek ve benzeri populasyonun artışına neden oluyorsunuz, - mama bosalttiginiz kapları çoğunluğunuz kontrol dahi etmiyor, yağmurdan yumuşayan mamalar hayvanlara fayda vermiyor, aksine evlerin önünde çirkin görüntüye sebep oluyor. bazıları plastik saklama kabına koyuyor, o kapları bir daha kontrol dahi etmiyor. ruzgarda salinip uçuyor... - sürüleşmenin önü açılıyor ve bu çeteleşmenin nihayetinde saldırgan bir alfa, sürünün liderliği alırsa, sürünün geri kalanının da alfa'nın emirlerine itaat edeceğinden bihaber cahilce yaşıyor ""ama şu beyaz çok tontisti, kesin saldırdığı insan bir şey yapmıştır"" diyorsunuz. tontis, alfa'dan emir alıyor. - sahipli köpeklerinizi sokakta gezdiriyor, ekseriyetiniz hayvanlarınızın sıçtıkları boku kaldırmadan basıp gidiyorsunuz. pissiniz. - insanı sevmediğinizi, yahut daha az sevdiginizi biliyor, anlayışla karşılıyorum. fakat evrensel yasalar gereği insanın ne yazık ki hayvana üstün, hayvandan kıymetli ve hayvana baskın olabileceğini anlayamamanız beni derinden düşündürüyor. ıqsal bir ortalamanız olduğunu (80?) ve ortak noktanın da bu olabileceğini düşünüyorum (aranızda). - öldürülen, sakat bırakılan, acı çeken her masum insanın yaşadığı zulümde parmağınız olduğunu bilerek yaşabilmek de büyük lüks. insana vicdanı olmayanın hayvana vicdanı olabilir mi? kimi kandırıyorsunuz, egolarınızı? aldığınız sosyal medya desteği ile ""bir şey olabilmek"" hissi, sizin asıl sevginiz. siz aslında gördüğünüz ilgiyi ve nihayet bir şey olabilmeyi seviyorsunuz.",0
basibos-kopek-sorunu,"başıboş sokak hayvanlarının varlığı insanlık ayıbıdır. bu meseleye taş koyanlar, direnç gösterenler, insanlarla dalaşmaya müsait, her zaman kavga çıkarmek için zaman kollayan, geçimsiz, kontrolcü ve hırçın tiplerdir. kendilerinden anlayış ve mantık beklemiyorum. evcil hayvanlar özellikle köpekler, insana evrimsel süreç boyunca çok yakınlaştılar. köpek yavruları da her zaman şefkat objesi oldular. bu süreçte köpeklerin beyin kimyası değişti, boyut olarak kurtlara nazaran ufaldılar. yeri geldi, kurtların saldırılarına karşı canlarını feda ettiler. bu alışveriş karşılıklı oldu. zahmetsiz yiyeceğe karşılık bekçilik. içlerinden en sevimli ve uysal olanları seçerek yolumuza devam ettik. insan önce doğadan çekilerek yerleşik hayata geçti, sonra da şehirler kurdular. bu geçişler suni seçilimle köpekleri daha küçülttü. bundan dolayı köpek türüne bir borcumuz yok. bugün yerleşim yerlerinde, insanların kalabalık oldukları yerlerde sahipsiz başıboş köpeklerin hiçbir mantıklı dayanağı yoktur. insanlar artık gruplar halinde avcı toplayıcı olarak yaşamıyorlar. sahipsiz hayvanlar bizim orkak bir değerimiz değildir. sorumluluktan kaçarak kudurmak iyi bir iletişim biçimi değildir. hayvan beslemek, sahiplenmek için iş resmiyete binmek zorunda. saldırgan bir hayvanın sorumluluğu sahibi olmalı, hayvan doğası gereği hayvandır. yaşam habitatızda sahibinin yanıdır. hayvanlar aleminde güçlü zayıfı ezer, orman kanunları geçerlidir. köpek sürüleri bundan muaf değildir. belki kabullenmekta zorlanıyorsunuz ama gerçekler sizin anlam dünyanızdan farklı. barınaklarda da durum farklı olmayacak. ben buna ödenek verme taraftarı değilim. karnını doyurmakta zorlanan, barınma hakkı olmayan insanlar var. mültecilere gelene kadar da zaten kendi insanlarımız var. çok uzun bir zaman olmadı, seneler önce eskişehir'de annanesi babası akademisyen genç bir kızı sokak köpekleri parçalamıştı. kendisi de sokak hayvanları aktivistiymiş. ıssız bir bölgeye sahipsiz hayvanları beslemeye gidiyor ve o esnada saldırıya uğruyor, parçalanıyor. canlı doğası sözkonusu olduğunda bunun romantizmi de idealizmi de biter. ortada kalan şeye psikoz denir.",2
basibos-kopek-sorunu,yine bir cocugun canini almis bu vahsi yaratiklar. (bkz: ali asaf aktekin) sadece 2 yasindaymis. ulusal basinda yer bulamamis tabi. artik daha yuksek sesle kopeksiz sokaklar istedigimizi haykirmaliyiz. bu isi devlet cozmezse halk insani olmayan yontemler kullanmak zorunda kalacaktir.,2
kopektapar,"hayvanseverleri aşağılamaya çalışmak için uydurulmuş bir sözcük. bu sözcüğü kullanan kişilerin dillerinde nefretten başka bir şey yok. sağlıklı düşünebilen bir insan, bir sorun karşısında çözüm aramak yerine nefret söylemleri pompalamaz ya sabah akşam. itlaf, katliam, uyutmak vs. bunlarla bir yere varamazsınız, ölçülü ve saygılı olun.",2
kopektapar,köpek sevilmeyecek hayvan değil elbet ancak hastalık derecesinde sevenler mevcut ya onlara cuk diye oturan sıfattır.,2
basibos-kopek-sorunu,"tüm köpekleri toplayıp kapatilabilecek bir barınak yapılması mümkün değil, kısırlaştırma uygulaması ile bu sorun çözülemez. ingiltere'de, avustralya'da, ya da başka bir gelişmiş ülkede ne yapılıyor ise aynısı yapılmalı. bu işin başka da bir çözümü yok. halk kendi adaletini saglayacaksa devlet neden var? yanımda yöremde bir ya da birkaç köpeğin bir çocuk ya da savunmasız bir insana saldırması durumunda yapacağım şeyi yapmakta tereddüt edeceğimi sanmıyorum. peki illa birinin parçalanmasını, yaralanmasını ya da ölmesini beklememiz mi gerekiyor?",3
kopektapar,"bu köpekseverler ile, sevmeyenler arasındaki temel fark otomobil. otomobili olan sokak köpeği çetelerini sadece arabasına sevimli sevimli havlayan playful canlılar olarak görüyor. çünkü umrunda değil, işe giderken o adrenalini yaşamıyor ki. ve evet, olay gerçekten ruh hastalığı boyutunda. sevgi dolu bir insan olduğunuzu, mantık dışı argümanlar ile sadece köpeklere yönelterek kanıtlayamazsınız. sevgi varsa tüm canlılara karşı olur. insanlar ölsün, hayvanlar yaşasın ne demek? bu sağlıklı bir bakış açısı falan değil. insanın da, hayvanın da kötüsü var. ying-yang duydunuz mu hiç? seveceksen hatalarına rağmen seveceksin. ayrıca kimse köpek düşmanı değil, burada mevzu bahis sokak köpeği ""çeteleri"". bunlar hayati tehtit. bir de, karşı cinsin dikkatini çekmek için gezdirdiğiniz, sonra korkup sokağa attığınız labaratuarda geliştirilen yırtıcı köpek cinsleri. o hayvanları besleyip sokağa atanlara verilmesi gereken ceza bence onur kırıcı bir ceza olmalı. şimdi genelleme değil, ama istatistik diye de bir şey var. sokak köpeği bir insanı ısırmasına rağmen onu savunabilen biri benle aynı dünyada yaşamıyor. o, tehlikeli sokaklara girmek zorunda falan kalmıyor. kalmıyor ki o tehlikeli sokaklarda tek tahlike unsurunun köpekler olmadığını bir haklı savunma olarak görebiliyor. yahu kim diyor ki eli bıçaklı serseriler tehlikeli değil, onlar da tehlikeli. ama bunun saldırgan sokak köpekleri alakası ne? neyi ne ile haklı çıkarmaya çalışıyorsun? herkes bir ego tatmini ve ucuz et peşinde. bu otomobil kullananlar kafka okurken, biz sokak köpeklerini tehlikeli bulanlar mahallede top oynuyorduk ve bu gibi nedenler ile aramızdaki kültürel makas açıldıkça açıldı ya. ben işe veya ailemin ve sevdiklerimin yanına yürüyerek, ya da toplu taşıma ile giderken doğaya bıraktığım karbon ayak izi bu salam dudaklılarınkinden çok daha az oluyor mesela. hani onlar sustainable cities socio ecological systems okurken biz counter strike oynadığımız için avam kaldık ya; köpeklerin yaşam alanını etrafa yaydıkları fosil yakıt atıkları ile onlar benden daha çok tahrip ediyor, bu alışlkanlıkları ile yoğun şehirleşmenin önüne geçmek yerine, onu daha da yaygınlaştırıyorlar.",0
basibos-kopek-sorunu,"her iki kutup öyle uç noktalara savrulmuş ki, kendi cephesinde olmayan herkesi öteki uçta zannediyor. bu konuyu tartışamıyorsun bile. ""ben hayvanseverim, köpekleri seviyorum, ama bir çözüm bulmak lazım"" diye cümle kurduğun anda, cümlenin ilk yarısı bir kitleyi tetikliyor, öteki yarısı bir başka kitleyi tetikliyor. birisi, orta yol bir çözüm önerisinde bulunmuş, diğeri çıkmış ona ""siz köpeklere kürekle vurarak öldüren canilersiniz"" demiş. psikopatlarla bir tutmuş. verilen çözüm önerisi içinde köpeği öldürmek yok halbuki. öte yandan, içinde öldürmenin olmadığı bir yolu anlattığın anda bu sefer ""köpektapar"" ilan edilebilirsin. ben birinci kitlenin köpektapar olarak tanımlanmasına karşı değilim. ""köpeğimi apartman girişinde sokak köpeği ısırıyor, ne yapabilirim"" diye sorduğumda ""taşın"" diyen embesil bir köpektapardır mesela. veya ""mamaları lütfen buraya değil, oraya dökün, zira burası apartman girişi"" diye kibarca uyarınca kavga çıkarıp ""onların da canı var!"" diye bağıran (biz ""yok"" mu dedik gerizekalı) kişi de köpektapardır. ama ""barınak çözüm değil"" dediğin zaman da köpektapar olmuyorsun ey öteki uçtaki arkadaşım. zira değil. konuyu resmen tartışamıyorsun, kilit...",2
kopektapar,"sorun insanların hayvan sevmesi değil, insanlara veya yavrularımıza olası zararlarını görmezden gelerek, onları yeğ tutmasında. belki de onları kendi yavruları olarak kabul etmesinde. bu çığırtkan tiplerin, genelde belli bir yaş üstündeki kadınlar olduğunu da şu videoda fark ettim. adana'da köpekler toplanınca ciyaklayan kadınlar/@linus torvalds sokakta köpek olmaz, sağa sola mama bırakan alıp evinde baksın.",2
basibos-kopek-sorunu,"barınak barınak barınak. barınak yoksa itlaf. insan canından kıymetli değiller. ölen kişi annen, baban, eşin, sevgilin, çocuğun vs olabilirdi. köpektapar birazdan damlar.",2
