Unnamed,"""index""",id,policyareas,cursummary,curtext,title,titlesofficial,titlesshort,sponsorname,sponsorparty,sponsorstate
        marine mammal conservation.''.
    (b) Appropriation of Funds Received.--Section 509 of the Marine 
Mammal Protection Act of 1972 (16 U.S.C. 1423(h)) is amended by adding 
at the end the following new subsection:
    ``(d) Appropriation of Funds Received.--All amounts received by the 
Director of the United States Fish and Wildlife Service for violations 
of this Act shall be available without further appropriation and until 
expended to carry out the purposes this Act.''.

SEC. 208. FUNDING FOR SHARK CONSERVATION.

    All amounts available to the Secretary of Commerce that are 
attributable to fines, penalties, and forfeitures of property (or 
proceeds from the sale of that forfeited property) imposed for 
violations under section 307(1)(P) of the Magnuson-Stevens Fishery 
Conservation and Management Act (16 U.S.C. 1857(1)(P)) or violations of 
any fishery management plan for sharks prepared under title III of that 
Act (16 U.S.C. 1851 et seq.) shall be used by the Secretary of Commerce 
for--
            (1) the benefit of the shark species impacted by the 
        applicable violation, to the extent practicable;
            (2) shark conservation purposes, including to carry out 
        amendments made by the Shark Conservation Act of 2010 (Public 
        Law 111-348);
            (3) payment of awards to whistleblowers on an applicable 
        violation under section 311(e)(1)(B) of the Magnuson-Stevens 
        Fishery Conservation and Management Act (16 U.S.C. 
        1861(e)(1)(B)); or
            (4) enforcement of section 307(1)(P) of the Magnuson-
        Stevens Fishery Conservation and Management Act (16 U.S.C. 
        1857(1)(P)) or any fishery management plan for sharks under 
        that Act.

SEC. 209. USES OF TRANSFERRED FUNDS FOR WILDLIFE CONSERVATION.

    All amounts made available to the Secretary of the Interior under 
the amendments made by sections 302 and 303 shall be used--
            (1) for the benefit of the species impacted by the 
        applicable violation, to the extent practicable;
            (2) for payment of awards to whistleblowers on an 
        applicable violation under section 103; or
            (3) to carry out--
                    (A) the African Elephant Conservation Act (16 
                U.S.C. 4201 et seq.);
                    (B) the Asian Elephant Conservation Act of 1997 (16 
                U.S.C. 4261 et seq.);
                    (C) the Wild Bird Conservation Act of 1992 (16 
                U.S.C. 4901 et seq.);
                    (D) the Rhinoceros and Tiger Conservation Act of 
                1994 (16 U.S.C. 5301 et seq.);
                    (E) the Neotropical Migratory Bird Conservation Act 
                (16 U.S.C. 6101 et seq.);
                    (F) the Great Ape Conservation Act of 2000 (16 
                U.S.C. 6301 et seq.);
                    (G) the Marine Turtle Conservation Act of 2004 (16 
                U.S.C. 6601 et seq.);
                    (H) the Amphibians in Decline Fund established by 
                the Secretary and administered by the United States 
                Fish and Wildlife Service;
                    (I) the Critically Endangered Animals Conservation 
                Fund established by the Secretary and administered by 
                the United States Fish and Wildlife Service; or
                    (J) any other international wildlife conservation 
                programs or activities authorized by Federal law, as 
                considered appropriate by the Secretary, including 
                activities pursuant to sections 201 and 301.

                TITLE III--ANTI-TRAFFICKING AND POACHING

SEC. 301. UNITED STATES FISH AND WILDLIFE SERVICE OFFICERS ABROAD.

    (a) Definitions.--In this section:
            (1) Host country.--The term ``host country'' means a 
        country that is hosting a United States Fish and Wildlife 
        officer under this section.
            (2) Secretary.--The term ``Secretary'' means the Secretary 
        of the Interior.
    (b) Placement of Officers.--The Secretary, in consultation with the 
Secretary of State, may station not less than one United States Fish 
and Wildlife Service officer in the primary diplomatic or consular post 
of the United States in--
            (1) a focus country or country of concern;
            (2) a country that has a national who has been certified by 
        the Secretary under section 8(a)(2) of the Fishermen's 
        Protective Act of 1967 (22 U.S.C. 1978(a)(2)) as engaging in 
        trade or taking which diminishes the effectiveness of any 
        international program for endangered or threatened species; or
            (3) other countries identified by the Secretary, in 
        consultation with the Secretary of State.
    (c) Duties.--A United States Fish and Wildlife Service officer 
stationed under subsection (b) shall--
            (1) assist local agencies or officials responsible for the 
        protection of wildlife in the protection of wildlife and on-
        the-ground conservation;
            (2) facilitate apprehension of individuals who illegally 
        kill or take, or assist in the illegal killing or taking of, 
        wildlife;
            (3) support local agencies or officials responsible for the 
        protection of wildlife in the host country and regional 
        partners of the United States in wildlife trafficking 
        investigations;
            (4) support wildlife trafficking investigations based in 
        the United States with a nexus to a host country or region;
            (5) provide technical assistance and support to build 
        capacity in the host country for wildlife conservation and 
        anti-trafficking enforcement by agencies that partner with the 
        host country;
            (6) advise on leveraging the assets of the United States 
        Government to combat wildlife trafficking;
            (7) support effective implementation of CITES and other 
        international agreements relating to wildlife conservation, in 
        coordination with the Secretary of State;
            (8) work to reduce global demand for illegally traded 
        wildlife products and illegally taken wildlife; and
            (9) conduct other duties as the Secretary, in consultation 
        with the Secretary of State, determines to be appropriate to 
        combat wildlife trafficking and promote conservation of at-risk 
        species.

SEC. 302. WILDLIFE TRAFFICKING VIOLATIONS AS PREDICATE OFFENSES UNDER 
              TRAVEL ACT AND RACKETEERING STATUTE.

    (a) Travel Act.--Section 1952 of title 18, United States Code, is 
amended--
            (1) in subsection (b)--
                    (A) by striking ``or (3)'' and inserting ``(3)''; 
                and
                    (B) by striking ``of this title and (ii)'' and 
                inserting the following: ``of this title, or (4) any 
                act that is a criminal violation of subparagraph (A), 
                (B), (C), (D), (E), or (F) of section 9(a)(1) of the 
                Endangered Species Act of 1973 (16 U.S.C. 1538(a)(1)), 
                section 2203 of the African Elephant Conservation Act 
                (16 U.S.C. 4223), or section 7(a) of the Rhinoceros and 
                Tiger Conservation Act of 1994 (16 U.S.C. 5305a(a)), if 
                the endangered or threatened species of fish or 
                wildlife, products, items, or substances involved in 
                the violation and relevant conduct, as applicable, have 
                a total value of more than $10,000 and (ii)''; and
            (2) by adding at the end the following:
    ``(f) The Secretary of the Treasury shall transfer to the Secretary 
of the Interior any amounts received by the United States as civil 
penalties, fines, forfeitures of property or assets, or restitution to 
the Federal Government for any violation under this section that 
involves an unlawful activity described in subsection (b)(i)(4).''.
    (b) RICO.--Chapter 96 of title 18, United States Code, is amended--
            (1) in section 1961(1)--
                    (A) by striking ``or (G)'' and inserting ``(G)''; 
                and
                    (B) by inserting before the semicolon at the end 
                the following: ``, or (H) any act that is a criminal 
                violation of subparagraph (A), (B), (C), (D), (E), or 
                (F) of section 9(a)(1) of the Endangered Species Act of 
                1973 (16 U.S.C. 1538(a)(1)), section 2203 of the 
                African Elephant Conservation Act (16 U.S.C. 4223), or 
                section 7(a) of the Rhinoceros and Tiger Conservation 
                Act of 1994 (16 U.S.C. 5305a(a)), if the endangered or 
                threatened species of fish or wildlife, products, 
                items, or substances involved in the violation and 
                relevant conduct, as applicable, have a total value of 
                more than $10,000''; and
            (2) in section 1963, by adding at the end the following:
    ``(n) The Secretary of the Treasury shall transfer to the Secretary 
of the Interior any amounts received by the United States as civil 
penalties, fines, forfeitures of property or assets, or restitution to 
the Federal Government for any violation of section 1962 that is based 
on racketeering activity described in section 1961(1)(H).''.
    (c) Sport-Hunted Trophies.--Nothing in this section or the 
amendments made by this section--
            (1) nullifies or supersedes any other provision of Federal 
        law or any regulation pertaining to the import of sport-hunted 
        wildlife trophies;
            (2) prohibits any citizen, national, or legal resident of 
        the United States, or an agent of such an individual, from 
        importing a lawfully taken sport-hunted trophy for personal or 
        similar noncommercial use if the importation is in compliance 
        with sections 4(d) and 10 of the Endangered Species Act of 1973 
        (16 U.S.C. 1533(d), 1539), section 3(a) of the Lacey Act 
        Amendments of 1981 (16 U.S.C. 3372(a)), and regulations 
        implementing those sections; or
            (3) may be used to prosecute any citizen, national, or 
        legal resident of the United States, or an agent of such an 
        individual, for importing a lawfully taken sport-hunted trophy 
        for personal or similar noncommercial use if the importation is 
        in compliance with sections 4(d) and 10 of the Endangered 
        Species Act of 1973 (16 U.S.C. 1533(d), 1539), section 3(a) of 
        the Lacey Act Amendments of 1981 (16 U.S.C. 3372(a)), and 
        regulations implementing those sections.

SEC. 303. FUNDS FROM WILDLIFE TRAFFICKING VIOLATIONS OF MONEY 
              LAUNDERING STATUTE.

    Section 1956 of title 18, United States Code, is amended by adding 
at the end the following:
    ``(j) The Secretary of the Treasury shall transfer to the Secretary 
of the Interior any amounts received by the United States as civil 
penalties, fines, forfeitures of property or assets, or restitution to 
the Federal Government for any violation under this section that 
involves an unlawful activity described in subsection (c)(7)(G).''.

SEC. 304. TECHNICAL AND CONFORMING AMENDMENTS.

    (a) Use of Amounts From Fines.--Section 1402(b)(1)(A) of the 
Victims of Crime Act of 1984 (34 U.S.C. 20101(b)(1)(A)) is amended--
            (1) in clause (i), by striking ``and'' at the end; and
            (2) by adding at the end the following:
                            ``(iii) section 1952(f), section 1956(j), 
                        and section 1963(n) of title 18, United States 
                        Code; and''.
    (b) Use of Amounts From Forfeitures.--Section 524(c)(4)(A) of title 
28, United States Code, is amended by inserting ``the Secretary of the 
Treasury pursuant to section 1952(f), section 1956(j), or section 
1963(n) of title 18,'' before ``or the Postmaster General''.

SEC. 305. PUBLICATION OF CERTIFICATIONS UNDER THE PELLY AMENDMENT.

    Section 8 of the Fisherman's Protective Act of 1967 (22 U.S.C. 
1978) is amended--
            (1) in subsection (a)--
                    (A) in paragraph (4), by inserting at the end the 
                following: ``The Secretary of the Interior or the 
                Secretary of Commerce, as appropriate, shall make 
                readily available on an appropriate public internet 
                website of the Federal Government a list of all 
                certifications made under subsection (a) and maintain 
                such listing until a termination of each such 
                certification is made under subsection (d).''; and
                    (B) in paragraph (5), by inserting at the end the 
                following: ``The Secretary of the Treasury shall make 
                readily available on an appropriate public internet 
                website of the Federal Government a list of all 
                offending countries for which a prohibition was made at 
                the direction of the President under this paragraph.''; 
                and
            (2) in subsection (d), by inserting ``and on the public 
        Federal Government internet website required under subsection 
        (a)(4)'' before the period.

         TITLE IV--ILLEGAL, UNREPORTED, AND UNREGULATED FISHING

SEC. 401. FUNDING FOR ILLEGAL, UNREPORTED, AND UNREGULATED FISHING 
              ENFORCEMENT.

    All amounts available to the Secretary of Commerce that are 
attributable to fines, penalties, and forfeitures of property (or 
proceeds from the sale of that forfeited property) imposed for 
violations under section 307(1)(Q) of the Magnuson-Stevens Fishery 
Conservation and Management Act (16 U.S.C. 1857(1)(Q)) shall be used by 
the Secretary of Commerce for fisheries enforcement, including for 
payment of awards to whistleblowers under section 103 or other 
applicable laws and to carry out amendments made by the Illegal, 
Unreported, and Unregulated Fishing Enforcement Act of 2015 (Public Law 
114-81; 129 Stat. 649).

SEC. 402. ILLEGAL, UNREPORTED, AND UNREGULATED FISHING AS PREDICATE 
              OFFENSES UNDER MONEY LAUNDERING STATUTE.

    Section 1956(c)(7) of title 18, United States Code, is amended--
            (1) in subparagraph (F), by striking ``; or'' and inserting 
        a semicolon;
            (2) in subparagraph (G), by striking the semicolon and 
        inserting ``; or''; and
            (3) by adding at the end the following:
                    ``(H) any act that is a violation of section 
                307(1)(Q) of the Magnuson-Stevens Fishery Conservation 
                and Management Act (16 U.S.C. 1857(1)(Q)), if the fish 
                involved in the violation and relevant conduct, as 
                applicable, have a total value of more than $10,000;''.

SEC. 403. FUNDS FROM ILLEGAL, UNREPORTED, AND UNREGULATED FISHING 
              VIOLATIONS OF MONEY LAUNDERING STATUTE.

    Section 1956 of title 18, United States Code, is amended by adding 
at the end the following:
    ``(j) The Secretary of the Treasury shall transfer to the Secretary 
of Commerce any amounts received by the United States as civil 
penalties, fines, forfeitures of property or assets, or restitution to 
the Federal Government for any violation under this section that 
involves an unlawful activity described in subsection (c)(7)(H).''.

SEC. 404. USES OF TRANSFERRED FUNDS FOR ILLEGAL, UNREPORTED, AND 
              UNREGULATED FISHING ENFORCEMENT.

    All amounts made available to the Secretary of Commerce under the 
amendments made by sections 402 and 403 shall be used for fisheries 
enforcement purposes, including to carry out amendments made by the 
Illegal, Unreported, and Unregulated Fishing Enforcement Act of 2015 
(Public Law 114-81; 129 Stat. 649).

SEC. 405. DEPARTMENT OF STATE REWARDS FOR JUSTICE PROGRAM.

    Subparagraph (B) of section 36(k)(5) of the State Department Basic 
Authorities Act of 1956 (22 U.S.C. 2708(k)(5)) is amended by inserting 
``, illegal fishing, unreported fishing, or unregulated fishing (as 
such terms are defined in paragraph 3 of the International Plan of 
Action to Prevent, Deter, and Eliminate Illegal, Unreported, and 
Unregulated Fishing, adopted at the 24th Session of the Committee on 
Fisheries in Rome on March 2, 2001),'' after ``wildlife trafficking (as 
defined by section 7601(12) of title 16)''.
                                 <all>",Wildlife Conservation and Anti-Trafficking Act of 2021,"To support wildlife conservation, improve anti-trafficking enforcement, provide dedicated funding at no expense to taxpayers, and for other purposes.",Wildlife Conservation and Anti-Trafficking Act of 2021,"Rep. Garamendi, John",D,CA
478,11908,H.R.6635,Animals,"Wild Horse and Burro Protection Act of 2022
This bill prohibits the Bureau of Land Management (BLM) from using or contracting for the use of helicopters or fixed-wing aircraft for gathering horses and burros under the Wild Free-roaming Horses and Burros Act. Further, BLM may not make contracts to use helicopters for transporting captured animals under such act.","To amend the Act commonly known as the Wild Free-roaming Horses and 
  Burros Act to prohibit certain uses of aircraft with respect to the 
   management of wild free-roaming horses and burros, and for other 
                               purposes.

    Be it enacted by the Senate and House of Representatives of the 
United States of America in Congress assembled,

SECTION 1. SHORT TITLE.

    This Act may be cited as the ``Wild Horse and Burro Protection Act 
of 2022''.

SEC. 2. FINDINGS.

    Congress finds the following:
            (1) As part of efforts to control equine populations under 
        law, the Bureau of Land Management is directed to humanely 
        capture wild free-roaming horses and burros for adoption.
            (2) The Bureau of Land Management contracts directly with 
        private enterprises, including helicopter companies, to round 
        up equines at rates between $500-$800 per animal.
            (3) The use of helicopters to chase equines over prolonged 
        distances, usually on rough terrain, is particularly dangerous, 
        and can frighten the animals and lead to deadly situations.
            (4) In January 2022, during the horse gathering at the 
        Pancake Complex in central Nevada, a young colt was chased for 
        miles by helicopter, ultimately gravely injuring itself, and 
        necessitating the need for the animal to be shot and killed.
            (5) Since 2011, the Bureau of Land Management's top three 
        helicopter contractors have collected over $36.8 million in 
        taxpayer funding for their services, including over $5.3 
        million since 2021 alone.
            (6) Scientific research shows that more humane and cost-
        effective alternatives exist to control equine populations, 
        including fertility controls.
            (7) Currently, the Bureau of Land Management's Wild Horse 
        and Burro Program spends less than one percent of its budget on 
        implementing fertility controls.
            (8) The elimination of helicopters from the Bureau of Land 
        Management's gatherings would provide a more humane method of 
        capturing equines, and provide significant savings to 
        taxpayers.

SEC. 3. AMENDMENTS TO THE WILD FREE-ROAMING HORSES AND BURROS ACT.

    Section 9 of the Act commonly known as the Wild Free-roaming Horses 
and Burros Act (Public Law 92-195; 16 U.S.C. 1338a) is amended--
            (1) by striking ``In administering this Act'' and inserting 
        ``(a) In General.--In administering this Act'';
            (2) by striking ``helicopters or, for the purpose of 
        transporting captured animals, motor vehicles'' and inserting 
        ``motor vehicles for the purpose of transporting captured 
        animals'';
            (3) by striking ``fixed-wing aircraft, or helicopters, or 
        to'' and inserting ``or''; and
            (4) by adding at the end the following:
    ``(b) Prohibition on Certain Uses of Aircraft.--In administering 
this Act, the Secretary may not use or contract for the use of 
helicopters or fixed-wing aircraft for the purposes of rounding up or 
gathering wild free-roaming horses and burros.''.

SEC. 4. GAO REPORT.

    Not later than 1 year after the date of the enactment of this Act, 
the Comptroller General shall submit, to the Committee on Natural 
Resources of the House of Representatives and the Committee on Energy 
and Natural Resources of the Senate, a report that describes--
            (1) humane alternatives to the use of helicopters and 
        fixed-wing aircraft in managing wild free-roaming horse and 
        burro populations;
            (2) job creation opportunities presented by the use of such 
        humane alternatives; and
            (3) the effects of aircraft, including unmanned aircraft 
        systems, on wild free-roaming horse and burro populations.
                                 <all>",Wild Horse and Burro Protection Act of 2022,"To amend the Act commonly known as the Wild Free-roaming Horses and Burros Act to prohibit certain uses of aircraft with respect to the management of wild free-roaming horses and burros, and for other purposes.",Wild Horse and Burro Protection Act of 2022,"Rep. Titus, Dina",D,NV
586,4328,S.4584,Public Lands and Natural Resources,"Canyon's Law
This bill prohibits the preparing, placing, installing, setting, deploying, or otherwise using an M-44 device on public land. An M-44 device is defined as a device designed to propel sodium cyanide when triggered by an animal, including any device that may be commonly known as an M-44 ejector device or an M-44 predator control device.
No later than 30 days after the enactment of this bill, any federal, state, or county agency that has prepared, placed, installed, set, or deployed an M-44 device on public land shall remove each such device from such land.","To prohibit the use of M-44 devices, commonly known as ``cyanide 
            bombs'', on public land, and for other purposes.

    Be it enacted by the Senate and House of Representatives of the 
United States of America in Congress assembled,

SECTION 1. SHORT TITLE.

    This Act may be cited as ``Canyon's Law''.

SEC. 2. FINDINGS.

    Congress finds the following:
            (1) Sodium cyanide is the highly toxic pesticide active 
        ingredient used in M-44 devices, also known as ``cyanide 
        bombs'', and is used to kill wolves, coyotes, foxes, and wild 
        dogs suspected of preying on livestock and poultry.
            (2) Sodium cyanide is registered for restricted use under 
        the Federal Insecticide, Fungicide, and Rodenticide Act (7 
        U.S.C. 136 et seq.) as a Category One acute toxicant, the most 
        hazardous Environmental Protection Agency classification 
        available, due to the harm it poses to people and the 
        environment.
            (3) Poisoning by sodium cyanide leads to central nervous 
        system depression, cardiac arrest, respiratory failure, 
        paralysis, and blindness.
            (4) The Environmental Protection Agency authorizes the use 
        of M-44 devices nationwide, and in recent years, M-44s were 
        used in Colorado, Idaho, North Dakota, Nebraska, New Mexico, 
        Nevada, Oklahoma, Texas, Utah, Virginia, West Virginia, and 
        Wyoming.
            (5) In 2017, an M-44 device exposed an Idaho child to a 
        sublethal dose of sodium cyanide with subsequent short-term and 
        long-term medical complications. Two Wyoming children were also 
        exposed to the poison from another M-44 device. Three family 
        dogs died in these two separate incidents.
            (6) The indiscriminate M-44 device commonly harms nontarget 
        wildlife and people; at least 42 people have accidentally 
        triggered a cyanide bomb causing exposure to cyanide gas and 
        injuries since 1984.
            (7) M-44 devices kill targeted animals only 53 percent of 
        the time. Thousands of nontarget species of animals have been 
        killed by M-44s, including bald eagles, golden eagles, gray 
        wolves, black bears, grizzly bears, bobcats, fishers, and 
        family dogs.
            (8) Despite the United States Fish and Wildlife Service 
        determining in 1993 that M-44 devices could kill endangered 
        species like the California Condor, the use of the M-44 
        continues in areas where endangered species are found and 
        continues to result in the deaths of endangered species.

SEC. 3. USE OF M-44 DEVICES ON PUBLIC LAND PROHIBITED.

    (a) In General.--Preparing, placing, installing, setting, 
deploying, or otherwise using an M-44 device on public land is 
prohibited.
    (b) Removal.--Not later than 30 days after the date of the 
enactment of this Act, any Federal, State, or county agency that has 
prepared, placed, installed, set, or deployed an M-44 device on public 
land shall remove each such M-44 device from public land.
    (c) Definitions.--In this Act:
            (1) M-44 device.--
                    (A) In general.--The term ``M-44 device'' means a 
                device designed to propel sodium cyanide when triggered 
                by an animal.
                    (B) Common names.--The term ``M-44 device'' 
                includes any device that may be commonly known as an 
                ``M-44 ejector device'' or an ``M-44 predator control 
                device''.
            (2) Public land.--The term ``public land'' means any 
        Federal land under the administrative jurisdiction of a public 
        land management agency.
            (3) Public land management agency.--The term ``public land 
        management agency'' means each of, or a combination of, the 
        following:
                    (A) The National Park Service.
                    (B) The United States Fish and Wildlife Service.
                    (C) The Bureau of Land Management.
                    (D) The Bureau of Reclamation.
                    (E) The Forest Service.
                                 <all>",Canyon’s Law,"A bill to prohibit the use of M-44 devices, commonly known as ""cyanide bombs"", on public land, and for other purposes.",Canyon’s Law,"Sen. Merkley, Jeff",D,OR
617,14603,H.R.5863,Environmental Protection,"End Palm Oil Deforestation Act
This bill modifies requirements for importing palm oil and makes other changes to address deforestation and other potential harms from cultivating and processing palm oil. For example, the bill (1) specifies that palm oil does not qualify for exclusions from importation requirements granted to common cultivars or common food crops, and (2) prohibits imported palm oil products from being treated as renewable fuel for purposes of the Renewable Fuel Program.","To strengthen enforcement actions against unlawfully sourced palm oil 
   and deforestation in developing countries, and for other purposes.

    Be it enacted by the Senate and House of Representatives of the 
United States of America in Congress assembled,

SECTION 1. SHORT TITLE.

    This Act may be cited as the ``End Palm Oil Deforestation Act''.

SEC. 2. DEFINITIONS.

    (a) In General.--In this Act:
            (1) Certifying standard.--The term ``certifying standard'' 
        means any accreditation for lawfully, ethically, and 
        sustainably sourced palm oil offered by a nongovernmental 
        organization.
            (2) Palm oil product.--The term ``palm oil product'' 
        means--
                    (A) any product containing ingredients, including 
                palmolein and monocarboxylic fatty acids, derived from 
                the plants African oil palm (Elaeis guineensis), 
                American oil palm (Elaeis oleifera), babassu palm 
                (Attalea speciosa), macauba palm (Acrocomia aculeata), 
                maripa palm (Attalea maripa), or hybridized species 
                derived therefrom;
                    (B) those food products derived from imported palm 
                oil or any combination or portion thereof; or
                    (C) any other product prepared, in whole or in part 
                from, or processed with, imported palm oil as the 
                Secretary may specify.
            (3) Secretary.--The term ``Secretary'' means the Secretary 
        of Agriculture.
            (4) Taking.--The term ``taking'' has the meaning given the 
        term in section 2 of the Lacey Act Amendments of 1981 (16 
        U.S.C. 3371).
    (b) Palm Oil Not Considered Common Cultivar or Common Food Crop.--
The exclusions specified in section 2(f)(2)(A) of the Lacey Act 
Amendments of 1981 (16 U.S.C. 3371(f)(2)(A)) with respect to common 
cultivars and common food crops shall not apply with respect to palm 
oil.

SEC. 3. SUSTAINABILITY CERTIFICATIONS FOR PALM OIL DEEMED SUFFICIENT AS 
              IMPORT DECLARATIONS AND DUE DILIGENCE.

    (a) In General.--In the case of a palm oil product that meets the 
sustainability certification standards published under this section and 
for which documentation of meeting such standards is presented at the 
port of entry into the United States--
            (1) such product shall not require an import declaration 
        under section 3(f) of the Lacey Act Amendments of 1981 (16 
        U.S.C. 3372(f)); and
            (2) such documentation shall be considered sufficient to 
        demonstrate due care in the taking of such palm oil product 
        under section 4(a) of the Lacey Act Amendments of 1981 (16 
        U.S.C. 3373(a)).
    (b) Certification Standards.--
            (1) In general.--Not later than 90 days after the date of 
        the enactment of this Act, the Secretary shall publish on an 
        internet website of the Department of Agriculture for public 
        comment a preliminary list of nongovernmental certifying 
        standards for sustainable palm oil.
            (2) Considerations.--In publishing the list under paragraph 
        (1), the Secretary shall--
                    (A) when considering whether to include a 
                certifying standard on such list, prioritize certifying 
                standards that promote--
                            (i) palm oil cultivation practices with 
                        decreased net greenhouse gas emissions;
                            (ii) human rights of palm oil agricultural 
                        workers;
                            (iii) human rights of the communities 
                        neighboring palm oil plantations; and
                            (iv) preventing deforestation or peatlands 
                        degradation; and
                    (B) consider including in such list the certifying 
                standard sponsored by the Roundtable for Sustainable 
                Palm Oil.
            (3) Excluded standards.--The Secretary may not include in 
        the list under paragraph (1) any standard issued by a foreign 
        government.
            (4) Finalization.--Not later than 90 days after the date on 
        which the preliminary list of nongovernmental certifying 
        standards for sustainable palm oil under paragraph (1) is 
        published, finalize the preliminary list.
            (5) Updates.--The Secretary shall--
                    (A) review and update, as appropriate, the 
                finalized list under paragraph (4) at least once every 
                5 years; and
                    (B) allow for public notice and a period for public 
                comment with respect to any such updates.
    (c) Temporary Certifications.--In the case of palm oil products for 
which documentation of meeting the sustainability certification 
standards referred to in subsection (a) cannot be provided, the 
Secretary may grant the importers of such products temporary 
certifications that may be presented at the port of entry into the 
United States in lieu of such documentation for a period not to exceed 
one year, subject to renewal (of such duration as the Secretary may 
specify), if the Secretary publishes on a public internet site of the 
Department of Agriculture, and updates as necessary, a list of all such 
temporary certifications, including with respect to each such temporary 
certification--
            (1) a written statement outlining the reason for granting 
        the temporary certification;
            (2) the date on which the temporary certification expires;
            (3) the terms by which the temporary certification may be 
        renewed, if applicable; and
            (4) any supporting documents or information considered by 
        the Secretary in deciding to grant such temporary 
        certification.

SEC. 4. LABELING OF IMPORTED PALM OIL PRODUCTS.

    (a) Food Labeling.--Section 403 of the Federal Food, Drug, and 
Cosmetic Act (21 U.S.C. 343) is amended by adding at the end the 
following:
    ``(z) If it is a food that contains ingredients derived from 
imported palm oil, unless its labeling lists such ingredients by the 
common or usual name of the ingredient, including listing 
(parenthetically or otherwise) of all components of such ingredient.''.
    (b) Country of Origin Labeling.--
            (1) Use in food.--Section 281(1)(A) of the Agricultural 
        Marketing Act of 1946 (7 U.S.C. 1638(1))(A) is amended--
                    (A) in clause (x), by striking ``and'' at the end;
                    (B) in clause (xi), by striking the period at the 
                end and inserting ``; and''; and
                    (C) by adding at the end the following:
                            ``(xii) palm oil.''.
            (2) Other uses.--Each head of a Federal agency which 
        regulates products containing palm oil shall issue 
        regulations--
                    (A) specifying that a person may not sell, or offer 
                for sale in interstate commerce, imported palm oil 
                products, or another product containing imported palm 
                oil products, unless the packaging and labeling of such 
                products that are not, by operation of the amendments 
                made by paragraph (1), subject to section 282 of the 
                Agricultural Marketing Act of 1946 (7 U.S.C. 1638a), 
                specify the country of origin of such products; and
                    (B) providing for an exemption from the requirement 
                specified pursuant to subparagraph (A) with respect to 
                products containing imported palm oil products if the 
                amount of imported palm oil in such product is de 
                minimis (as determined by the head of the Federal 
                agency involved). 

SEC. 5. UNITED STATES POLICY WITH RESPECT TO PALM OIL CULTIVATION 
              ABROAD.

    (a) Moratorium.--No Federal funds may be obligated, expended, or 
otherwise made available for the cultivation or processing of palm oil 
abroad, unless the Secretary of State certifies that--
            (1) the program, project, or activity for which such funds 
        are made available will not--
                    (A) contribute to significant loss of native 
                species;
                    (B) disrupt or contaminate natural water sources;
                    (C) reduce local food security;
                    (D) cause the forced displacement of local people;
                    (E) contribute to deforestation;
                    (F) increase greenhouse gas emissions 
                substantially;
                    (G) contribute to human trafficking, forced labor, 
                or child labor;
                    (H) enable wildlife trafficking; or
                    (I) further bureaucratic corruption; and
            (2) the cultivation or processing is carried out in 
        accordance with the sustainability certification standards 
        specified pursuant to section 3.
    (b) Congressional Instructions to the Executive.--The President 
should instruct the Secretary of the Treasury, acting as the Chairman 
of the National Advisory Council on International Monetary and 
Financial Policies, and the United States Executive Director at each 
international financial institution (as defined in section 1701(c)(2) 
of the International Financial Institutions Act) to use the voice and 
vote of the United States to oppose new proposals for palm oil 
development loans, unless the development of palm oil is to be carried 
out in accordance with the sustainability certification standards 
specified pursuant to section 3.
    (c) Consultation.--The Secretary of Agriculture shall consult and 
collaborate with the Secretary of State and the Administrator of the 
Agency for International Development in carrying out activities under 
this Act relating to palm oil cultivation and development in other 
countries.

SEC. 6. INELIGIBILITY FOR RENEWABLE FUEL STANDARD.

    Except as provided by the Administrator of the Environmental 
Protection Agency, imported palm oil products shall not be treated as 
renewable fuel for purposes of the renewable fuel program under section 
211(o) of the Clean Air Act (42 U.S.C. 7545(o)).

SEC. 7. EFFECT ON OTHER LAW.

    Nothing in this Act modifies, limits, or otherwise affects the 
application of, or obligation to comply with any other Federal law, 
including the Lacey Act Amendments of 1981 (16 U.S.C. 3371 et seq.).
                                 <all>",End Palm Oil Deforestation Act,"To strengthen enforcement actions against unlawfully sourced palm oil and deforestation in developing countries, and for other purposes.",End Palm Oil Deforestation Act,"Rep. Garamendi, John",D,CA
