Entity,Code,Year,Bees | 00001181 || Stocks | 005114 || Number
Albania,ALB,2000,76000
Albania,ALB,2001,82000
Albania,ALB,2002,92000
Albania,ALB,2003,111000
Albania,ALB,2004,131800
Albania,ALB,2005,157000
Albania,ALB,2006,173000
Albania,ALB,2007,171000
Albania,ALB,2008,175000
Albania,ALB,2009,203300
Albania,ALB,2010,218000
Albania,ALB,2011,233000
Albania,ALB,2012,239081
Albania,ALB,2013,246151
Albania,ALB,2014,261452
Albania,ALB,2015,271139
Albania,ALB,2016,302962
Albania,ALB,2017,289962
Albania,ALB,2018,285455
Albania,ALB,2019,288329
Albania,ALB,2020,357984
Albania,ALB,2021,393635
Algeria,DZA,1961,100000
Algeria,DZA,1962,105000
Algeria,DZA,1963,110000
Algeria,DZA,1964,115000
Algeria,DZA,1965,120000
Algeria,DZA,1966,125000
Algeria,DZA,1967,127000
Algeria,DZA,1968,130000
Algeria,DZA,1969,140000
Algeria,DZA,1970,150000
Algeria,DZA,1971,150000
Algeria,DZA,1972,160000
Algeria,DZA,1973,170000
Algeria,DZA,1974,175000
Algeria,DZA,1975,180000
Algeria,DZA,1976,182000
Algeria,DZA,1977,185000
Algeria,DZA,1978,187000
Algeria,DZA,1979,188000
Algeria,DZA,1980,190000
Algeria,DZA,1981,193000
Algeria,DZA,1982,195000
Algeria,DZA,1983,197000
Algeria,DZA,1984,198000
Algeria,DZA,1985,215000
Algeria,DZA,1986,220000
Algeria,DZA,1987,300000
Algeria,DZA,1988,98000
Algeria,DZA,1989,185000
Algeria,DZA,1990,77000
Algeria,DZA,1991,310000
Algeria,DZA,1992,175000
Algeria,DZA,1993,227000
Algeria,DZA,1994,430000
Algeria,DZA,1995,277000
Algeria,DZA,1996,380000
Algeria,DZA,1997,268300
Algeria,DZA,1998,276500
Algeria,DZA,1999,278500
Algeria,DZA,2000,190000
Algeria,DZA,2001,280000
Algeria,DZA,2002,320000
Algeria,DZA,2003,340000
Algeria,DZA,2004,430000
Algeria,DZA,2005,400000
Algeria,DZA,2006,390000
Algeria,DZA,2007,440000
Algeria,DZA,2008,400000
Algeria,DZA,2009,400000
Algeria,DZA,2010,400000
Algeria,DZA,2011,400000
Algeria,DZA,2012,400000
Algeria,DZA,2013,400000
Algeria,DZA,2014,400000
Algeria,DZA,2015,411956
Algeria,DZA,2016,416659
Algeria,DZA,2017,421761
Algeria,DZA,2018,429094
Algeria,DZA,2019,424108
Algeria,DZA,2020,427128
Algeria,DZA,2021,426469
Americas (FAO),,1961,10019254
Americas (FAO),,1962,10038371
Americas (FAO),,1963,9388825
Americas (FAO),,1964,9261154
Americas (FAO),,1965,8221129
Americas (FAO),,1966,8287992
Americas (FAO),,1967,8335563
Americas (FAO),,1968,8366840
Americas (FAO),,1969,8706947
Americas (FAO),,1970,8958470
Americas (FAO),,1971,8380990
Americas (FAO),,1972,8664193
Americas (FAO),,1973,8782846
Americas (FAO),,1974,9051772
Americas (FAO),,1975,9214843
Americas (FAO),,1976,9416066
Americas (FAO),,1977,9567827
Americas (FAO),,1978,9567208
Americas (FAO),,1979,9897600
Americas (FAO),,1980,10029356
Americas (FAO),,1981,10580414
Americas (FAO),,1982,10592211
Americas (FAO),,1983,10943341
Americas (FAO),,1984,11086138
Americas (FAO),,1985,11191497
Americas (FAO),,1986,10136840
Americas (FAO),,1987,9889730
Americas (FAO),,1988,10007266
Americas (FAO),,1989,10166748
Americas (FAO),,1990,9713442
Americas (FAO),,1991,9916445
Americas (FAO),,1992,9856679
Americas (FAO),,1993,9799190
Americas (FAO),,1994,9705044
Americas (FAO),,1995,9545575
Americas (FAO),,1996,9192806
Americas (FAO),,1997,9078162
Americas (FAO),,1998,9525451
Americas (FAO),,1999,10602785
Americas (FAO),,2000,10624638
Americas (FAO),,2001,10568525
Americas (FAO),,2002,10616176
Americas (FAO),,2003,10560752
Americas (FAO),,2004,10571979
Americas (FAO),,2005,10430385
Americas (FAO),,2006,10729008
Americas (FAO),,2007,10544242
Americas (FAO),,2008,10577084
Americas (FAO),,2009,10770890
Americas (FAO),,2010,11019025
Americas (FAO),,2011,10952644
Americas (FAO),,2012,10930786
Americas (FAO),,2013,11124096
Americas (FAO),,2014,11276888
Americas (FAO),,2015,11318945
Americas (FAO),,2016,11250500
Americas (FAO),,2017,11149227
Americas (FAO),,2018,11643529
Americas (FAO),,2019,11647237
Americas (FAO),,2020,11540737
Americas (FAO),,2021,11635818
Angola,AGO,1961,1000000
Angola,AGO,1962,1000000
Angola,AGO,1963,1000000
Angola,AGO,1964,1000000
Angola,AGO,1965,1000000
Angola,AGO,1966,950000
Angola,AGO,1967,900000
Angola,AGO,1968,830000
Angola,AGO,1969,780000
Angola,AGO,1970,820000
Angola,AGO,1971,770000
Angola,AGO,1972,680000
Angola,AGO,1973,750000
Angola,AGO,1974,750000
Angola,AGO,1975,750000
Angola,AGO,1976,750000
Angola,AGO,1977,750000
Angola,AGO,1978,800000
Angola,AGO,1979,800000
Angola,AGO,1980,800000
Angola,AGO,1981,800000
Angola,AGO,1982,850000
Angola,AGO,1983,850000
Angola,AGO,1984,850000
Angola,AGO,1985,900000
Angola,AGO,1986,900000
Angola,AGO,1987,900000
Angola,AGO,1988,950000
Angola,AGO,1989,950000
Angola,AGO,1990,950000
Angola,AGO,1991,1000000
Angola,AGO,1992,1000000
Angola,AGO,1993,1050000
Angola,AGO,1994,1050000
Angola,AGO,1995,1100000
Angola,AGO,1996,1150000
Angola,AGO,1997,1150000
Angola,AGO,1998,1100000
Angola,AGO,1999,1150000
Angola,AGO,2000,1150000
Angola,AGO,2001,1200000
Angola,AGO,2002,1200000
Angola,AGO,2003,1150000
Angola,AGO,2004,1150000
Angola,AGO,2005,1200000
Angola,AGO,2006,1100000
Angola,AGO,2007,1100000
Angola,AGO,2008,1100000
Angola,AGO,2009,1100000
Angola,AGO,2010,1150000
Angola,AGO,2011,1150000
Angola,AGO,2012,1150000
Angola,AGO,2013,1150000
Angola,AGO,2014,1150000
Angola,AGO,2015,1153939
Angola,AGO,2016,1157538
Angola,AGO,2017,1164563
Angola,AGO,2018,1174588
Angola,AGO,2019,1178080
Angola,AGO,2020,1182684
Angola,AGO,2021,1187289
Argentina,ARG,1961,650000
Argentina,ARG,1962,650000
Argentina,ARG,1963,640000
Argentina,ARG,1964,650000
Argentina,ARG,1965,700000
Argentina,ARG,1966,700000
Argentina,ARG,1967,750000
Argentina,ARG,1968,750000
Argentina,ARG,1969,800000
Argentina,ARG,1970,800000
Argentina,ARG,1971,800000
Argentina,ARG,1972,850000
Argentina,ARG,1973,850000
Argentina,ARG,1974,850000
Argentina,ARG,1975,850000
Argentina,ARG,1976,850000
Argentina,ARG,1977,900000
Argentina,ARG,1978,1000000
Argentina,ARG,1979,1100000
Argentina,ARG,1980,1100000
Argentina,ARG,1981,1300000
Argentina,ARG,1982,1200000
Argentina,ARG,1983,1300000
Argentina,ARG,1984,1400000
Argentina,ARG,1985,1500000
Argentina,ARG,1986,1400000
Argentina,ARG,1987,1400000
Argentina,ARG,1988,1400000
Argentina,ARG,1989,1400000
Argentina,ARG,1990,1400000
Argentina,ARG,1991,1500000
Argentina,ARG,1992,1600000
Argentina,ARG,1993,1600000
Argentina,ARG,1994,1700000
Argentina,ARG,1995,1800000
Argentina,ARG,1996,1700000
Argentina,ARG,1997,1800000
Argentina,ARG,1998,2100000
Argentina,ARG,1999,2700000
Argentina,ARG,2000,2800000
Argentina,ARG,2001,2800000
Argentina,ARG,2002,2900000
Argentina,ARG,2003,2900000
Argentina,ARG,2004,2900000
Argentina,ARG,2005,2900000
Argentina,ARG,2006,2950000
Argentina,ARG,2007,2970000
Argentina,ARG,2008,2970000
Argentina,ARG,2009,2970000
Argentina,ARG,2010,2970000
Argentina,ARG,2011,2970000
Argentina,ARG,2012,2970000
Argentina,ARG,2013,3000000
Argentina,ARG,2014,2980000
Argentina,ARG,2015,2955217
Argentina,ARG,2016,2936838
Argentina,ARG,2017,2923459
Argentina,ARG,2018,2965874
Argentina,ARG,2019,2958966
Argentina,ARG,2020,2961821
Argentina,ARG,2021,2964676
Armenia,ARM,1992,131100
Armenia,ARM,1993,80000
Armenia,ARM,1994,87000
Armenia,ARM,1995,93000
Armenia,ARM,1996,90000
Armenia,ARM,1997,73000
Armenia,ARM,1998,60000
Armenia,ARM,1999,45919
Armenia,ARM,2000,49703
Armenia,ARM,2001,50811
Armenia,ARM,2002,52458
Armenia,ARM,2003,52987
Armenia,ARM,2004,77712
Armenia,ARM,2005,94184
Armenia,ARM,2006,113051
Armenia,ARM,2007,154631
Armenia,ARM,2008,169655
Armenia,ARM,2009,183056
Armenia,ARM,2010,196112
Armenia,ARM,2011,203647
Armenia,ARM,2012,209800
Armenia,ARM,2013,222189
Armenia,ARM,2014,241416
Armenia,ARM,2015,235214
Armenia,ARM,2016,245396
Armenia,ARM,2017,237303
Armenia,ARM,2018,236242
Armenia,ARM,2019,237941
Armenia,ARM,2020,228152
Armenia,ARM,2021,228124
Asia (FAO),,1961,10704894
Asia (FAO),,1962,10901851
Asia (FAO),,1963,11040696
Asia (FAO),,1964,11305317
Asia (FAO),,1965,12831637
Asia (FAO),,1966,14118065
Asia (FAO),,1967,14240893
Asia (FAO),,1968,14421992
Asia (FAO),,1969,14737413
Asia (FAO),,1970,15229994
Asia (FAO),,1971,15496242
Asia (FAO),,1972,15548537
Asia (FAO),,1973,15790608
Asia (FAO),,1974,15817587
Asia (FAO),,1975,15968566
Asia (FAO),,1976,15986723
Asia (FAO),,1977,16326440
Asia (FAO),,1978,16423198
Asia (FAO),,1979,16886254
Asia (FAO),,1980,18614608
Asia (FAO),,1981,19465522
Asia (FAO),,1982,20369194
Asia (FAO),,1983,20847872
Asia (FAO),,1984,21240136
Asia (FAO),,1985,21411964
Asia (FAO),,1986,21392778
Asia (FAO),,1987,21575806
Asia (FAO),,1988,23132048
Asia (FAO),,1989,22929232
Asia (FAO),,1990,23130582
Asia (FAO),,1991,23821268
Asia (FAO),,1992,25089994
Asia (FAO),,1993,25184584
Asia (FAO),,1994,25135172
Asia (FAO),,1995,25663970
Asia (FAO),,1996,25779528
Asia (FAO),,1997,26563612
Asia (FAO),,1998,27030316
Asia (FAO),,1999,26193848
Asia (FAO),,2000,26818528
Asia (FAO),,2001,27051228
Asia (FAO),,2002,27688188
Asia (FAO),,2003,28464728
Asia (FAO),,2004,29245256
Asia (FAO),,2005,30019436
Asia (FAO),,2006,30874996
Asia (FAO),,2007,31386690
Asia (FAO),,2008,32723600
Asia (FAO),,2009,34103512
Asia (FAO),,2010,35933820
Asia (FAO),,2011,36564560
Asia (FAO),,2012,37729640
Asia (FAO),,2013,39150980
Asia (FAO),,2014,40515488
Asia (FAO),,2015,41701500
Asia (FAO),,2016,41991208
Asia (FAO),,2017,42174788
Asia (FAO),,2018,43326316
Asia (FAO),,2019,43521484
Asia (FAO),,2020,44087888
Asia (FAO),,2021,45265044
Australia,AUS,1961,323447
Australia,AUS,1962,347092
Australia,AUS,1963,303347
Australia,AUS,1964,339609
Australia,AUS,1965,326000
Australia,AUS,1966,310223
Australia,AUS,1967,318913
Australia,AUS,1968,360238
Australia,AUS,1969,301073
Australia,AUS,1970,367943
Australia,AUS,1971,375570
Australia,AUS,1972,384000
Australia,AUS,1973,395393
Australia,AUS,1974,409238
Australia,AUS,1975,491354
Australia,AUS,1976,497037
Australia,AUS,1977,492942
Australia,AUS,1978,478617
Australia,AUS,1979,501153
Australia,AUS,1980,510812
Australia,AUS,1981,530907
Australia,AUS,1982,551518
Australia,AUS,1983,537000
Australia,AUS,1984,530000
Australia,AUS,1985,553000
Australia,AUS,1986,560000
Australia,AUS,1987,364000
Australia,AUS,1988,366000
Australia,AUS,1989,405000
Australia,AUS,1990,405000
Australia,AUS,1991,384000
Australia,AUS,1992,366000
Australia,AUS,1993,361678
Australia,AUS,1994,465000
Australia,AUS,1995,489000
Australia,AUS,1996,466000
Australia,AUS,1997,486000
Australia,AUS,1998,396000
Australia,AUS,1999,339000
Australia,AUS,2000,428000
Australia,AUS,2001,380000
Australia,AUS,2002,360000
Australia,AUS,2003,360000
Australia,AUS,2004,360000
Australia,AUS,2005,360000
Australia,AUS,2006,365000
Australia,AUS,2007,368000
Australia,AUS,2008,360000
Australia,AUS,2009,340000
Australia,AUS,2010,330000
Australia,AUS,2011,240000
Australia,AUS,2012,230000
Australia,AUS,2013,521081
Australia,AUS,2014,520000
Australia,AUS,2015,440626
Australia,AUS,2016,472141
Australia,AUS,2017,543053
Australia,AUS,2018,668672
Australia,AUS,2019,704197
Australia,AUS,2020,527750
Australia,AUS,2021,559019
Austria,AUT,1961,466619
Austria,AUT,1962,448670
Austria,AUT,1963,437232
Austria,AUT,1964,421750
Austria,AUT,1965,419560
Austria,AUT,1966,430183
Austria,AUT,1967,429457
Austria,AUT,1968,417619
Austria,AUT,1969,428832
Austria,AUT,1970,412038
Austria,AUT,1971,421765
Austria,AUT,1972,406215
Austria,AUT,1973,409923
Austria,AUT,1974,361624
Austria,AUT,1975,375512
Austria,AUT,1976,344883
Austria,AUT,1977,369801
Austria,AUT,1978,396846
Austria,AUT,1979,399357
Austria,AUT,1980,394000
Austria,AUT,1981,397400
Austria,AUT,1982,399700
Austria,AUT,1983,410601
Austria,AUT,1984,446348
Austria,AUT,1985,447242
Austria,AUT,1986,436849
Austria,AUT,1987,421238
Austria,AUT,1988,409800
Austria,AUT,1989,452607
Austria,AUT,1990,457061
Austria,AUT,1991,457061
Austria,AUT,1992,483212
Austria,AUT,1993,430071
Austria,AUT,1994,411082
Austria,AUT,1995,399246
Austria,AUT,1996,393223
Austria,AUT,1997,381567
Austria,AUT,1998,369171
Austria,AUT,1999,343062
Austria,AUT,2000,330672
Austria,AUT,2001,310000
Austria,AUT,2002,345000
Austria,AUT,2003,327346
Austria,AUT,2004,283300
Austria,AUT,2005,327346
Austria,AUT,2006,311000
Austria,AUT,2007,298000
Austria,AUT,2008,300000
Austria,AUT,2009,330000
Austria,AUT,2010,367583
Austria,AUT,2011,368183
Austria,AUT,2012,376485
Austria,AUT,2013,382638
Austria,AUT,2014,376121
Austria,AUT,2015,347100
Austria,AUT,2016,354100
Austria,AUT,2017,353300
Austria,AUT,2018,372900
Austria,AUT,2019,372900
Austria,AUT,2020,426000
Austria,AUT,2021,456000
Azerbaijan,AZE,1992,65000
Azerbaijan,AZE,1993,68000
Azerbaijan,AZE,1994,60000
Azerbaijan,AZE,1995,66000
Azerbaijan,AZE,1996,69000
Azerbaijan,AZE,1997,70000
Azerbaijan,AZE,1998,72000
Azerbaijan,AZE,1999,70000
Azerbaijan,AZE,2000,73000
Azerbaijan,AZE,2001,74000
Azerbaijan,AZE,2002,75000
Azerbaijan,AZE,2003,75053
Azerbaijan,AZE,2004,95715
Azerbaijan,AZE,2005,104955
Azerbaijan,AZE,2006,103520
Azerbaijan,AZE,2007,115618
Azerbaijan,AZE,2008,126362
Azerbaijan,AZE,2009,142528
Azerbaijan,AZE,2010,193225
Azerbaijan,AZE,2011,212651
Azerbaijan,AZE,2012,225355
Azerbaijan,AZE,2013,238358
Azerbaijan,AZE,2014,243046
Azerbaijan,AZE,2015,251233
Azerbaijan,AZE,2016,260094
Azerbaijan,AZE,2017,271682
Azerbaijan,AZE,2018,500980
Azerbaijan,AZE,2019,542817
Azerbaijan,AZE,2020,596652
Azerbaijan,AZE,2021,625300
Belarus,BLR,1992,270000
Belarus,BLR,1993,300000
Belarus,BLR,1994,250000
Belarus,BLR,1995,200000
Belarus,BLR,1996,272000
Belarus,BLR,1997,240000
Belarus,BLR,1998,232000
Belarus,BLR,1999,200000
Belarus,BLR,2000,190000
Belarus,BLR,2001,191700
Belarus,BLR,2002,196100
Belarus,BLR,2003,184600
Belarus,BLR,2004,161700
Belarus,BLR,2005,179500
Belarus,BLR,2006,199700
Belarus,BLR,2007,208200
Belarus,BLR,2008,213200
Belarus,BLR,2009,214500
Belarus,BLR,2010,224800
Belarus,BLR,2011,223000
Belarus,BLR,2012,223000
Belarus,BLR,2013,217000
Belarus,BLR,2014,219000
Belarus,BLR,2015,218000
Belarus,BLR,2016,215000
Belarus,BLR,2017,207000
Belarus,BLR,2018,207000
Belarus,BLR,2019,211000
Belarus,BLR,2020,211100
Belarus,BLR,2021,203405
Belgium,BEL,2000,29000
Belgium,BEL,2001,29000
Belgium,BEL,2002,29000
Belgium,BEL,2003,29000
Belgium,BEL,2004,29000
Belgium,BEL,2005,29000
Belgium,BEL,2006,29000
Belgium,BEL,2007,29500
Belgium,BEL,2008,29500
Belgium,BEL,2009,30000
Belgium,BEL,2010,30000
Belgium,BEL,2011,31000
Belgium,BEL,2012,31500
Belgium,BEL,2013,31500
Belgium,BEL,2014,32000
Belgium,BEL,2015,32329
Belgium,BEL,2016,32877
Belgium,BEL,2017,33314
Belgium-Luxembourg (FAO),,1961,50717
Belgium-Luxembourg (FAO),,1962,47371
Belgium-Luxembourg (FAO),,1963,49140
Belgium-Luxembourg (FAO),,1964,45389
Belgium-Luxembourg (FAO),,1965,47246
Belgium-Luxembourg (FAO),,1966,33488
Belgium-Luxembourg (FAO),,1967,31174
Belgium-Luxembourg (FAO),,1968,30873
Belgium-Luxembourg (FAO),,1969,31422
Belgium-Luxembourg (FAO),,1970,30201
Belgium-Luxembourg (FAO),,1971,30083
Belgium-Luxembourg (FAO),,1972,29881
Belgium-Luxembourg (FAO),,1973,28107
Belgium-Luxembourg (FAO),,1974,26918
Belgium-Luxembourg (FAO),,1975,25782
Belgium-Luxembourg (FAO),,1976,23780
Belgium-Luxembourg (FAO),,1977,23744
Belgium-Luxembourg (FAO),,1978,20115
Belgium-Luxembourg (FAO),,1979,17363
Belgium-Luxembourg (FAO),,1980,18044
Belgium-Luxembourg (FAO),,1981,15566
Belgium-Luxembourg (FAO),,1982,15260
Belgium-Luxembourg (FAO),,1983,24638
Belgium-Luxembourg (FAO),,1984,25000
Belgium-Luxembourg (FAO),,1985,25000
Belgium-Luxembourg (FAO),,1986,25000
Belgium-Luxembourg (FAO),,1987,25000
Belgium-Luxembourg (FAO),,1988,27000
Belgium-Luxembourg (FAO),,1989,28000
Belgium-Luxembourg (FAO),,1990,28000
Belgium-Luxembourg (FAO),,1991,28000
Belgium-Luxembourg (FAO),,1992,28000
Belgium-Luxembourg (FAO),,1993,28000
Belgium-Luxembourg (FAO),,1994,28000
Belgium-Luxembourg (FAO),,1995,28000
Belgium-Luxembourg (FAO),,1996,28000
Belgium-Luxembourg (FAO),,1997,29000
Belgium-Luxembourg (FAO),,1998,29000
Belgium-Luxembourg (FAO),,1999,29000
Belize,BLZ,1961,3176
Belize,BLZ,1962,3100
Belize,BLZ,1963,3176
Belize,BLZ,1964,3801
Belize,BLZ,1965,5603
Belize,BLZ,1966,5478
Belize,BLZ,1967,5414
Belize,BLZ,1968,5016
Belize,BLZ,1969,2979
Belize,BLZ,1970,2087
Belize,BLZ,1971,3219
Belize,BLZ,1972,3542
Belize,BLZ,1973,3748
Belize,BLZ,1974,4219
Belize,BLZ,1975,5836
Belize,BLZ,1976,6705
Belize,BLZ,1977,6627
Belize,BLZ,1978,7499
Belize,BLZ,1979,6700
Belize,BLZ,1980,7400
Belize,BLZ,1981,9560
Belize,BLZ,1982,9900
Belize,BLZ,1983,10000
Belize,BLZ,1984,10000
Belize,BLZ,1985,10000
Belize,BLZ,1986,10000
Belize,BLZ,1987,10000
Belize,BLZ,1988,10000
Belize,BLZ,1989,4000
Belize,BLZ,1990,3200
Belize,BLZ,1991,3000
Belize,BLZ,1992,3000
Belize,BLZ,1993,2800
Belize,BLZ,1994,3200
Belize,BLZ,1995,3900
Belize,BLZ,1996,3700
Belize,BLZ,1997,2500
Belize,BLZ,1998,2000
Belize,BLZ,1999,2000
Belize,BLZ,2000,2000
Belize,BLZ,2001,2000
Belize,BLZ,2002,2050
Belize,BLZ,2003,2075
Belize,BLZ,2004,2100
Belize,BLZ,2005,2100
Belize,BLZ,2006,2125
Belize,BLZ,2007,2150
Belize,BLZ,2008,2100
Belize,BLZ,2009,2200
Belize,BLZ,2010,2175
Belize,BLZ,2011,2200
Belize,BLZ,2012,2175
Belize,BLZ,2013,2175
Belize,BLZ,2014,2100
Belize,BLZ,2015,2009
Belize,BLZ,2016,2095
Belize,BLZ,2017,2117
Belize,BLZ,2018,2038
Belize,BLZ,2019,2051
Belize,BLZ,2020,2043
Belize,BLZ,2021,2034
Bolivia,BOL,1961,53850
Bolivia,BOL,1962,59200
Bolivia,BOL,1963,50500
Bolivia,BOL,1964,56500
Bolivia,BOL,1965,57500
Bolivia,BOL,1966,58750
Bolivia,BOL,1967,40000
Bolivia,BOL,1968,25000
Bolivia,BOL,1969,15000
Bolivia,BOL,1970,6000
Bolivia,BOL,1971,6000
Bolivia,BOL,1972,6000
Bolivia,BOL,1973,0
Bolivia,BOL,1990,0
Bolivia,BOL,1991,0
Bolivia,BOL,1992,0
Bolivia,BOL,1993,0
Bolivia,BOL,1994,0
Bolivia,BOL,1995,0
Bolivia,BOL,1996,0
Bolivia,BOL,1997,0
Bolivia,BOL,1998,0
Bolivia,BOL,1999,0
Bolivia,BOL,2000,0
Bolivia,BOL,2001,0
Bolivia,BOL,2002,0
Bolivia,BOL,2003,0
Bolivia,BOL,2004,0
Bolivia,BOL,2005,0
Bolivia,BOL,2006,0
Bolivia,BOL,2007,0
Bolivia,BOL,2008,0
Bolivia,BOL,2009,0
Bolivia,BOL,2010,0
Bolivia,BOL,2011,0
Bolivia,BOL,2012,0
Bolivia,BOL,2013,0
Bolivia,BOL,2014,0
Bolivia,BOL,2015,0
Bolivia,BOL,2016,0
Bolivia,BOL,2017,0
Bolivia,BOL,2018,0
Bolivia,BOL,2019,0
Bolivia,BOL,2020,0
Bolivia,BOL,2021,0
Bosnia and Herzegovina,BIH,1992,43000
Bosnia and Herzegovina,BIH,1993,44000
Bosnia and Herzegovina,BIH,1994,44000
Bosnia and Herzegovina,BIH,1995,45000
Bosnia and Herzegovina,BIH,1996,48106
Bosnia and Herzegovina,BIH,1997,59967
Bosnia and Herzegovina,BIH,1998,69512
Bosnia and Herzegovina,BIH,1999,72800
Bosnia and Herzegovina,BIH,2000,90000
Bosnia and Herzegovina,BIH,2001,106000
Bosnia and Herzegovina,BIH,2002,125000
Bosnia and Herzegovina,BIH,2003,137000
Bosnia and Herzegovina,BIH,2004,240723
Bosnia and Herzegovina,BIH,2005,259570
Bosnia and Herzegovina,BIH,2006,283227
Bosnia and Herzegovina,BIH,2007,310749
Bosnia and Herzegovina,BIH,2008,333850
Bosnia and Herzegovina,BIH,2009,347168
Bosnia and Herzegovina,BIH,2010,366571
Bosnia and Herzegovina,BIH,2011,381876
Bosnia and Herzegovina,BIH,2012,383946
Bosnia and Herzegovina,BIH,2013,392659
Bosnia and Herzegovina,BIH,2014,392348
Bosnia and Herzegovina,BIH,2015,393188
Bosnia and Herzegovina,BIH,2016,409887
Bosnia and Herzegovina,BIH,2017,404698
Bosnia and Herzegovina,BIH,2018,402630
Bosnia and Herzegovina,BIH,2019,423406
Bosnia and Herzegovina,BIH,2020,446759
Bosnia and Herzegovina,BIH,2021,262945
Brazil,BRA,1961,310000
Brazil,BRA,1962,301600
Brazil,BRA,1963,300000
Brazil,BRA,1964,311400
Brazil,BRA,1965,316200
Brazil,BRA,1966,317000
Brazil,BRA,1967,292000
Brazil,BRA,1968,282000
Brazil,BRA,1969,272000
Brazil,BRA,1970,253000
Brazil,BRA,1971,242376
Brazil,BRA,1972,237000
Brazil,BRA,1973,188000
Brazil,BRA,1974,165000
Brazil,BRA,1975,200000
Brazil,BRA,1976,220000
Brazil,BRA,1977,220000
Brazil,BRA,1978,257000
Brazil,BRA,1979,291000
Brazil,BRA,1980,280000
Brazil,BRA,1981,300000
Brazil,BRA,1982,300000
Brazil,BRA,1983,300000
Brazil,BRA,1984,400000
Brazil,BRA,1985,480000
Brazil,BRA,1986,550000
Brazil,BRA,1987,600000
Brazil,BRA,1988,640000
Brazil,BRA,1989,660000
Brazil,BRA,1990,700000
Brazil,BRA,1991,812000
Brazil,BRA,1992,819000
Brazil,BRA,1993,800000
Brazil,BRA,1994,795000
Brazil,BRA,1995,824000
Brazil,BRA,1996,824000
Brazil,BRA,1997,824000
Brazil,BRA,1998,824000
Brazil,BRA,1999,824000
Brazil,BRA,2000,824000
Brazil,BRA,2001,820000
Brazil,BRA,2002,825000
Brazil,BRA,2003,830000
Brazil,BRA,2004,835000
Brazil,BRA,2005,880000
Brazil,BRA,2006,952000
Brazil,BRA,2007,914000
Brazil,BRA,2008,994000
Brazil,BRA,2009,1025000
Brazil,BRA,2010,1000000
Brazil,BRA,2011,1094000
