Entity,Code,Year,"Meat, rabbit | 00001141 || Producing or slaughtered animals | 005321 || animals"
Africa (FAO),,2015,82568000
Africa (FAO),,2016,78711000
Africa (FAO),,2017,78943000
Africa (FAO),,2018,82980000
Africa (FAO),,2019,83872000
Africa (FAO),,2020,81387000
Africa (FAO),,2021,82083000
Algeria,DZA,1961,3000000
Algeria,DZA,1962,3000000
Algeria,DZA,1963,3000000
Algeria,DZA,1964,3000000
Algeria,DZA,1965,4000000
Algeria,DZA,1966,4000000
Algeria,DZA,1967,4000000
Algeria,DZA,1968,4000000
Algeria,DZA,1969,4000000
Algeria,DZA,1970,4000000
Algeria,DZA,1971,5000000
Algeria,DZA,1972,5000000
Algeria,DZA,1973,5000000
Algeria,DZA,1974,5200000
Algeria,DZA,1975,5500000
Algeria,DZA,1976,5800000
Algeria,DZA,1977,6000000
Algeria,DZA,1978,6100000
Algeria,DZA,1979,6200000
Algeria,DZA,1980,6300000
Algeria,DZA,1981,6400000
Algeria,DZA,1982,6500000
Algeria,DZA,1983,6500000
Algeria,DZA,1984,6500000
Algeria,DZA,1985,6500000
Algeria,DZA,1986,6500000
Algeria,DZA,1987,7000000
Algeria,DZA,1988,7000000
Algeria,DZA,1989,7000000
Algeria,DZA,1990,7000000
Algeria,DZA,1991,7000000
Algeria,DZA,1992,7000000
Algeria,DZA,1993,7000000
Algeria,DZA,1994,7000000
Algeria,DZA,1995,7000000
Algeria,DZA,1996,7000000
Algeria,DZA,1997,7000000
Algeria,DZA,1998,7000000
Algeria,DZA,1999,7000000
Algeria,DZA,2000,7000000
Algeria,DZA,2001,7000000
Algeria,DZA,2002,7000000
Algeria,DZA,2003,7000000
Algeria,DZA,2004,7000000
Algeria,DZA,2005,7000000
Algeria,DZA,2006,7000000
Algeria,DZA,2007,7000000
Algeria,DZA,2008,7000000
Algeria,DZA,2009,7000000
Algeria,DZA,2010,7500000
Algeria,DZA,2011,8000000
Algeria,DZA,2012,8125000
Algeria,DZA,2013,8250000
Algeria,DZA,2014,8250000
Algeria,DZA,2015,8224000
Algeria,DZA,2016,8204000
Algeria,DZA,2017,8185000
Algeria,DZA,2018,8330000
Algeria,DZA,2019,8383000
Algeria,DZA,2020,8428000
Algeria,DZA,2021,8474000
Americas (FAO),,1961,7767000
Americas (FAO),,1962,7829000
Americas (FAO),,1963,7618000
Americas (FAO),,1964,7727000
Americas (FAO),,1965,7786000
Americas (FAO),,1966,8484000
Americas (FAO),,1967,7980000
Americas (FAO),,1968,7880000
Americas (FAO),,1969,8090000
Americas (FAO),,1970,8193000
Americas (FAO),,1971,8317000
Americas (FAO),,1972,8530000
Americas (FAO),,1973,8983000
Americas (FAO),,1974,9164000
Americas (FAO),,1975,11176000
Americas (FAO),,1976,11665000
Americas (FAO),,1977,12647000
Americas (FAO),,1978,13168000
Americas (FAO),,1979,13633000
Americas (FAO),,1980,14137000
Americas (FAO),,1981,14595000
Americas (FAO),,1982,14528000
Americas (FAO),,1983,13824000
Americas (FAO),,1984,13638000
Americas (FAO),,1985,13802000
Americas (FAO),,1986,14027000
Americas (FAO),,1987,13869000
Americas (FAO),,1988,14657000
Americas (FAO),,1989,18982000
Americas (FAO),,1990,18492000
Americas (FAO),,1991,18415000
Americas (FAO),,1992,18582000
Americas (FAO),,1993,18722000
Americas (FAO),,1994,18360000
Americas (FAO),,1995,18237000
Americas (FAO),,1996,17479000
Americas (FAO),,1997,17474000
Americas (FAO),,1998,17602000
Americas (FAO),,1999,17842000
Americas (FAO),,2000,17976000
Americas (FAO),,2001,18017000
Americas (FAO),,2002,14370000
Americas (FAO),,2003,14360000
Americas (FAO),,2004,15922000
Americas (FAO),,2005,17354000
Americas (FAO),,2006,15841000
Americas (FAO),,2007,15019000
Americas (FAO),,2008,14980000
Americas (FAO),,2009,13876000
Americas (FAO),,2010,14672000
Americas (FAO),,2011,14566000
Americas (FAO),,2012,13917000
Americas (FAO),,2013,13767000
Americas (FAO),,2014,13834000
Americas (FAO),,2015,13892000
Americas (FAO),,2016,13067000
Americas (FAO),,2017,12766000
Americas (FAO),,2018,13086000
Americas (FAO),,2019,12907000
Americas (FAO),,2020,12904000
Americas (FAO),,2021,12911000
Argentina,ARG,1961,1500000
Argentina,ARG,1962,1500000
Argentina,ARG,1963,1200000
Argentina,ARG,1964,1200000
Argentina,ARG,1965,1200000
Argentina,ARG,1966,1800000
Argentina,ARG,1967,1200000
Argentina,ARG,1968,1000000
Argentina,ARG,1969,1100000
Argentina,ARG,1970,1100000
Argentina,ARG,1971,1100000
Argentina,ARG,1972,1200000
Argentina,ARG,1973,1400000
Argentina,ARG,1974,1300000
Argentina,ARG,1975,1250000
Argentina,ARG,1976,1400000
Argentina,ARG,1977,1200000
Argentina,ARG,1978,1300000
Argentina,ARG,1979,1400000
Argentina,ARG,1980,1400000
Argentina,ARG,1981,1400000
Argentina,ARG,1982,1460000
Argentina,ARG,1983,1460000
Argentina,ARG,1984,1500000
Argentina,ARG,1985,1500000
Argentina,ARG,1986,1550000
Argentina,ARG,1987,1550000
Argentina,ARG,1988,1600000
Argentina,ARG,1989,6400000
Argentina,ARG,1990,6400000
Argentina,ARG,1991,6400000
Argentina,ARG,1992,6400000
Argentina,ARG,1993,6700000
Argentina,ARG,1994,6400000
Argentina,ARG,1995,6400000
Argentina,ARG,1996,6400000
Argentina,ARG,1997,6400000
Argentina,ARG,1998,6400000
Argentina,ARG,1999,6500000
Argentina,ARG,2000,6500000
Argentina,ARG,2001,6500000
Argentina,ARG,2002,2707000
Argentina,ARG,2003,2463000
Argentina,ARG,2004,3914000
Argentina,ARG,2005,5131000
Argentina,ARG,2006,3647000
Argentina,ARG,2007,2787000
Argentina,ARG,2008,2859000
Argentina,ARG,2009,1684000
Argentina,ARG,2010,2154000
Argentina,ARG,2011,1921000
Argentina,ARG,2012,1388000
Argentina,ARG,2013,1202000
Argentina,ARG,2014,1179000
Argentina,ARG,2015,1225000
Argentina,ARG,2016,832000
Argentina,ARG,2017,583000
Argentina,ARG,2018,881000
Argentina,ARG,2019,717000
Argentina,ARG,2020,727000
Argentina,ARG,2021,775000
Armenia,ARM,1992,0
Armenia,ARM,1993,0
Armenia,ARM,1994,0
Armenia,ARM,1995,0
Armenia,ARM,1996,0
Armenia,ARM,1997,0
Armenia,ARM,1998,0
Armenia,ARM,1999,0
Armenia,ARM,2000,0
Armenia,ARM,2001,0
Armenia,ARM,2002,0
Armenia,ARM,2003,0
Armenia,ARM,2004,0
Armenia,ARM,2005,0
Armenia,ARM,2006,0
Armenia,ARM,2007,0
Armenia,ARM,2008,0
Armenia,ARM,2009,0
Armenia,ARM,2010,0
Armenia,ARM,2011,0
Armenia,ARM,2012,0
Armenia,ARM,2013,0
Armenia,ARM,2014,0
Armenia,ARM,2015,0
Armenia,ARM,2016,0
Armenia,ARM,2017,0
Armenia,ARM,2018,0
Armenia,ARM,2019,0
Armenia,ARM,2020,0
Armenia,ARM,2021,0
Asia,,1961,9500000
Asia,,1962,10300000
Asia,,1963,13000000
Asia,,1964,14500000
Asia,,1965,14400000
Asia,,1966,15300000
Asia,,1967,21500000
Asia,,1968,24700000
Asia,,1969,25170000
Asia,,1970,23700000
Asia,,1971,26600000
Asia,,1972,27260000
Asia,,1973,28620000
Asia,,1974,27280000
Asia,,1975,33220000
Asia,,1976,35240000
Asia,,1977,36555000
Asia,,1978,38966000
Asia,,1979,40965000
Asia,,1980,43274000
Asia,,1981,39488000
Asia,,1982,39350000
Asia,,1983,40255000
Asia,,1984,42045000
Asia,,1985,39825000
Asia,,1986,51545000
Asia,,1987,69255000
Asia,,1988,77995000
Asia,,1989,69805000
Asia,,1990,65005000
Asia,,1991,73025000
Asia,,1992,125518000
Asia,,1993,137621000
Asia,,1994,170951000
Asia,,1995,195586000
Asia,,1996,232476000
Asia,,1997,211260000
Asia,,1998,231860000
Asia,,1999,243166000
Asia,,2000,302435000
Asia,,2001,362273000
Asia,,2002,377955000
Asia,,2003,392284000
Asia,,2004,412974000
Asia,,2005,451818000
Asia,,2006,485024000
Asia,,2007,529514000
Asia,,2008,512517000
Asia,,2009,537988000
Asia,,2010,569696000
Asia,,2011,591909000
Asia,,2012,595198000
Asia,,2013,620402000
Asia,,2014,636029000
Asia,,2015,643672000
Asia,,2016,542869000
Asia,,2017,439614000
Asia,,2018,434642000
Asia,,2019,443556000
Asia,,2020,400899000
Asia,,2021,378044000
Asia (FAO),,1961,9630000
Asia (FAO),,1962,10430000
Asia (FAO),,1963,13130000
Asia (FAO),,1964,14630000
Asia (FAO),,1965,14530000
Asia (FAO),,1966,15435000
Asia (FAO),,1967,21635000
Asia (FAO),,1968,24835000
Asia (FAO),,1969,25305000
Asia (FAO),,1970,23835000
Asia (FAO),,1971,26740000
Asia (FAO),,1972,27400000
Asia (FAO),,1973,28770000
Asia (FAO),,1974,27400000
Asia (FAO),,1975,33390000
Asia (FAO),,1976,35440000
Asia (FAO),,1977,36765000
Asia (FAO),,1978,39206000
Asia (FAO),,1979,41205000
Asia (FAO),,1980,43514000
Asia (FAO),,1981,39768000
Asia (FAO),,1982,39795000
Asia (FAO),,1983,40715000
Asia (FAO),,1984,42520000
Asia (FAO),,1985,40325000
Asia (FAO),,1986,52135000
Asia (FAO),,1987,69885000
Asia (FAO),,1988,78645000
Asia (FAO),,1989,70475000
Asia (FAO),,1990,65675000
Asia (FAO),,1991,73700000
Asia (FAO),,1992,126198000
Asia (FAO),,1993,138321000
Asia (FAO),,1994,171661000
Asia (FAO),,1995,196236000
Asia (FAO),,1996,233106000
Asia (FAO),,1997,211896000
Asia (FAO),,1998,232511000
Asia (FAO),,1999,243806000
Asia (FAO),,2000,303065000
Asia (FAO),,2001,362923000
Asia (FAO),,2002,378580000
Asia (FAO),,2003,392991000
Asia (FAO),,2004,413874000
Asia (FAO),,2005,452387000
Asia (FAO),,2006,485508000
Asia (FAO),,2007,529964000
Asia (FAO),,2008,513073000
Asia (FAO),,2009,538282000
Asia (FAO),,2010,570261000
Asia (FAO),,2011,592488000
Asia (FAO),,2012,595792000
Asia (FAO),,2013,620994000
Asia (FAO),,2014,636439000
Asia (FAO),,2015,644076000
Asia (FAO),,2016,543236000
Asia (FAO),,2017,439958000
Asia (FAO),,2018,434991000
Asia (FAO),,2019,443906000
Asia (FAO),,2020,401248000
Asia (FAO),,2021,378380000
Austria,AUT,1961,438000
Austria,AUT,1962,375000
Austria,AUT,1963,375000
Austria,AUT,1964,375000
Austria,AUT,1965,313000
Austria,AUT,1966,313000
Austria,AUT,1967,313000
Austria,AUT,1968,313000
Austria,AUT,1969,313000
Austria,AUT,1970,313000
Austria,AUT,1971,313000
Austria,AUT,1972,313000
Austria,AUT,1973,313000
Austria,AUT,1974,313000
Austria,AUT,1975,313000
Austria,AUT,1976,250000
Austria,AUT,1977,250000
Austria,AUT,1978,250000
Austria,AUT,1979,297000
Austria,AUT,1980,188000
Austria,AUT,1981,250000
Austria,AUT,1982,250000
Austria,AUT,1983,250000
Austria,AUT,1984,250000
Austria,AUT,1985,250000
Austria,AUT,1986,690000
Austria,AUT,1987,625000
Austria,AUT,1988,581000
Austria,AUT,1989,540000
Austria,AUT,1990,510000
Austria,AUT,1991,526000
Austria,AUT,1992,530000
Austria,AUT,1993,519000
Austria,AUT,1994,505000
Austria,AUT,1995,504000
Austria,AUT,1996,405000
Austria,AUT,1997,405000
Austria,AUT,1998,331000
Austria,AUT,1999,352000
Austria,AUT,2000,360000
Austria,AUT,2001,360000
Austria,AUT,2002,360000
Austria,AUT,2003,350000
Austria,AUT,2004,350000
Austria,AUT,2005,350000
Austria,AUT,2006,350000
Austria,AUT,2007,250000
Austria,AUT,2008,250000
Austria,AUT,2009,200000
Austria,AUT,2010,200000
Austria,AUT,2011,200000
Austria,AUT,2012,200000
Austria,AUT,2013,200000
Austria,AUT,2014,200000
Austria,AUT,2015,125000
Austria,AUT,2016,131000
Austria,AUT,2017,130000
Belarus,BLR,1992,1300000
Belarus,BLR,1993,1033000
Belarus,BLR,1994,1000000
Belarus,BLR,1995,1033000
Belarus,BLR,1996,900000
Belarus,BLR,1997,767000
Belarus,BLR,1998,733000
Belarus,BLR,1999,733000
Belarus,BLR,2000,733000
Belarus,BLR,2001,633000
Belarus,BLR,2002,350000
Belarus,BLR,2003,400000
Belarus,BLR,2004,600000
Belarus,BLR,2005,350000
Belarus,BLR,2006,400000
Belarus,BLR,2007,290000
Belarus,BLR,2008,350000
Belarus,BLR,2009,400000
Belarus,BLR,2010,400000
Belarus,BLR,2011,439000
Belarus,BLR,2012,460000
Belarus,BLR,2013,510000
Belarus,BLR,2014,467000
Belarus,BLR,2015,411000
Belarus,BLR,2016,537000
Belarus,BLR,2017,534000
Belarus,BLR,2018,487000
Belarus,BLR,2019,450000
Belarus,BLR,2020,490000
Belarus,BLR,2021,475000
Bolivia,BOL,1961,120000
Bolivia,BOL,1962,120000
Bolivia,BOL,1963,121000
Bolivia,BOL,1964,122000
Bolivia,BOL,1965,123000
Bolivia,BOL,1966,124000
Bolivia,BOL,1967,124000
Bolivia,BOL,1968,125000
Bolivia,BOL,1969,125000
Bolivia,BOL,1970,126000
Bolivia,BOL,1971,126000
Bolivia,BOL,1972,127000
Bolivia,BOL,1973,127000
Bolivia,BOL,1974,128000
Bolivia,BOL,1975,128000
Bolivia,BOL,1976,129000
Bolivia,BOL,1977,129000
Bolivia,BOL,1978,130000
Bolivia,BOL,1979,130000
Bolivia,BOL,1980,132000
Bolivia,BOL,1981,132000
Bolivia,BOL,1982,134000
Bolivia,BOL,1983,135000
Bolivia,BOL,1984,135000
Bolivia,BOL,1985,135000
Bolivia,BOL,1986,135000
Bolivia,BOL,1987,135000
Bolivia,BOL,1988,135000
Bolivia,BOL,1989,135000
Bolivia,BOL,1990,140000
Bolivia,BOL,1991,140000
Bolivia,BOL,1992,150000
Bolivia,BOL,1993,150000
Bolivia,BOL,1994,150000
Bolivia,BOL,1995,150000
Bolivia,BOL,1996,150000
Bolivia,BOL,1997,150000
Bolivia,BOL,1998,150000
Bolivia,BOL,1999,150000
Bolivia,BOL,2000,150000
Bolivia,BOL,2001,150000
Bolivia,BOL,2002,150000
Bolivia,BOL,2003,155000
Bolivia,BOL,2004,155000
Bolivia,BOL,2005,155000
Bolivia,BOL,2006,155000
Bolivia,BOL,2007,155000
Bolivia,BOL,2008,155000
Bolivia,BOL,2009,155000
Bolivia,BOL,2010,255000
Bolivia,BOL,2011,260000
Bolivia,BOL,2012,265000
Bolivia,BOL,2013,269000
Bolivia,BOL,2014,274000
Bolivia,BOL,2015,282000
Bolivia,BOL,2016,275000
Bolivia,BOL,2017,280000
Bolivia,BOL,2018,275000
Bolivia,BOL,2019,279000
Bolivia,BOL,2020,280000
Bolivia,BOL,2021,280000
Bosnia and Herzegovina,BIH,2017,0
Bosnia and Herzegovina,BIH,2018,0
Bosnia and Herzegovina,BIH,2019,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2021,0
Botswana,BWA,1961,360000
Botswana,BWA,1962,360000
Botswana,BWA,1963,360000
Botswana,BWA,1964,360000
Botswana,BWA,1965,360000
Botswana,BWA,1966,360000
Botswana,BWA,1967,360000
Botswana,BWA,1968,380000
Botswana,BWA,1969,380000
Botswana,BWA,1970,380000
Botswana,BWA,1971,400000
Botswana,BWA,1972,400000
Botswana,BWA,1973,400000
Botswana,BWA,1974,420000
Botswana,BWA,1975,420000
Botswana,BWA,1976,420000
Botswana,BWA,1977,450000
Botswana,BWA,1978,450000
Botswana,BWA,1979,450000
Botswana,BWA,1980,472000
Botswana,BWA,1981,472000
Botswana,BWA,1982,500000
Botswana,BWA,1983,500000
Botswana,BWA,1984,500000
Botswana,BWA,1985,500000
Botswana,BWA,1986,500000
Botswana,BWA,1987,500000
Botswana,BWA,1988,500000
Botswana,BWA,1989,500000
Botswana,BWA,1990,500000
Botswana,BWA,1991,500000
Botswana,BWA,1992,500000
Botswana,BWA,1993,500000
Botswana,BWA,1994,500000
Botswana,BWA,1995,500000
Botswana,BWA,1996,500000
Botswana,BWA,1997,500000
Botswana,BWA,1998,500000
Botswana,BWA,1999,500000
Botswana,BWA,2000,500000
Botswana,BWA,2001,500000
Botswana,BWA,2002,500000
Botswana,BWA,2003,500000
Botswana,BWA,2004,500000
Botswana,BWA,2005,500000
Botswana,BWA,2006,500000
Botswana,BWA,2007,500000
Botswana,BWA,2008,550000
Botswana,BWA,2009,550000
Botswana,BWA,2010,550000
Botswana,BWA,2011,550000
Botswana,BWA,2012,557000
Botswana,BWA,2013,578000
Botswana,BWA,2014,575000
Botswana,BWA,2015,578000
Botswana,BWA,2016,577000
Botswana,BWA,2017,579000
Botswana,BWA,2018,581000
Botswana,BWA,2019,582000
Botswana,BWA,2020,583000
Botswana,BWA,2021,583000
Brazil,BRA,1961,3300000
Brazil,BRA,1962,3310000
Brazil,BRA,1963,3330000
Brazil,BRA,1964,3350000
Brazil,BRA,1965,3360000
Brazil,BRA,1966,3380000
Brazil,BRA,1967,3390000
Brazil,BRA,1968,3410000
Brazil,BRA,1969,3420000
Brazil,BRA,1970,3450000
Brazil,BRA,1971,3470000
Brazil,BRA,1972,3480000
Brazil,BRA,1973,3490000
Brazil,BRA,1974,3510000
Brazil,BRA,1975,3530000
Brazil,BRA,1976,3540000
Brazil,BRA,1977,3540000
Brazil,BRA,1978,3555000
Brazil,BRA,1979,3475000
Brazil,BRA,1980,3600000
Brazil,BRA,1981,3660000
Brazil,BRA,1982,3300000
Brazil,BRA,1983,3300000
Brazil,BRA,1984,3100000
Brazil,BRA,1985,3200000
Brazil,BRA,1986,3300000
Brazil,BRA,1987,3200000
Brazil,BRA,1988,4000000
Brazil,BRA,1989,3600000
Brazil,BRA,1990,3000000
Brazil,BRA,1991,2700000
Brazil,BRA,1992,2400000
Brazil,BRA,1993,2200000
Brazil,BRA,1994,2100000
Brazil,BRA,1995,2100000
Brazil,BRA,1996,1300000
Brazil,BRA,1997,1320000
Brazil,BRA,1998,1380000
Brazil,BRA,1999,1400000
Brazil,BRA,2000,1400000
Brazil,BRA,2001,1300000
Brazil,BRA,2002,1400000
Brazil,BRA,2003,1350000
Brazil,BRA,2004,1350000
Brazil,BRA,2005,1350000
Brazil,BRA,2006,1360000
Brazil,BRA,2007,1360000
Brazil,BRA,2008,1250000
Brazil,BRA,2009,1100000
Brazil,BRA,2010,1050000
Brazil,BRA,2011,1090000
Brazil,BRA,2012,1000000
Brazil,BRA,2013,1000000
Brazil,BRA,2014,1042000
Brazil,BRA,2015,1036000
Brazil,BRA,2016,1010000
Brazil,BRA,2017,1010000
Brazil,BRA,2018,983000
Brazil,BRA,2019,943000
Brazil,BRA,2020,898000
Brazil,BRA,2021,852000
Bulgaria,BGR,1961,3800000
Bulgaria,BGR,1962,2100000
Bulgaria,BGR,1963,1200000
Bulgaria,BGR,1964,1000000
Bulgaria,BGR,1965,900000
Bulgaria,BGR,1966,1100000
Bulgaria,BGR,1967,800000
Bulgaria,BGR,1968,1300000
Bulgaria,BGR,1969,450000
Bulgaria,BGR,1970,500000
Bulgaria,BGR,1971,1400000
Bulgaria,BGR,1972,1600000
Bulgaria,BGR,1973,1400000
Bulgaria,BGR,1974,1300000
Bulgaria,BGR,1975,1500000
Bulgaria,BGR,1976,1700000
Bulgaria,BGR,1977,1800000
Bulgaria,BGR,1978,3100000
Bulgaria,BGR,1979,3400000
Bulgaria,BGR,1980,2800000
Bulgaria,BGR,1981,2100000
Bulgaria,BGR,1982,1600000
Bulgaria,BGR,1983,1500000
Bulgaria,BGR,1984,1413000
Bulgaria,BGR,1985,1219000
Bulgaria,BGR,1986,1109000
Bulgaria,BGR,1987,1179000
Bulgaria,BGR,1988,1271000
Bulgaria,BGR,1989,1384000
Bulgaria,BGR,1990,1454000
Bulgaria,BGR,1991,1810000
Bulgaria,BGR,1992,2377000
Bulgaria,BGR,1993,2700000
Bulgaria,BGR,1994,2700000
Bulgaria,BGR,1995,3000000
Bulgaria,BGR,1996,3900000
Bulgaria,BGR,1997,4621000
Bulgaria,BGR,1998,3347000
Bulgaria,BGR,1999,3717000
Bulgaria,BGR,2000,4000000
Bulgaria,BGR,2001,3000000
Bulgaria,BGR,2002,3000000
Bulgaria,BGR,2003,2500000
Bulgaria,BGR,2004,3500000
Bulgaria,BGR,2005,3500000
Bulgaria,BGR,2006,4000000
Bulgaria,BGR,2007,3600000
Bulgaria,BGR,2008,3500000
Bulgaria,BGR,2009,3700000
Bulgaria,BGR,2010,4000000
Bulgaria,BGR,2011,3563000
Bulgaria,BGR,2012,2437000
Bulgaria,BGR,2013,2505000
Bulgaria,BGR,2014,2834000
Bulgaria,BGR,2015,2657000
Bulgaria,BGR,2016,2975000
Bulgaria,BGR,2017,2805000
Burundi,BDI,1961,0
Burundi,BDI,1962,0
Burundi,BDI,1963,0
Burundi,BDI,1964,0
Burundi,BDI,1965,0
Burundi,BDI,1966,0
Burundi,BDI,1967,0
Burundi,BDI,1968,0
Burundi,BDI,1969,0
Burundi,BDI,1970,0
Burundi,BDI,1971,0
Burundi,BDI,1972,0
Burundi,BDI,1973,0
Burundi,BDI,1974,0
Burundi,BDI,1975,0
Burundi,BDI,1976,0
Burundi,BDI,1977,0
Burundi,BDI,1978,0
Burundi,BDI,1979,0
Burundi,BDI,1980,0
Burundi,BDI,1981,0
Burundi,BDI,1982,0
Burundi,BDI,1983,0
Burundi,BDI,1984,0
Burundi,BDI,1985,0
Burundi,BDI,1986,0
Burundi,BDI,1987,0
Burundi,BDI,1988,0
Burundi,BDI,1989,300000
Burundi,BDI,1990,363000
Burundi,BDI,1991,452000
Burundi,BDI,1992,462000
Burundi,BDI,1993,495000
Burundi,BDI,1994,330000
Burundi,BDI,1995,495000
Burundi,BDI,1996,530000
Burundi,BDI,1997,560000
Burundi,BDI,1998,575000
Burundi,BDI,1999,493000
Burundi,BDI,2000,307000
Burundi,BDI,2001,950000
Burundi,BDI,2002,1020000
Burundi,BDI,2003,720000
Burundi,BDI,2004,880000
Burundi,BDI,2005,1040000
Burundi,BDI,2006,450000
Burundi,BDI,2007,1040000
Burundi,BDI,2008,1290000
Burundi,BDI,2009,1280000
Burundi,BDI,2010,1350000
Burundi,BDI,2011,1730000
Burundi,BDI,2012,1720000
Burundi,BDI,2013,661000
Burundi,BDI,2014,551000
Burundi,BDI,2015,497000
Burundi,BDI,2016,570000
Burundi,BDI,2017,540000
Burundi,BDI,2018,549000
Burundi,BDI,2019,553000
Burundi,BDI,2020,548000
Burundi,BDI,2021,550000
Cameroon,CMR,1978,4000
Cameroon,CMR,1979,6000
Cameroon,CMR,1980,10000
Cameroon,CMR,1981,16000
Cameroon,CMR,1982,30000
Cameroon,CMR,1983,44000
Cameroon,CMR,1984,48000
Cameroon,CMR,1985,50000
Cameroon,CMR,1986,54000
Cameroon,CMR,1987,68000
Cameroon,CMR,1988,74000
Cameroon,CMR,1989,74000
Cameroon,CMR,1990,76000
Cameroon,CMR,1991,78000
Cameroon,CMR,1992,84000
Cameroon,CMR,1993,88000
Cameroon,CMR,1994,88000
Cameroon,CMR,1995,90000
Cameroon,CMR,1996,91000
Cameroon,CMR,1997,92000
Cameroon,CMR,1998,92000
Cameroon,CMR,1999,94000
Cameroon,CMR,2000,94000
Cameroon,CMR,2001,96000
Cameroon,CMR,2002,96000
Cameroon,CMR,2003,96000
Cameroon,CMR,2004,96000
Cameroon,CMR,2005,96000
Cameroon,CMR,2006,96000
Cameroon,CMR,2007,96000
Cameroon,CMR,2008,96000
Cameroon,CMR,2009,96000
Cameroon,CMR,2010,96000
Cameroon,CMR,2011,96000
Cameroon,CMR,2012,96000
Cameroon,CMR,2013,96000
Cameroon,CMR,2014,96000
Cameroon,CMR,2015,96000
Cameroon,CMR,2016,96000
Cameroon,CMR,2017,96000
Cameroon,CMR,2018,96000
Cameroon,CMR,2019,96000
Cameroon,CMR,2020,96000
Cameroon,CMR,2021,96000
Caribbean (FAO),,1961,47000
Caribbean (FAO),,1962,47000
Caribbean (FAO),,1963,47000
Caribbean (FAO),,1964,47000
Caribbean (FAO),,1965,33000
Caribbean (FAO),,1966,27000
Caribbean (FAO),,1967,17000
Caribbean (FAO),,1968,13000
Caribbean (FAO),,1969,10000
Caribbean (FAO),,1970,7000
Caribbean (FAO),,1971,3000
Caribbean (FAO),,1972,2000
Caribbean (FAO),,1973,2000
Caribbean (FAO),,1974,6000
Caribbean (FAO),,1975,12000
Caribbean (FAO),,1976,20000
Caribbean (FAO),,1977,20000
