Species_Name,Region,Breeding_Season,Fishing_Method,Fish_Population,Average_Size(cm),Overfishing_Risk,Water_Temperature(C),Water_Pollution_Level
Salmon,Indian Ocean,Monsoon,Line,9684,34.39,Yes,26.39,Medium
Herring,Mediterranean Sea,Winter,Trawl,8208,21.99,No,25.86,Medium
Snapper,Mediterranean Sea,Summer,Net,6276,16.86,No,24.56,Medium
Herring,Pacific Ocean,Summer,Trawl,3062,94.65,Yes,29.71,Low
Shark,North Atlantic,Winter,Line,1064,47.5,Yes,28.55,High
Sardine,Mediterranean Sea,Monsoon,Line,9006,62.3,Yes,24.7,High
Shark,Pacific Ocean,Summer,Trawl,3568,92.73,No,25.4,Low
Mackerel,Indian Ocean,Summer,Net,6463,17.45,No,15.77,High
Cod,Mediterranean Sea,Summer,Net,3027,88.9,No,25.05,High
Mackerel,Indian Ocean,Winter,Net,3695,59.64,No,15.66,Low
Herring,Pacific Ocean,Monsoon,Line,6258,24.84,Yes,23.82,High
Cod,Pacific Ocean,Monsoon,Net,6618,47.01,No,29.99,Medium
Sardine,Pacific Ocean,Monsoon,Net,7736,79.98,No,23.34,Low
Sardine,Pacific Ocean,Monsoon,Trawl,1391,53.23,No,22.1,Low
Snapper,Pacific Ocean,Monsoon,Trawl,6892,98.68,No,19.69,Medium
Herring,North Atlantic,Winter,Trawl,4561,43.91,No,16.81,Medium
Mackerel,Indian Ocean,Winter,Trawl,7184,77.46,Yes,25.97,Medium
Shark,North Atlantic,Monsoon,Line,4099,45.37,Yes,17.89,Medium
Salmon,Indian Ocean,Monsoon,Net,7278,84.62,No,16.73,Low
Tuna,Mediterranean Sea,Winter,Line,9392,61.22,No,21.33,Low
Salmon,Mediterranean Sea,Winter,Net,4104,15.72,Yes,26.93,Low
Mackerel,Indian Ocean,Monsoon,Line,8215,13.31,No,26.18,Medium
Mackerel,Mediterranean Sea,Monsoon,Net,3454,22.05,No,15.82,Medium
Sardine,Mediterranean Sea,Winter,Net,9996,11.23,Yes,21.83,Medium
Salmon,Mediterranean Sea,Summer,Net,3731,16.78,No,22.84,Medium
Sardine,North Atlantic,Monsoon,Line,9154,72.25,No,24.67,Medium
Sardine,North Atlantic,Summer,Trawl,6056,58.09,No,24.75,Low
Shark,Pacific Ocean,Monsoon,Trawl,9110,77.49,No,20.47,Medium
Cod,Indian Ocean,Monsoon,Line,4840,92.18,No,23.41,Medium
Tuna,Mediterranean Sea,Monsoon,Net,2028,62.66,No,22.22,Low
Salmon,Indian Ocean,Monsoon,Net,8385,75.35,Yes,28.27,High
Cod,Pacific Ocean,Summer,Line,1502,78.14,No,22.95,High
Snapper,Pacific Ocean,Winter,Trawl,7910,44.01,No,21.62,Medium
Salmon,Mediterranean Sea,Winter,Trawl,7938,31.7,No,21.07,High
Cod,Pacific Ocean,Summer,Net,5488,28.45,Yes,23.59,High
Sardine,Mediterranean Sea,Winter,Trawl,1206,32.63,No,27.06,Low
Mackerel,Pacific Ocean,Winter,Trawl,6134,34.73,Yes,23.08,Medium
Shark,Pacific Ocean,Winter,Trawl,6977,28.65,No,24.92,Low
Tuna,Mediterranean Sea,Winter,Net,8721,89.04,Yes,26.07,Low
Cod,Pacific Ocean,Winter,Trawl,8035,78.13,No,22.8,Medium
Mackerel,Pacific Ocean,Monsoon,Net,2484,14.22,No,21.4,Low
Salmon,Pacific Ocean,Summer,Line,8858,34.18,No,28.15,Medium
Cod,Indian Ocean,Winter,Line,1863,12.0,No,21.26,Medium
Herring,North Atlantic,Winter,Net,3790,54.83,Yes,21.93,High
Mackerel,Indian Ocean,Winter,Trawl,8408,52.86,Yes,29.86,Medium
Snapper,Pacific Ocean,Monsoon,Line,9755,84.82,No,15.0,Medium
Mackerel,North Atlantic,Winter,Net,6116,37.7,No,17.78,Medium
Tuna,Indian Ocean,Winter,Trawl,7019,83.47,Yes,20.76,Medium
Snapper,Indian Ocean,Summer,Line,2757,97.12,Yes,28.99,Medium
Shark,Indian Ocean,Monsoon,Net,8574,17.96,Yes,16.05,High
Tuna,Mediterranean Sea,Winter,Trawl,7374,81.26,Yes,15.14,High
Salmon,Pacific Ocean,Summer,Trawl,7892,63.1,Yes,15.79,Low
Snapper,Pacific Ocean,Summer,Net,2678,53.2,Yes,16.33,Medium
Cod,North Atlantic,Summer,Trawl,4242,47.85,Yes,15.56,Medium
Herring,Indian Ocean,Summer,Line,5636,80.62,Yes,22.2,High
Tuna,Pacific Ocean,Winter,Net,2059,67.54,Yes,23.71,High
Herring,Indian Ocean,Summer,Trawl,7668,82.45,No,19.08,Low
Salmon,Pacific Ocean,Monsoon,Trawl,4157,91.28,No,20.97,Medium
Salmon,Indian Ocean,Monsoon,Trawl,6915,65.55,No,16.38,Medium
Shark,Pacific Ocean,Winter,Trawl,3693,98.24,Yes,20.05,Low
Salmon,North Atlantic,Summer,Trawl,4627,64.73,Yes,22.84,Medium
Mackerel,Indian Ocean,Monsoon,Net,6450,67.3,Yes,25.98,Medium
Mackerel,Pacific Ocean,Summer,Line,2663,59.93,Yes,15.05,Medium
Shark,North Atlantic,Monsoon,Line,6592,18.19,No,22.01,High
Mackerel,North Atlantic,Monsoon,Net,8392,75.38,No,19.46,High
Cod,Pacific Ocean,Monsoon,Trawl,2306,59.27,No,27.79,High
Sardine,Indian Ocean,Winter,Line,7776,50.58,Yes,25.73,Medium
Herring,Mediterranean Sea,Monsoon,Line,6864,91.94,No,23.84,High
Herring,North Atlantic,Summer,Line,8526,36.82,No,19.16,Low
Cod,North Atlantic,Winter,Trawl,9901,57.12,No,28.66,Medium
Sardine,Pacific Ocean,Winter,Net,6575,72.79,Yes,15.68,Medium
Snapper,Mediterranean Sea,Monsoon,Line,6530,81.68,Yes,16.64,Medium
Shark,Mediterranean Sea,Winter,Net,5413,51.34,Yes,20.87,Medium
Shark,Mediterranean Sea,Monsoon,Line,4748,85.79,Yes,16.87,Medium
Salmon,Pacific Ocean,Summer,Net,1663,79.2,Yes,29.35,Low
Herring,Indian Ocean,Winter,Trawl,2998,15.96,No,26.97,High
Herring,North Atlantic,Monsoon,Trawl,8994,14.13,Yes,18.88,Low
Salmon,Pacific Ocean,Winter,Trawl,2495,65.87,Yes,23.83,High
Snapper,Mediterranean Sea,Winter,Net,4304,41.27,No,29.73,High
Tuna,North Atlantic,Summer,Trawl,4763,28.82,No,28.26,Low
Herring,North Atlantic,Monsoon,Trawl,6232,62.17,Yes,24.01,High
Herring,Mediterranean Sea,Monsoon,Line,2853,40.74,No,28.56,High
Tuna,Mediterranean Sea,Summer,Net,7585,58.35,Yes,29.84,Low
Salmon,North Atlantic,Summer,Net,2291,51.41,Yes,26.15,High
Tuna,North Atlantic,Monsoon,Line,4581,62.63,No,15.97,Medium
Herring,Indian Ocean,Winter,Trawl,8554,46.03,Yes,21.02,High
Salmon,Indian Ocean,Summer,Line,8280,72.79,No,27.57,Low
Tuna,Pacific Ocean,Summer,Trawl,2636,26.21,No,18.46,Medium
Snapper,North Atlantic,Winter,Net,4696,72.69,No,27.46,Medium
Salmon,Indian Ocean,Monsoon,Trawl,1698,47.05,No,16.81,High
Herring,North Atlantic,Winter,Line,5737,88.69,Yes,15.7,Low
Cod,Mediterranean Sea,Summer,Trawl,1854,56.37,No,20.76,Medium
Shark,Indian Ocean,Winter,Line,9164,97.58,No,15.55,High
Herring,Mediterranean Sea,Monsoon,Trawl,6855,64.17,Yes,29.36,Medium
Mackerel,Mediterranean Sea,Summer,Net,8392,30.15,Yes,27.39,Low
Shark,Mediterranean Sea,Winter,Net,7528,83.96,No,27.01,High
Herring,Pacific Ocean,Monsoon,Net,6249,41.06,Yes,24.45,Medium
Shark,Mediterranean Sea,Monsoon,Trawl,6172,41.29,No,18.24,Low
Sardine,Pacific Ocean,Monsoon,Line,2707,12.86,No,22.77,Medium
Herring,North Atlantic,Monsoon,Net,6791,59.38,Yes,23.96,High
Salmon,North Atlantic,Monsoon,Line,6535,58.1,Yes,22.88,Low
Salmon,Indian Ocean,Monsoon,Net,5931,42.04,No,18.9,High
Sardine,Indian Ocean,Summer,Net,4510,90.48,No,22.73,Medium
Snapper,Pacific Ocean,Monsoon,Net,1202,21.59,Yes,22.37,Medium
Sardine,North Atlantic,Monsoon,Net,5218,39.71,Yes,29.95,Low
Sardine,Indian Ocean,Monsoon,Line,9958,38.94,No,28.46,Medium
Shark,Indian Ocean,Winter,Line,5389,18.31,No,21.95,High
Tuna,Indian Ocean,Summer,Trawl,3327,53.3,No,24.34,Medium
Salmon,North Atlantic,Summer,Line,9004,71.9,Yes,26.22,High
Tuna,Indian Ocean,Winter,Trawl,3931,56.05,No,15.52,Medium
Sardine,North Atlantic,Monsoon,Line,8777,24.13,Yes,28.42,High
Snapper,Mediterranean Sea,Winter,Line,1197,43.96,Yes,27.9,High
Salmon,Mediterranean Sea,Winter,Net,8125,10.23,Yes,21.86,High
Herring,Mediterranean Sea,Winter,Trawl,2930,88.15,No,20.87,Medium
Herring,Pacific Ocean,Summer,Net,7287,17.61,No,19.09,High
Herring,North Atlantic,Summer,Line,9800,63.76,Yes,22.15,Low
Shark,Indian Ocean,Summer,Line,5282,98.76,Yes,15.67,Medium
Mackerel,Pacific Ocean,Monsoon,Net,3511,58.29,No,27.78,High
Sardine,Pacific Ocean,Monsoon,Trawl,1659,93.16,No,15.53,High
Mackerel,Mediterranean Sea,Winter,Line,3811,31.25,Yes,19.94,High
Cod,North Atlantic,Summer,Line,8098,78.4,No,28.97,High
Shark,Indian Ocean,Summer,Net,7546,57.81,No,26.03,Low
Herring,Pacific Ocean,Monsoon,Line,2986,74.85,No,19.22,Low
Salmon,Indian Ocean,Monsoon,Line,9338,15.61,No,18.79,Low
Shark,Mediterranean Sea,Summer,Line,3911,23.3,Yes,15.08,High
Salmon,North Atlantic,Summer,Trawl,2734,21.98,No,25.44,High
Tuna,Indian Ocean,Monsoon,Line,2843,71.84,No,15.73,Medium
Tuna,Indian Ocean,Monsoon,Line,9680,86.0,Yes,22.99,Low
Salmon,Pacific Ocean,Summer,Line,3976,77.47,Yes,29.43,High
Herring,Indian Ocean,Winter,Net,2959,12.74,Yes,16.64,High
Mackerel,North Atlantic,Winter,Line,6759,88.05,No,28.42,Low
Sardine,North Atlantic,Winter,Trawl,7694,41.87,No,29.87,High
Shark,Indian Ocean,Winter,Line,3385,45.74,Yes,15.92,High
Shark,Pacific Ocean,Summer,Line,5736,19.44,No,28.24,High
Herring,Pacific Ocean,Winter,Trawl,2802,76.37,No,22.74,High
Sardine,Mediterranean Sea,Winter,Line,9155,26.41,Yes,28.6,Medium
Tuna,North Atlantic,Monsoon,Net,9120,60.76,No,23.57,Medium
Mackerel,Mediterranean Sea,Winter,Trawl,7616,85.66,No,24.93,Medium
Sardine,Pacific Ocean,Monsoon,Line,6534,18.03,Yes,23.16,Low
Tuna,Mediterranean Sea,Monsoon,Net,5061,58.18,Yes,27.97,Low
Sardine,Pacific Ocean,Summer,Line,1262,30.99,Yes,26.01,Low
Cod,Mediterranean Sea,Summer,Trawl,7287,40.86,No,22.82,Medium
Shark,Mediterranean Sea,Summer,Net,9815,52.66,Yes,28.02,Low
Cod,North Atlantic,Summer,Trawl,3049,41.96,No,18.68,High
Sardine,North Atlantic,Monsoon,Line,6423,68.39,No,17.36,High
Shark,Mediterranean Sea,Summer,Line,5548,53.16,No,17.41,High
Mackerel,Pacific Ocean,Monsoon,Net,4108,62.58,No,20.01,High
Herring,Pacific Ocean,Summer,Net,8158,76.31,Yes,18.58,High
Cod,North Atlantic,Winter,Line,8400,60.2,Yes,28.95,High
Herring,North Atlantic,Winter,Trawl,4170,62.79,Yes,16.59,High
Tuna,Indian Ocean,Monsoon,Line,3255,60.8,No,25.48,Low
Tuna,North Atlantic,Winter,Line,2154,44.09,No,17.84,Medium
Snapper,Pacific Ocean,Winter,Line,5499,40.37,Yes,28.22,Medium
Tuna,North Atlantic,Monsoon,Trawl,7295,90.97,Yes,29.42,Medium
Tuna,Indian Ocean,Winter,Trawl,7197,64.68,Yes,21.98,Medium
Shark,Mediterranean Sea,Winter,Line,2648,31.99,Yes,28.19,High
Mackerel,Mediterranean Sea,Winter,Net,6539,54.84,Yes,15.08,High
Tuna,Pacific Ocean,Summer,Trawl,5199,39.73,Yes,27.3,High
Salmon,Indian Ocean,Monsoon,Line,9445,94.03,No,18.43,High
Mackerel,Mediterranean Sea,Summer,Line,3557,10.68,No,28.63,Low
Salmon,Mediterranean Sea,Winter,Line,6592,30.28,Yes,15.02,Medium
Salmon,North Atlantic,Winter,Net,1098,42.88,Yes,23.34,Low
Herring,Mediterranean Sea,Summer,Trawl,3200,53.9,No,26.35,Medium
Sardine,Pacific Ocean,Winter,Line,3961,86.57,Yes,18.88,Low
Salmon,Mediterranean Sea,Monsoon,Trawl,5973,17.91,No,17.9,Medium
Herring,Pacific Ocean,Monsoon,Line,5433,82.53,Yes,16.26,Medium
Tuna,Pacific Ocean,Monsoon,Line,3869,15.01,No,19.9,Low
Salmon,North Atlantic,Winter,Trawl,1956,85.81,Yes,23.4,Low
Sardine,Indian Ocean,Monsoon,Net,9352,14.65,No,16.74,High
Snapper,Pacific Ocean,Monsoon,Net,6699,11.64,No,20.65,Low
Cod,Mediterranean Sea,Winter,Trawl,7944,72.73,Yes,15.14,Medium
Herring,Mediterranean Sea,Summer,Trawl,5493,99.75,No,27.28,Medium
Snapper,Pacific Ocean,Summer,Line,5911,90.69,No,16.93,Medium
Herring,Mediterranean Sea,Winter,Line,4987,61.84,Yes,19.25,Medium
Cod,North Atlantic,Monsoon,Trawl,7015,92.57,No,15.28,Low
Sardine,Mediterranean Sea,Summer,Trawl,2218,10.48,No,21.48,High
Mackerel,North Atlantic,Summer,Trawl,5496,97.76,Yes,27.6,Medium
Cod,Pacific Ocean,Summer,Net,5735,54.17,Yes,20.88,Medium
Shark,Pacific Ocean,Winter,Net,5555,75.06,Yes,17.69,Medium
Snapper,Pacific Ocean,Summer,Net,9050,83.88,Yes,26.31,Low
Salmon,North Atlantic,Summer,Trawl,4446,74.66,No,26.83,Medium
Tuna,Mediterranean Sea,Winter,Trawl,2045,58.15,No,17.61,High
Shark,North Atlantic,Winter,Line,7893,52.9,Yes,26.56,High
Salmon,Mediterranean Sea,Winter,Net,2693,85.47,Yes,29.21,Medium
Salmon,Mediterranean Sea,Summer,Net,4436,28.46,Yes,17.5,Medium
Herring,North Atlantic,Summer,Net,9754,97.12,No,26.56,Low
Cod,Indian Ocean,Winter,Net,6895,73.99,Yes,25.63,Medium
Mackerel,Pacific Ocean,Monsoon,Trawl,4354,27.96,No,22.1,Low
Snapper,Mediterranean Sea,Winter,Line,1225,76.26,No,15.87,High
Salmon,Mediterranean Sea,Summer,Line,5893,57.69,Yes,16.12,Low
Herring,North Atlantic,Summer,Line,8022,73.65,Yes,27.79,Low
Snapper,Indian Ocean,Winter,Trawl,6600,79.1,No,29.85,Medium
Cod,Pacific Ocean,Monsoon,Net,8996,17.86,No,25.14,High
Mackerel,Indian Ocean,Monsoon,Trawl,8683,55.55,No,21.69,Low
Shark,Pacific Ocean,Summer,Net,5642,93.88,No,24.71,High
Cod,Mediterranean Sea,Monsoon,Trawl,8679,38.86,No,23.92,Low
Tuna,Mediterranean Sea,Monsoon,Line,9208,63.45,No,20.75,High
Cod,North Atlantic,Monsoon,Line,8339,43.23,Yes,15.98,Low
Salmon,North Atlantic,Winter,Line,3205,50.88,Yes,27.32,High
Mackerel,Indian Ocean,Summer,Line,2069,59.37,No,20.58,Low
Cod,Indian Ocean,Winter,Net,4444,59.4,Yes,27.28,High
Salmon,Pacific Ocean,Monsoon,Trawl,2060,28.16,Yes,18.79,Low
Salmon,North Atlantic,Summer,Net,3327,71.61,No,15.02,Medium
Mackerel,Mediterranean Sea,Winter,Trawl,4420,17.91,Yes,17.38,High
Cod,North Atlantic,Summer,Line,1301,22.49,Yes,22.03,Medium
Cod,Indian Ocean,Winter,Line,1606,10.24,Yes,29.16,Medium
Herring,North Atlantic,Summer,Line,4170,20.5,Yes,16.53,Low
Snapper,Mediterranean Sea,Winter,Trawl,1699,52.58,No,27.81,Medium
Herring,North Atlantic,Monsoon,Line,6088,64.55,No,22.91,High
Cod,Indian Ocean,Winter,Net,1190,81.49,No,27.39,Low
Shark,Mediterranean Sea,Monsoon,Net,1980,19.6,No,19.48,Low
Cod,Pacific Ocean,Winter,Net,3975,86.57,Yes,27.6,High
Tuna,Pacific Ocean,Monsoon,Trawl,7102,77.14,Yes,26.59,High
Salmon,Mediterranean Sea,Monsoon,Net,2184,46.77,No,18.45,Medium
Sardine,Mediterranean Sea,Winter,Line,4327,93.96,No,16.97,Medium
Cod,Mediterranean Sea,Winter,Trawl,4394,99.18,Yes,28.02,Low
Tuna,Indian Ocean,Summer,Line,9319,28.45,No,29.45,High
Tuna,Mediterranean Sea,Winter,Trawl,2816,44.13,Yes,15.47,High
Snapper,Indian Ocean,Summer,Net,6854,93.38,Yes,25.97,Low
Mackerel,Mediterranean Sea,Winter,Line,7709,74.94,Yes,28.64,Medium
Cod,Indian Ocean,Summer,Line,1569,14.33,No,27.86,High
Mackerel,Indian Ocean,Monsoon,Trawl,6442,80.34,Yes,29.47,Medium
Shark,North Atlantic,Winter,Line,2895,84.51,Yes,26.4,Medium
Sardine,Pacific Ocean,Monsoon,Net,3733,77.55,Yes,21.63,Low
Tuna,Mediterranean Sea,Winter,Trawl,4863,81.96,Yes,19.68,High
Salmon,Pacific Ocean,Summer,Line,8455,84.26,Yes,19.81,Low
Salmon,Pacific Ocean,Winter,Trawl,5014,26.78,Yes,25.87,Low
Mackerel,North Atlantic,Summer,Line,2686,31.21,No,26.19,Medium
Tuna,Pacific Ocean,Summer,Net,4009,67.04,Yes,18.01,High
Snapper,Pacific Ocean,Winter,Net,8806,91.71,Yes,28.02,Low
Mackerel,Mediterranean Sea,Monsoon,Net,1154,38.46,Yes,25.72,High
Sardine,Indian Ocean,Winter,Net,2409,62.95,No,23.44,Low
Mackerel,Mediterranean Sea,Monsoon,Line,1784,71.47,No,22.07,High
Tuna,Mediterranean Sea,Summer,Net,9096,50.68,Yes,23.15,Low
Cod,Pacific Ocean,Winter,Trawl,8560,74.24,Yes,17.39,Medium
Snapper,Pacific Ocean,Winter,Line,8343,90.97,Yes,18.06,Medium
Tuna,Mediterranean Sea,Monsoon,Net,8206,66.17,Yes,16.37,Low
Snapper,Mediterranean Sea,Winter,Trawl,6596,58.58,No,17.3,Medium
Herring,Pacific Ocean,Summer,Line,6801,49.49,Yes,21.81,Low
Herring,Indian Ocean,Winter,Trawl,3806,61.97,No,22.96,Medium
Salmon,Indian Ocean,Summer,Line,1537,41.98,No,15.27,High
Snapper,Mediterranean Sea,Summer,Trawl,6986,45.23,Yes,26.95,Medium
Sardine,Indian Ocean,Monsoon,Net,2841,57.87,No,19.41,High
Mackerel,Mediterranean Sea,Monsoon,Trawl,9716,16.0,Yes,28.68,High
Herring,North Atlantic,Summer,Trawl,7971,30.61,Yes,29.51,Medium
Mackerel,Pacific Ocean,Monsoon,Line,6625,58.86,No,17.78,High
Mackerel,Mediterranean Sea,Monsoon,Line,3950,48.84,No,21.93,Medium
Sardine,Mediterranean Sea,Summer,Net,8992,39.95,No,15.02,High
Tuna,Mediterranean Sea,Winter,Trawl,5780,75.75,Yes,23.97,Medium
Mackerel,Indian Ocean,Winter,Trawl,3368,72.43,Yes,24.11,High
Snapper,Mediterranean Sea,Monsoon,Trawl,7655,25.01,No,18.71,Low
Sardine,North Atlantic,Monsoon,Trawl,9173,89.08,No,23.38,Medium
Herring,Indian Ocean,Summer,Net,5495,54.59,Yes,18.38,Medium
Cod,Pacific Ocean,Summer,Line,7002,76.73,No,17.41,Medium
Mackerel,North Atlantic,Summer,Trawl,7614,61.58,No,24.77,High
Salmon,Mediterranean Sea,Summer,Net,6919,99.79,No,19.89,Low
Sardine,North Atlantic,Winter,Net,1853,77.72,No,23.85,High
Tuna,Mediterranean Sea,Summer,Net,5146,73.63,No,21.5,High
Shark,North Atlantic,Summer,Net,4769,80.07,Yes,29.77,Medium
Herring,Indian Ocean,Monsoon,Net,1574,22.88,No,17.24,High
Herring,Mediterranean Sea,Summer,Line,2148,28.41,No,21.97,High
Shark,Indian Ocean,Monsoon,Net,7293,74.27,Yes,25.21,Low
Snapper,North Atlantic,Summer,Line,7457,54.46,No,20.93,High
Cod,Mediterranean Sea,Summer,Trawl,8509,77.92,Yes,29.62,Low
Herring,Pacific Ocean,Monsoon,Trawl,5777,19.26,Yes,25.83,Medium
Herring,Pacific Ocean,Winter,Line,4854,58.28,No,24.85,Low
Tuna,Mediterranean Sea,Winter,Line,3491,44.09,Yes,26.36,Low
Herring,North Atlantic,Monsoon,Trawl,4124,51.13,No,29.29,Medium
Sardine,Pacific Ocean,Monsoon,Net,6691,64.36,Yes,28.62,Low
Snapper,Mediterranean Sea,Winter,Trawl,4051,55.21,No,25.86,Low
Cod,Pacific Ocean,Monsoon,Net,1004,58.59,No,26.24,Medium
Salmon,Mediterranean Sea,Monsoon,Net,6222,53.77,Yes,17.19,High
Cod,North Atlantic,Monsoon,Line,6315,46.81,No,16.54,Low
Snapper,North Atlantic,Monsoon,Line,5869,79.47,Yes,23.56,High
Sardine,Indian Ocean,Monsoon,Trawl,1876,11.1,No,15.28,Medium
Snapper,Pacific Ocean,Winter,Trawl,8027,63.86,Yes,22.24,Medium
Tuna,Indian Ocean,Monsoon,Line,5142,60.9,No,18.16,High
Salmon,North Atlantic,Winter,Trawl,7966,74.46,Yes,20.19,Low
Cod,Mediterranean Sea,Summer,Line,8079,63.91,No,26.64,High
Mackerel,North Atlantic,Winter,Line,8987,84.41,No,29.12,Medium
Cod,North Atlantic,Summer,Trawl,7799,96.32,Yes,16.09,Medium
Tuna,Mediterranean Sea,Winter,Net,5465,40.83,Yes,23.01,Low
Salmon,Indian Ocean,Winter,Net,1635,30.46,Yes,28.24,Medium
Sardine,Pacific Ocean,Monsoon,Line,2693,48.12,No,16.24,High
