Entity,Code,Year,"Meat, goose and guinea fowl | 00001073 || Producing or slaughtered animals | 005321 || animals"
Eastern Africa (FAO),,1993,3224000
Eastern Africa (FAO),,1994,3226000
Eastern Africa (FAO),,1995,3368000
Eastern Africa (FAO),,1996,3650000
Eastern Africa (FAO),,1997,3792000
Eastern Africa (FAO),,1998,3964000
Eastern Africa (FAO),,1999,4066000
Eastern Africa (FAO),,2000,4368000
Eastern Africa (FAO),,2001,4218000
Eastern Africa (FAO),,2002,4218000
Eastern Africa (FAO),,2003,4218000
Eastern Africa (FAO),,2004,4218000
Eastern Africa (FAO),,2005,4218000
Eastern Africa (FAO),,2006,4218000
Eastern Africa (FAO),,2007,4219000
Eastern Africa (FAO),,2008,4220000
Eastern Africa (FAO),,2009,4230000
Eastern Africa (FAO),,2010,4230000
Eastern Africa (FAO),,2011,4240000
Eastern Africa (FAO),,2012,4240000
Eastern Africa (FAO),,2013,4230000
Eastern Africa (FAO),,2014,4245000
Eastern Africa (FAO),,2015,4253000
Eastern Africa (FAO),,2016,4262000
Eastern Africa (FAO),,2017,4265000
Eastern Africa (FAO),,2018,4260000
Eastern Africa (FAO),,2019,4257000
Eastern Africa (FAO),,2020,4259000
Eastern Africa (FAO),,2021,4262000
Eastern Asia (FAO),,1961,18972000
Eastern Asia (FAO),,1962,20899000
Eastern Asia (FAO),,1963,22874000
Eastern Asia (FAO),,1964,24916000
Eastern Asia (FAO),,1965,27093000
Eastern Asia (FAO),,1966,29039000
Eastern Asia (FAO),,1967,30805000
Eastern Asia (FAO),,1968,33032000
Eastern Asia (FAO),,1969,35010000
Eastern Asia (FAO),,1970,36981000
Eastern Asia (FAO),,1971,38847000
Eastern Asia (FAO),,1972,40809000
Eastern Asia (FAO),,1973,42749000
Eastern Asia (FAO),,1974,44732000
Eastern Asia (FAO),,1975,46707000
Eastern Asia (FAO),,1976,48715000
Eastern Asia (FAO),,1977,50801000
Eastern Asia (FAO),,1978,52929000
Eastern Asia (FAO),,1979,54962000
Eastern Asia (FAO),,1980,56862000
Eastern Asia (FAO),,1981,58805000
Eastern Asia (FAO),,1982,61149000
Eastern Asia (FAO),,1983,63339000
Eastern Asia (FAO),,1984,64533000
Eastern Asia (FAO),,1985,65192000
Eastern Asia (FAO),,1986,74270000
Eastern Asia (FAO),,1987,86929000
Eastern Asia (FAO),,1988,118945000
Eastern Asia (FAO),,1989,125143000
Eastern Asia (FAO),,1990,142810000
Eastern Asia (FAO),,1991,181660000
Eastern Asia (FAO),,1992,185716000
Eastern Asia (FAO),,1993,212434000
Eastern Asia (FAO),,1994,233556000
Eastern Asia (FAO),,1995,332774000
Eastern Asia (FAO),,1996,341607000
Eastern Asia (FAO),,1997,378511000
Eastern Asia (FAO),,1998,415998000
Eastern Asia (FAO),,1999,430207000
Eastern Asia (FAO),,2000,437536000
Eastern Asia (FAO),,2001,438354000
Eastern Asia (FAO),,2002,426214000
Eastern Asia (FAO),,2003,441438000
Eastern Asia (FAO),,2004,449557000
Eastern Asia (FAO),,2005,484484000
Eastern Asia (FAO),,2006,485764000
Eastern Asia (FAO),,2007,535915000
Eastern Asia (FAO),,2008,550739000
Eastern Asia (FAO),,2009,584077000
Eastern Asia (FAO),,2010,599110000
Eastern Asia (FAO),,2011,616918000
Eastern Asia (FAO),,2012,657139000
Eastern Asia (FAO),,2013,647798000
Eastern Asia (FAO),,2014,658890000
Eastern Asia (FAO),,2015,600773000
Eastern Asia (FAO),,2016,620087000
Eastern Asia (FAO),,2017,658353000
Eastern Asia (FAO),,2018,697897000
Eastern Asia (FAO),,2019,693957000
Eastern Asia (FAO),,2020,705794000
Eastern Asia (FAO),,2021,717111000
Eastern Europe (FAO),,1961,14490000
Eastern Europe (FAO),,1962,14690000
Eastern Europe (FAO),,1963,12730000
Eastern Europe (FAO),,1964,13490000
Eastern Europe (FAO),,1965,15210000
Eastern Europe (FAO),,1966,14800000
Eastern Europe (FAO),,1967,16610000
Eastern Europe (FAO),,1968,18910000
Eastern Europe (FAO),,1969,14970000
Eastern Europe (FAO),,1970,16840000
Eastern Europe (FAO),,1971,21820000
Eastern Europe (FAO),,1972,14340000
Eastern Europe (FAO),,1973,13400000
Eastern Europe (FAO),,1974,12150000
Eastern Europe (FAO),,1975,13590000
Eastern Europe (FAO),,1976,10770000
Eastern Europe (FAO),,1977,10830000
Eastern Europe (FAO),,1978,12870000
Eastern Europe (FAO),,1979,11990000
Eastern Europe (FAO),,1980,12530000
Eastern Europe (FAO),,1981,12960000
Eastern Europe (FAO),,1982,13790000
Eastern Europe (FAO),,1983,13660000
Eastern Europe (FAO),,1984,14170000
Eastern Europe (FAO),,1985,12300000
Eastern Europe (FAO),,1986,13000000
Eastern Europe (FAO),,1987,12300000
Eastern Europe (FAO),,1988,12700000
Eastern Europe (FAO),,1989,13130000
Eastern Europe (FAO),,1990,15730000
Eastern Europe (FAO),,1991,12885000
Eastern Europe (FAO),,1992,23646000
Eastern Europe (FAO),,1993,21569000
Eastern Europe (FAO),,1994,21086000
Eastern Europe (FAO),,1995,24859000
Eastern Europe (FAO),,1996,24328000
Eastern Europe (FAO),,1997,21605000
Eastern Europe (FAO),,1998,21099000
Eastern Europe (FAO),,1999,22890000
Eastern Europe (FAO),,2000,24129000
Eastern Europe (FAO),,2001,21585000
Eastern Europe (FAO),,2002,22646000
Eastern Europe (FAO),,2003,24412000
Eastern Europe (FAO),,2004,23400000
Eastern Europe (FAO),,2005,23700000
Eastern Europe (FAO),,2006,18062000
Eastern Europe (FAO),,2007,18399000
Eastern Europe (FAO),,2008,17281000
Eastern Europe (FAO),,2009,16061000
Eastern Europe (FAO),,2010,14357000
Eastern Europe (FAO),,2011,16122000
Eastern Europe (FAO),,2012,18073000
Eastern Europe (FAO),,2013,17733000
Eastern Europe (FAO),,2014,16661000
Eastern Europe (FAO),,2015,16569000
Eastern Europe (FAO),,2016,16753000
Eastern Europe (FAO),,2017,14793000
Eastern Europe (FAO),,2018,18193000
Eastern Europe (FAO),,2019,12868000
Eastern Europe (FAO),,2020,13779000
Eastern Europe (FAO),,2021,8328000
Ecuador,ECU,1961,28000
Ecuador,ECU,1962,30000
Ecuador,ECU,1963,31000
Ecuador,ECU,1964,33000
Ecuador,ECU,1965,34000
Ecuador,ECU,1966,34000
Ecuador,ECU,1967,32000
Ecuador,ECU,1968,34000
Ecuador,ECU,1969,33000
Ecuador,ECU,1970,34000
Ecuador,ECU,1971,33000
Ecuador,ECU,1972,33000
Ecuador,ECU,1973,33000
Ecuador,ECU,1974,33000
Ecuador,ECU,1975,33000
Ecuador,ECU,1976,33000
Ecuador,ECU,1977,34000
Ecuador,ECU,1978,34000
Ecuador,ECU,1979,35000
Ecuador,ECU,1980,35000
Ecuador,ECU,1981,36000
Ecuador,ECU,1982,37000
Ecuador,ECU,1983,38000
Ecuador,ECU,1984,39000
Ecuador,ECU,1985,39000
Ecuador,ECU,1986,40000
Ecuador,ECU,1987,40000
Ecuador,ECU,1988,40000
Ecuador,ECU,1989,40000
Ecuador,ECU,1990,40000
Ecuador,ECU,1991,40000
Ecuador,ECU,1992,40000
Ecuador,ECU,1993,40000
Ecuador,ECU,1994,40000
Ecuador,ECU,1995,40000
Ecuador,ECU,1996,40000
Ecuador,ECU,1997,40000
Ecuador,ECU,1998,40000
Ecuador,ECU,1999,40000
Ecuador,ECU,2000,41000
Ecuador,ECU,2001,41000
Ecuador,ECU,2002,41000
Ecuador,ECU,2003,41000
Ecuador,ECU,2004,41000
Ecuador,ECU,2005,41000
Ecuador,ECU,2006,45000
Ecuador,ECU,2007,50000
Ecuador,ECU,2008,50000
Ecuador,ECU,2009,50000
Ecuador,ECU,2010,50000
Ecuador,ECU,2011,50000
Ecuador,ECU,2012,48000
Ecuador,ECU,2013,47000
Ecuador,ECU,2014,47000
Ecuador,ECU,2015,48000
Ecuador,ECU,2016,49000
Ecuador,ECU,2017,49000
Ecuador,ECU,2018,49000
Ecuador,ECU,2019,49000
Ecuador,ECU,2020,50000
Ecuador,ECU,2021,50000
Egypt,EGY,1961,2300000
Egypt,EGY,1962,2400000
Egypt,EGY,1963,2450000
Egypt,EGY,1964,2500000
Egypt,EGY,1965,2550000
Egypt,EGY,1966,2640000
Egypt,EGY,1967,2670000
Egypt,EGY,1968,2690000
Egypt,EGY,1969,2700000
Egypt,EGY,1970,2750000
Egypt,EGY,1971,2770000
Egypt,EGY,1972,2800000
Egypt,EGY,1973,2830000
Egypt,EGY,1974,2860000
Egypt,EGY,1975,2880000
Egypt,EGY,1976,2912000
Egypt,EGY,1977,2938000
Egypt,EGY,1978,2965000
Egypt,EGY,1979,3003000
Egypt,EGY,1980,3024000
Egypt,EGY,1981,3045000
Egypt,EGY,1982,4400000
Egypt,EGY,1983,5620000
Egypt,EGY,1984,6070000
Egypt,EGY,1985,6170000
Egypt,EGY,1986,6280000
Egypt,EGY,1987,6380000
Egypt,EGY,1988,6490000
Egypt,EGY,1989,6590000
Egypt,EGY,1990,6690000
Egypt,EGY,1991,7923000
Egypt,EGY,1992,9537000
Egypt,EGY,1993,11480000
Egypt,EGY,1994,7100000
Egypt,EGY,1995,7100000
Egypt,EGY,1996,7100000
Egypt,EGY,1997,7200000
Egypt,EGY,1998,7200000
Egypt,EGY,1999,7300000
Egypt,EGY,2000,7300000
Egypt,EGY,2001,7400000
Egypt,EGY,2002,7400000
Egypt,EGY,2003,7500000
Egypt,EGY,2004,7500000
Egypt,EGY,2005,7600000
Egypt,EGY,2006,7600000
Egypt,EGY,2007,7600000
Egypt,EGY,2008,7602000
Egypt,EGY,2009,7678000
Egypt,EGY,2010,7755000
Egypt,EGY,2011,7757000
Egypt,EGY,2012,7835000
Egypt,EGY,2013,8619000
Egypt,EGY,2014,9136000
Egypt,EGY,2015,9684000
Egypt,EGY,2016,9103000
Egypt,EGY,2017,9236000
Egypt,EGY,2018,9975000
Egypt,EGY,2019,5000000
Egypt,EGY,2020,4900000
Egypt,EGY,2021,5360000
Europe,,1961,18204000
Europe,,1962,18430000
Europe,,1963,16399000
Europe,,1964,17098000
Europe,,1965,19087000
Europe,,1966,18629000
Europe,,1967,20523000
Europe,,1968,22756000
Europe,,1969,19192000
Europe,,1970,21371000
Europe,,1971,26105000
Europe,,1972,18915000
Europe,,1973,17889000
Europe,,1974,15950000
Europe,,1975,17310000
Europe,,1976,14478000
Europe,,1977,14642000
Europe,,1978,16923000
Europe,,1979,16390000
Europe,,1980,16331000
Europe,,1981,16803000
Europe,,1982,17334000
Europe,,1983,17284000
Europe,,1984,16943000
Europe,,1985,15255000
Europe,,1986,16612000
Europe,,1987,16350000
Europe,,1988,16760000
Europe,,1989,17781000
Europe,,1990,20922000
Europe,,1991,17387000
Europe,,1992,29304000
Europe,,1993,26698000
Europe,,1994,26208000
Europe,,1995,30533000
Europe,,1996,29922000
Europe,,1997,27149000
Europe,,1998,26204000
Europe,,1999,28005000
Europe,,2000,28612000
Europe,,2001,26051000
Europe,,2002,27099000
Europe,,2003,28914000
Europe,,2004,27958000
Europe,,2005,28107000
Europe,,2006,20595000
Europe,,2007,20946000
Europe,,2008,19760000
Europe,,2009,18621000
Europe,,2010,16749000
Europe,,2011,18596000
Europe,,2012,20546000
Europe,,2013,19974000
Europe,,2014,19004000
Europe,,2015,19118000
Europe,,2016,19092000
Europe,,2017,17096000
Europe,,2018,20095000
Europe,,2019,14069000
Europe,,2020,5564000
Europe,,2021,4948000
Europe (FAO),,1961,18204000
Europe (FAO),,1962,18430000
Europe (FAO),,1963,16399000
Europe (FAO),,1964,17098000
Europe (FAO),,1965,19087000
Europe (FAO),,1966,18629000
Europe (FAO),,1967,20523000
Europe (FAO),,1968,22756000
Europe (FAO),,1969,19192000
Europe (FAO),,1970,21371000
Europe (FAO),,1971,26105000
Europe (FAO),,1972,18915000
Europe (FAO),,1973,17889000
Europe (FAO),,1974,15950000
Europe (FAO),,1975,17310000
Europe (FAO),,1976,14478000
Europe (FAO),,1977,14642000
Europe (FAO),,1978,16923000
Europe (FAO),,1979,16390000
Europe (FAO),,1980,16331000
Europe (FAO),,1981,16803000
Europe (FAO),,1982,17334000
Europe (FAO),,1983,17284000
Europe (FAO),,1984,16943000
Europe (FAO),,1985,15255000
Europe (FAO),,1986,16612000
Europe (FAO),,1987,16350000
Europe (FAO),,1988,16760000
Europe (FAO),,1989,17781000
Europe (FAO),,1990,20922000
Europe (FAO),,1991,17387000
Europe (FAO),,1992,29303000
Europe (FAO),,1993,26698000
Europe (FAO),,1994,26208000
Europe (FAO),,1995,30533000
Europe (FAO),,1996,29922000
Europe (FAO),,1997,27149000
Europe (FAO),,1998,26205000
Europe (FAO),,1999,28005000
Europe (FAO),,2000,28612000
Europe (FAO),,2001,26051000
Europe (FAO),,2002,27099000
Europe (FAO),,2003,28913000
Europe (FAO),,2004,27958000
Europe (FAO),,2005,28108000
Europe (FAO),,2006,20595000
Europe (FAO),,2007,20945000
Europe (FAO),,2008,19760000
Europe (FAO),,2009,18621000
Europe (FAO),,2010,16749000
Europe (FAO),,2011,18596000
Europe (FAO),,2012,20546000
Europe (FAO),,2013,19975000
Europe (FAO),,2014,19004000
Europe (FAO),,2015,19117000
Europe (FAO),,2016,19093000
Europe (FAO),,2017,17096000
Europe (FAO),,2018,20148000
Europe (FAO),,2019,14755000
Europe (FAO),,2020,15587000
Europe (FAO),,2021,9862000
European Union (27),,1961,15874000
European Union (27),,1962,16150000
European Union (27),,1963,14104000
European Union (27),,1964,14543000
European Union (27),,1965,16512000
European Union (27),,1966,16189000
European Union (27),,1967,18073000
European Union (27),,1968,20466000
European Union (27),,1969,17072000
European Union (27),,1970,19381000
European Union (27),,1971,24165000
European Union (27),,1972,17036000
European Union (27),,1973,15990000
European Union (27),,1974,14241000
European Union (27),,1975,15870000
European Union (27),,1976,12973000
European Union (27),,1977,12961000
European Union (27),,1978,15233000
European Union (27),,1979,14673000
European Union (27),,1980,14657000
European Union (27),,1981,15176000
European Union (27),,1982,15601000
European Union (27),,1983,15524000
European Union (27),,1984,15249000
European Union (27),,1985,13640000
European Union (27),,1986,14857000
European Union (27),,1987,14611000
European Union (27),,1988,14860000
European Union (27),,1989,15376000
European Union (27),,1990,18369000
European Union (27),,1991,15214000
European Union (27),,1992,13811000
European Union (27),,1993,13188000
European Union (27),,1994,14029000
European Union (27),,1995,17713000
European Union (27),,1996,17517000
European Union (27),,1997,15094000
European Union (27),,1998,14879000
European Union (27),,1999,16074000
European Union (27),,2000,16262000
European Union (27),,2001,14182000
European Union (27),,2002,14645000
European Union (27),,2003,15844000
European Union (27),,2004,15990000
European Union (27),,2005,16106000
European Union (27),,2006,11693000
European Union (27),,2007,11711000
European Union (27),,2008,11587000
European Union (27),,2009,12316000
European Union (27),,2010,11186000
European Union (27),,2011,12653000
European Union (27),,2012,14531000
European Union (27),,2013,14503000
European Union (27),,2014,14071000
European Union (27),,2015,13471000
European Union (27),,2016,14183000
European Union (27),,2017,12369000
European Union (27),,2018,15129000
European Union (27),,2019,9301000
European Union (27),,2020,613000
European Union (27),,2021,850000
European Union (27) (FAO),,1961,15874000
European Union (27) (FAO),,1962,16150000
European Union (27) (FAO),,1963,14104000
European Union (27) (FAO),,1964,14543000
European Union (27) (FAO),,1965,16512000
European Union (27) (FAO),,1966,16189000
European Union (27) (FAO),,1967,18073000
European Union (27) (FAO),,1968,20466000
European Union (27) (FAO),,1969,17072000
European Union (27) (FAO),,1970,19381000
European Union (27) (FAO),,1971,24165000
European Union (27) (FAO),,1972,17036000
European Union (27) (FAO),,1973,15990000
European Union (27) (FAO),,1974,14241000
European Union (27) (FAO),,1975,15870000
European Union (27) (FAO),,1976,12973000
European Union (27) (FAO),,1977,12961000
European Union (27) (FAO),,1978,15233000
European Union (27) (FAO),,1979,14673000
European Union (27) (FAO),,1980,14657000
European Union (27) (FAO),,1981,15176000
European Union (27) (FAO),,1982,15601000
European Union (27) (FAO),,1983,15524000
European Union (27) (FAO),,1984,15249000
European Union (27) (FAO),,1985,13640000
European Union (27) (FAO),,1986,14857000
European Union (27) (FAO),,1987,14611000
European Union (27) (FAO),,1988,14860000
European Union (27) (FAO),,1989,15376000
European Union (27) (FAO),,1990,18369000
European Union (27) (FAO),,1991,15214000
European Union (27) (FAO),,1992,13810000
European Union (27) (FAO),,1993,13188000
European Union (27) (FAO),,1994,14029000
European Union (27) (FAO),,1995,17713000
European Union (27) (FAO),,1996,17517000
European Union (27) (FAO),,1997,15094000
European Union (27) (FAO),,1998,14880000
European Union (27) (FAO),,1999,16074000
European Union (27) (FAO),,2000,16262000
European Union (27) (FAO),,2001,14182000
European Union (27) (FAO),,2002,14645000
European Union (27) (FAO),,2003,15843000
European Union (27) (FAO),,2004,15990000
European Union (27) (FAO),,2005,16106000
European Union (27) (FAO),,2006,11693000
European Union (27) (FAO),,2007,11711000
European Union (27) (FAO),,2008,11587000
European Union (27) (FAO),,2009,12316000
European Union (27) (FAO),,2010,11186000
European Union (27) (FAO),,2011,12653000
European Union (27) (FAO),,2012,14531000
European Union (27) (FAO),,2013,14503000
European Union (27) (FAO),,2014,14071000
European Union (27) (FAO),,2015,13471000
European Union (27) (FAO),,2016,14184000
European Union (27) (FAO),,2017,12369000
European Union (27) (FAO),,2018,15182000
European Union (27) (FAO),,2019,9987000
European Union (27) (FAO),,2020,10636000
European Union (27) (FAO),,2021,5764000
France,FRA,1961,1800000
France,FRA,1962,1800000
France,FRA,1963,1800000
France,FRA,1964,1800000
France,FRA,1965,1800000
France,FRA,1966,1900000
France,FRA,1967,1960000
France,FRA,1968,1980000
France,FRA,1969,2402000
France,FRA,1970,2542000
France,FRA,1971,2602000
France,FRA,1972,2856000
France,FRA,1973,2729000
France,FRA,1974,2367000
France,FRA,1975,2445000
France,FRA,1976,2340000
France,FRA,1977,2325000
France,FRA,1978,2480000
France,FRA,1979,2780000
France,FRA,1980,2265000
France,FRA,1981,2265000
France,FRA,1982,1890000
France,FRA,1983,1890000
France,FRA,1984,1144000
France,FRA,1985,1148000
France,FRA,1986,1250000
France,FRA,1987,1384000
France,FRA,1988,1262000
France,FRA,1989,1297000
France,FRA,1990,1700000
France,FRA,1991,1488000
France,FRA,1992,1451000
France,FRA,1993,1463000
France,FRA,1994,1380000
France,FRA,1995,1348000
France,FRA,1996,1218000
France,FRA,1997,1193000
France,FRA,1998,1165000
France,FRA,1999,1284000
France,FRA,2000,1022000
France,FRA,2001,1000000
France,FRA,2002,989000
France,FRA,2003,1008000
France,FRA,2004,1056000
France,FRA,2005,925000
France,FRA,2006,863000
France,FRA,2007,902000
France,FRA,2008,886000
France,FRA,2009,883000
France,FRA,2010,831000
France,FRA,2011,819000
France,FRA,2012,821000
France,FRA,2013,779000
France,FRA,2014,780000
France,FRA,2015,753000
France,FRA,2016,500000
France,FRA,2017,452000
France,FRA,2018,464000
France,FRA,2021,302000
Germany,DEU,1961,465000
Germany,DEU,1962,465000
Germany,DEU,1963,465000
Germany,DEU,1964,465000
Germany,DEU,1965,700000
Germany,DEU,1966,700000
Germany,DEU,1967,700000
Germany,DEU,1968,700000
Germany,DEU,1969,700000
Germany,DEU,1970,930000
Germany,DEU,1971,700000
Germany,DEU,1972,700000
Germany,DEU,1973,700000
Germany,DEU,1974,465000
Germany,DEU,1975,465000
Germany,DEU,1976,465000
Germany,DEU,1977,465000
Germany,DEU,1978,465000
Germany,DEU,1979,465000
Germany,DEU,1980,465000
Germany,DEU,1981,440000
Germany,DEU,1982,417000
Germany,DEU,1983,435000
Germany,DEU,1984,500000
Germany,DEU,1985,600000
Germany,DEU,1986,1000000
Germany,DEU,1987,1200000
Germany,DEU,1988,1200000
Germany,DEU,1989,1300000
Germany,DEU,1990,1300000
Germany,DEU,1991,1250000
Germany,DEU,1992,870000
Germany,DEU,1993,650000
Germany,DEU,1994,650000
Germany,DEU,1995,650000
Germany,DEU,1996,820000
Germany,DEU,1997,910000
Germany,DEU,1998,980000
Germany,DEU,1999,890000
Germany,DEU,2000,363000
Germany,DEU,2001,398000
Germany,DEU,2002,375000
Germany,DEU,2003,380000
Germany,DEU,2004,380000
Germany,DEU,2005,380000
Germany,DEU,2006,380000
Germany,DEU,2007,460000
Germany,DEU,2008,480000
Germany,DEU,2009,526000
Germany,DEU,2010,555000
Germany,DEU,2011,543000
Germany,DEU,2012,530000
Germany,DEU,2013,581000
Germany,DEU,2014,600000
Germany,DEU,2015,601000
Germany,DEU,2016,619000
Germany,DEU,2017,601000
Germany,DEU,2018,634000
Germany,DEU,2019,594000
Germany,DEU,2020,608000
Germany,DEU,2021,543000
Greece,GRC,1961,64000
Greece,GRC,1962,65000
Greece,GRC,1963,59000
Greece,GRC,1964,48000
Greece,GRC,1965,52000
Greece,GRC,1966,56000
Greece,GRC,1967,55000
Greece,GRC,1968,52000
Greece,GRC,1969,55000
Greece,GRC,1970,43000
Greece,GRC,1971,40000
Greece,GRC,1972,70000
Greece,GRC,1973,37000
Greece,GRC,1974,37000
Greece,GRC,1975,37000
Greece,GRC,1976,60000
Greece,GRC,1977,53000
Greece,GRC,1978,50000
Greece,GRC,1979,48000
Greece,GRC,1980,46000
Greece,GRC,1981,44000
Greece,GRC,1982,40000
Greece,GRC,1983,40000
Greece,GRC,1984,42000
Greece,GRC,1985,42000
Greece,GRC,1986,46000
Greece,GRC,1987,48000
Greece,GRC,1988,44000
Greece,GRC,1989,38000
Greece,GRC,1990,38000
Haiti,HTI,1961,10000
Haiti,HTI,1962,10000
Haiti,HTI,1963,10000
Haiti,HTI,1964,10000
Haiti,HTI,1965,11000
Haiti,HTI,1966,11000
Haiti,HTI,1967,11000
Haiti,HTI,1968,11000
Haiti,HTI,1969,12000
Haiti,HTI,1970,12000
Haiti,HTI,1971,12000
Haiti,HTI,1972,14000
Haiti,HTI,1973,14000
Haiti,HTI,1974,14000
Haiti,HTI,1975,15000
Haiti,HTI,1976,15000
Haiti,HTI,1977,15000
Haiti,HTI,1978,15000
Haiti,HTI,1979,16000
Haiti,HTI,1980,16000
Haiti,HTI,1981,16000
Haiti,HTI,1982,17000
Haiti,HTI,1983,17000
Haiti,HTI,1984,17000
Haiti,HTI,1985,17000
Haiti,HTI,1986,17000
Haiti,HTI,1987,20000
Haiti,HTI,1988,20000
Haiti,HTI,1989,20000
Haiti,HTI,1990,20000
Haiti,HTI,1991,20000
Haiti,HTI,1992,20000
Haiti,HTI,1993,20000
Haiti,HTI,1994,20000
Haiti,HTI,1995,20000
Haiti,HTI,1996,20000
Haiti,HTI,1997,20000
Haiti,HTI,1998,20000
Haiti,HTI,1999,20000
Haiti,HTI,2000,20000
Haiti,HTI,2001,23000
Haiti,HTI,2002,23000
Haiti,HTI,2003,26000
Haiti,HTI,2004,26000
Haiti,HTI,2005,26000
Haiti,HTI,2006,26000
Haiti,HTI,2007,26000
Haiti,HTI,2008,26000
Haiti,HTI,2009,26000
Haiti,HTI,2010,26000
Haiti,HTI,2011,26000
Haiti,HTI,2012,26000
Haiti,HTI,2013,26000
Haiti,HTI,2014,26000
Haiti,HTI,2015,26000
Haiti,HTI,2016,26000
Haiti,HTI,2017,26000
Haiti,HTI,2018,26000
Haiti,HTI,2019,26000
Haiti,HTI,2020,26000
Haiti,HTI,2021,26000
High-income countries,,1961,21364000
High-income countries,,1962,21457000
High-income countries,,1963,19347000
High-income countries,,1964,20221000
High-income countries,,1965,22400000
High-income countries,,1966,21935000
High-income countries,,1967,23607000
High-income countries,,1968,26157000
High-income countries,,1969,22690000
High-income countries,,1970,24903000
High-income countries,,1971,29696000
High-income countries,,1972,22515000
High-income countries,,1973,21656000
High-income countries,,1974,19769000
High-income countries,,1975,20989000
High-income countries,,1976,18209000
High-income countries,,1977,18139000
High-income countries,,1978,20527000
High-income countries,,1979,20029000
High-income countries,,1980,20010000
High-income countries,,1981,20625000
High-income countries,,1982,21156000
High-income countries,,1983,21246000
High-income countries,,1984,21269000
High-income countries,,1985,19165000
High-income countries,,1986,20745000
High-income countries,,1987,21175000
High-income countries,,1988,21500000
High-income countries,,1989,22552000
High-income countries,,1990,26220000
High-income countries,,1991,22675000
High-income countries,,1992,22306000
High-income countries,,1993,21854000
High-income countries,,1994,24833000
High-income countries,,1995,28188000
High-income countries,,1996,27381000
High-income countries,,1997,25370000
High-income countries,,1998,25294000
High-income countries,,1999,26095000
High-income countries,,2000,24764000
High-income countries,,2001,22468000
High-income countries,,2002,22534000
High-income countries,,2003,23841000
High-income countries,,2004,24237000
High-income countries,,2005,24336000
High-income countries,,2006,20240000
High-income countries,,2007,19256000
High-income countries,,2008,18396000
High-income countries,,2009,18629000
High-income countries,,2010,17568000
High-income countries,,2011,19475000
High-income countries,,2012,21052000
High-income countries,,2013,21221000
High-income countries,,2014,21252000
High-income countries,,2015,16644000
High-income countries,,2016,17559000
High-income countries,,2017,16582000
High-income countries,,2018,19707000
High-income countries,,2019,14042000
High-income countries,,2020,6190000
High-income countries,,2021,6177000
Hungary,HUN,1961,7700000
Hungary,HUN,1962,8000000
Hungary,HUN,1963,6100000
Hungary,HUN,1964,6600000
Hungary,HUN,1965,8300000
Hungary,HUN,1966,8000000
Hungary,HUN,1967,9800000
Hungary,HUN,1968,12200000
Hungary,HUN,1969,8400000
Hungary,HUN,1970,10400000
Hungary,HUN,1971,15400000
Hungary,HUN,1972,9000000
Hungary,HUN,1973,8100000
Hungary,HUN,1974,7000000
Hungary,HUN,1975,8600000
Hungary,HUN,1976,6800000
Hungary,HUN,1977,7300000
Hungary,HUN,1978,8900000
Hungary,HUN,1979,8600000
Hungary,HUN,1980,9100000
Hungary,HUN,1981,9600000
Hungary,HUN,1982,10900000
Hungary,HUN,1983,10800000
Hungary,HUN,1984,11300000
Hungary,HUN,1985,9600000
Hungary,HUN,1986,10100000
Hungary,HUN,1987,10200000
Hungary,HUN,1988,11000000
Hungary,HUN,1989,11000000
Hungary,HUN,1990,13100000
Hungary,HUN,1991,10380000
Hungary,HUN,1992,8751000
Hungary,HUN,1993,7300000
Hungary,HUN,1994,7800000
Hungary,HUN,1995,11400000
Hungary,HUN,1996,11600000
Hungary,HUN,1997,9800000
Hungary,HUN,1998,9300000
Hungary,HUN,1999,10400000
Hungary,HUN,2000,11400000
Hungary,HUN,2001,9050000
Hungary,HUN,2002,10461000
Hungary,HUN,2003,10960000
Hungary,HUN,2004,9161000
Hungary,HUN,2005,9520000
Hungary,HUN,2006,5270000
Hungary,HUN,2007,5255000
Hungary,HUN,2008,5118000
Hungary,HUN,2009,5753000
Hungary,HUN,2010,3564000
Hungary,HUN,2011,5221000
Hungary,HUN,2012,6263000
Hungary,HUN,2013,5743000
Hungary,HUN,2014,5560000
Hungary,HUN,2015,4768000
Hungary,HUN,2016,5634000
Hungary,HUN,2017,4696000
Hungary,HUN,2018,5840000
Hungary,HUN,2019,6342000
Iran,IRN,1961,600000
Iran,IRN,1962,620000
Iran,IRN,1963,640000
Iran,IRN,1964,660000
Iran,IRN,1965,680000
Iran,IRN,1966,700000
Iran,IRN,1967,720000
Iran,IRN,1968,740000
Iran,IRN,1969,760000
Iran,IRN,1970,780000
Iran,IRN,1971,800000
Iran,IRN,1972,820000
Iran,IRN,1973,840000
Iran,IRN,1974,860000
Iran,IRN,1975,880000
Iran,IRN,1976,900000
Iran,IRN,1977,920000
Iran,IRN,1978,940000
Iran,IRN,1979,960000
Iran,IRN,1980,980000
Iran,IRN,1981,1000000
Iran,IRN,1982,1020000
Iran,IRN,1983,1040000
Iran,IRN,1984,1060000
Iran,IRN,1985,1080000
Iran,IRN,1986,1100000
Iran,IRN,1987,1140000
Iran,IRN,1988,1180000
Iran,IRN,1989,920000
Iran,IRN,1990,1000000
Iran,IRN,1991,1050000
Iran,IRN,1992,1100000
Iran,IRN,1993,1100000
Iran,IRN,1994,1100000
Iran,IRN,1995,1100000
